Hui ID	Status	Area	Site Name	Station Name	Display Name	DOH ID	Surfrider ID	Lat	Long	Dates Sampled
PFF	Active	Polanui	505 Front Street		505 Front St			20.86732	-156.67605	
MAS	Active	Wailea-Mākena	Ahihi South		ʻĀhihi Kīnaʻu South			20.6138	-156.436853	
OCO	Active	Olowalu to Pali	Camp Olowalu		Camp Olowalu			20.80986	-156.61369	
RKV	Active	Ridge to Reef	Kahana Village		Kahana Village			20.976561	-156.678	
NKN	Active	Kīhei	Kalepolepo North		Kalepolepo Park			20.765132	-156.459344	
RKO	Active	Ridge to Reef	Ka'opala		Kaʻopala Bay			20.982074	-156.673398	
NKC	Active	Kīhei	Kihei Canoe Club		Kīhei Canoe Club			20.781403	-156.463176	
PLH	Active	Polanui	Lindsey Hale		Polanui-Uhailio			20.86485	-156.67374	
NMC	Active	Māʻalaea	Maalaea Condos		Māʻalaea Condos			20.794917	-156.506735	
NMH	Active	Māʻalaea	Maalaea Harbor		Māʻalaea Harbor			20.790305	-156.510825	
NMP	Active	Kīhei	Mai Poina 'Oe Ia'u		Mai Poina Park			20.774894	-156.460776	
MMB	Active	Wailea-Mākena	Maluaka Beach		Maluaka Beach			20.645598	-156.443859	
MON	Active	Wailea-Mākena	Oneuli		One'uli Beach			20.639866	-156.447406	
OPP	Active	Olowalu to Pali	Papalaua Pali		Pāpalaua Pali			20.792747	-156.567326	
OPM	Active	Olowalu to Pali	Peter Martin Hale		Olowalu Point			20.808444	-156.619697	
RPO	Active	Ridge to Reef	Pohaku		Pōhaku Park			20.967083	-156.68139	
NSB	Active	Kīhei	Sugar Beach		Sugar Beach			20.784204	-156.466463	
HHP	Inactive	Hāna	Hana Pier		Hāna Pier			20.756083	-155.982167	
HHH	Inactive	Hāna	Helene Hall		Helene Hall			20.755472	-155.983222	
PPU	Inactive	Polanui	Makila Point		Makila Point			20.859233	-156.669442	
HMB	Inactive	Hāna	Mid Bay 2		Hāna Kai Resort			20.759806	-155.986611	
OMM	Active	Olowalu to Pali	Mile Marker 14		Mile Marker 14			20.80915	-156.60661	
HWB	Inactive	Hāna	Waikoloa Beach		Waikoloa Beach			20.761306	-155.985889	
MAN	Active	Wailea-Mākena	Ahihi North	Ahihi Cove	ʻĀhihi Kīnaʻu North	740		20.618366	-156.437572	
