Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
			Example:		26	R2RS	LLHS	CM	TF	MS	RCB	RCB170821	2020	Canoe Beach	2017-08-21	9:22:00	1	1	4	2	3	1	7	2		RCB170821	27.0	33.1	6.92	104.4	8.18	5.78	5.86	6.03	Calculated	Calculated		1	0		1	20		
yes	yes	yes	no	no	23	R2RN	LLHS				RHL	RHL170623	2001	Honolua Bay	2017-06-23	7:25										RHL170623	25.5	33.3	5.80	85.6	8.08	0.93	0.93	0.93	0.93	0.000								
yes	yes	yes	no	no	23	R2RN	LLHS				RMO	RMO170623	2002	Mokuleia	2017-06-23	8:05										RMO170623	26.0	32.3	6.56	97.2	8.18	2.18	2.18	2.18	2.18	0.000								
yes	yes	yes	no	no	23	R2RN	LLHS				RFN	RFN170623	2003	Fleming North	2017-06-23	8:40										RFN170623	26.4	33.8	6.44	96.8	8.13	1.40	1.40	1.40	1.40	0.000								
yes	yes	yes	no	no	23	R2RN	LLHS				RON	RON170623	2004	Oneloa Bay	2017-06-23	9:14										RON170623	26.7	34.2	6.72	102.0	8.20	0.43	0.43	0.43	0.43	0.000								
yes	yes	yes	no	no	23	R2RN	LLHS				RFS	RFS170623	2005	Kapalua Bay	2017-06-23	9:50										RFS170623	26.3	31.7	6.50	96.4	8.08	1.22	1.22	1.22	1.22	0.000								
yes	yes	yes	no	no	23	R2RN	LLHS				RKO	RKO170623	2008	Ka'opala Bay	2017-06-23	10:20										RKO170623	26.7	33.1	6.59	99.2	8.10	8.26	8.26	8.26	8.26	0.000								
yes	yes	yes	no	no	24	R2RN	LLHS				RHL	RHL170714	2001	Honolua Bay	2017-07-14	8:00										RHL170714	26.4	33.8	6.40	96.2	8.13	0.63	0.63	0.63	0.63	0.000								
yes	yes	yes	no	no	24	R2RN	LLHS				RFN	RFN170714	2003	Fleming North	2017-07-14	8:41										RFN170714	26.5	34.3	6.74	101.3	8.15	1.54	1.54	1.54	1.54	0.000								
yes	yes	yes	no	no	24	R2RN	LLHS				RON	RON170714	2004	Oneloa Bay	2017-07-14	9:10										RON170714	26.4	34.6	6.73	101.5	8.16	0.89	0.89	0.89	0.89	0.000								
yes	yes	yes	no	no	24	R2RN	LLHS				RFS	RFS170714	2005	Kapalua Bay	2017-07-14	9:32										RFS170714	27.4	31.4	6.51	97.9	8.08	0.60	0.60	0.60	0.60	0.000								
yes	yes	yes	no	no	24	R2RN	LLHS				RKO	RKO170714	2008	Ka'opala Bay	2017-07-14	9:59										RKO170714	27.3	34.3	5.85	89.4	8.09	1.70	1.70	1.70	1.70	0.000								
yes	yes	yes	no	no	24	R2RN	LLHS				RKV	RKV170714	2074	Kahana Village	2017-07-14	10:25										RKV170714	27.7	33.9	5.31	81.3	8.05	1.83	1.83	1.83	1.83	0.000								
yes	yes	yes	no	no	25	R2RN	LLHS				RHL	RHL170804	2001	Honolua Bay	2017-08-04	8:05										RHL170804	26.7	33.5	5.68	85.2	8.09	1.25	1.25	1.25	1.25	0.000								
yes	yes	yes	no	no	25	R2RN	LLHS				RFN	RFN170804	2003	Fleming North	2017-08-04	8:49										RFN170804	27.3	34.3	6.70	102.0	8.17	2.89	2.89	2.89	2.89	0.000								
yes	yes	yes	no	no	25	R2RN	LLHS				RON	RON170804	2004	Oneloa Bay	2017-08-04	9:22										RON170804	27.2	34.4	6.75	102.7	8.16	0.66	0.66	0.66	0.66	0.000								
yes	yes	yes	no	no	25	R2RN	LLHS				RFS	RFS170804	2005	Kapalua Bay	2017-08-04	9:50										RFS170804	27.8	33.4	6.49	99.1	8.09	1.03	1.03	1.03	1.03	0.000								
yes	yes	yes	no	no	25	R2RN	LLHS				RKO	RKO170804	2008	Ka'opala Bay	2017-08-04	10:25										RKO170804	27.7	34.0	6.33	96.8	8.12	4.60	4.60	4.60	4.60	0.000								
yes	yes	yes	no	no	25	R2RN	LLHS				RKV	RKV170804	2074	Kahana Village	2017-08-04	10:48										RKV170804	28.2	34.1	7.08	109.3	8.15	7.57	7.57	7.57	7.57	0.000								
yes	yes	yes	no	no	26	R2RN	LLHS				RHL	RHL170825	2001	Honolua Bay	2017-08-25	7:53										RHL170825	25.6	34.6	6.31	93.9	8.12	1.29	1.29	1.29	1.29	0.000								
yes	yes	yes	no	no	26	R2RN	LLHS				RFN	RFN170825	2003	Fleming North	2017-08-25	8:34										RFN170825	26.3	34.9	6.60	99.5	8.12	1.18	1.18	1.18	1.18	0.000								
yes	yes	yes	no	no	26	R2RN	LLHS				RON	RON170825	2004	Oneloa Bay	2017-08-25	9:15										RON170825	26.5	35.2	6.72	102.1	8.17	1.26	1.26	1.26	1.26	0.000								
yes	yes	yes	no	no	26	R2RN	LLHS				RFS	RFS170825	2005	Kapalua Bay	2017-08-25	9:38										RFS170825	27.0	33.6	6.56	99.4	8.09	1.28	1.28	1.28	1.28	0.000								
yes	yes	yes	no	no	26	R2RN	LLHS				RKO	RKO170825	2008	Ka'opala Bay	2017-08-25	10:10										RKO170825	26.9	34.9	6.09	92.8	8.09	3.29	3.29	3.29	3.29	0.000								
yes	yes	yes	no	no	26	R2RN	LLHS				RKV	RKV170825	2074	Kahana Village	2017-08-25	10:30										RKV170825	26.8	34.5	6.29	95.4	8.07	6.98	6.98	6.98	6.98	0.000								
yes	yes	yes	no	no	27	R2RN	LLHS				RHL	RHL170915	2001	Honolua Bay	2017-09-15	8:00										RHL170915	26.9	34.1	5.50	83.4	8.07	6.46	6.46	6.46	6.46	0.000								
yes	yes	yes	no	no	27	R2RN	LLHS				RFN	RFN170915	2003	Fleming North	2017-09-15	8:45										RFN170915	27.5	34.7	6.61	101.4	8.16	0.96	0.96	0.96	0.96	0.000								
yes	yes	yes	no	no	27	R2RN	LLHS				RON	RON170915	2004	Oneloa Bay	2017-09-15	9:20										RON170915	27.6	34.8	6.69	103.0	8.17	0.50	0.50	0.50	0.50	0.000								
yes	yes	yes	no	no	27	R2RN	LLHS				RFS	RFS170915	2005	Kapalua Bay	2017-09-15	9:55										RFS170915	28.5	34.4	6.73	104.9	8.15	1.49	1.49	1.49	1.49	0.000								
yes	yes	yes	no	no	27	R2RN	LLHS				RKO	RKO170915	2008	Ka'opala Bay	2017-09-15	10:27										RKO170915	28.4	34.5	6.66	103.6	8.14	6.68	6.68	6.68	6.68	0.000								
yes	yes	yes	no	no	27	R2RN	LLHS				RKV	RKV170915	2074	Kahana Village	2017-09-15	10:57										RKV170915	28.3	34.4	6.97	108.3	8.13	10.18	10.18	10.18	10.18	0.000								
yes	yes	yes	no	yes	28	R2RN	LLHS	BB	AS	LH	RHL	RHL171006	2001	Honolua Bay	2017-10-06	7:56	1	1	4	2	3	17	1	1	Trades	RHL171006	25.3	33.7	6.32	93.2	8.10	37.20	37.90	40.50	38.53	0.045		0	1	0	0	6	0	RHL no waves at collection site but waves breaking starting halfway to Lipoa Point, light rain the night before
yes	yes	yes	no	no	28	R2RN	LLHS	BB	AS	LH	RFN	RFN171006	2003	Fleming North	2017-10-06	8:40	1	1	4	2	3	17	1	1	Trades	RFN171006	26.4	34.1	6.64	99.9	8.16	2.65	1.82	2.26	2.24	0.185		3	1	0	6	5	0	light rain the night before
yes	yes	yes	no	no	28	R2RN	LLHS	BB	AS	LH	RON	RON171006	2004	Oneloa Bay	2017-10-06	9:15	1	1	4	2	3	17	1	1	Trades	RON171006	27.0	34.6	6.60	100.9	8.19	0.65	0.65	0.61	0.64	0.036		3	4	0	1	9	0	light rain the night before
yes	yes	yes	no	no	28	R2RN	LLHS	BB	AS	LH	RFS	RFS171006	2005	Kapalua Bay	2017-10-06	9:35	1	1	4	2	3	17	1	1	Trades	RFS171006	26.9	33.4	6.81	103.0	8.16	3.36	2.70	3.04	3.03	0.109		0	2	0	18	35	0	light rain the night before
yes	yes	yes	no	no	28	R2RN	LLHS	BB	AS	LH	RKO	RKO171006	2008	Ka'opala Bay	2017-10-06	9:55	1	1	4	2	3	17	1	1	Trades	RKO171006	26.4	33.7	6.62	99.5	8.11	14.00	13.60	12.80	13.47	0.045		0	1	0	0	2	0	light rain the night before
yes	yes	yes	yes	no	28	R2RN	LLHS	BB	AS	LH	RKV	RKV171006	2074	Kahana Village	2017-10-06	10:15	1	1	4	2	3	17	1	1	Trades	RKV171006	27.9	34.7	7.24	112.1	8.33	3.94	4.63	4.45	4.34	0.082		1	2	0	4	8	0	RKV duplicate nutrient sample. 2 syringes from same bucket. N-1 with 0.7 um filter, N-2 with 0.2 um filter, light rain the night before
yes	yes	yes	yes	yes	29	R2RN	LLHS	BB	AS	LH	RHL	RHL171027	2001	Honolua Bay	2017-10-27	8:05	2	3	3	1	2	8	1	1	Trades	RHL171027	25.4	33.0	6.58	96.9	8.11	156.00	164.00	158.00	159.33	0.026		1	1	1	0	0	0	huge rain storm Mon night (10/23) with thunder, lightening, winds - power outages all over Maui, some stream flow, lots of debris in water, some of it looks like pieces of bark, stems, duplicate nutrient sample. 2 syringes from same bucket. N-1 with 0.2  um filter, N-2 with 0.7 um filter
yes	yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RFN	RFN171027	2003	Fleming North	2017-10-27	8:45	2	3	3	1	2	8	1	1	Trades	RFN171027	26.4	34.8	6.83	103.3	8.17	3.72	3.28	3.43	3.48	0.064		3	1	0	11	40	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui, no stream flow while taking sample but was water in both stream beds and ocean waves mixed a little with stream water at mouth of stream
yes	yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RON	RON171027	2004	Oneloa Bay	2017-10-27	9:20	2	3	3	1	2	8	1	1	Trades	RON171027	27.0	35.0	6.79	104.1	8.18	1.22	1.28	1.33	1.28	0.043		3	1		2	15	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui, lots of wood debris in water
yes	yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RFS	RFS171027	2005	Kapalua Bay	2017-10-27	9:53	2	3	3	1	2	8	1	1	Trades	RFS171027	26.7	34.8	6.99	106.6	8.21	2.91	2.60	2.37	2.63	0.103		1	1		33	60	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui
yes	yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RKO	RKO171027	2008	Ka'opala Bay	2017-10-27	10:23	2	3	3	1	2	8	1	1	Trades	RKO171027	25.9	34.3	6.84	102.6	8.13	26.60	27.00	26.10	26.57	0.017		2	1	0	0	0	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui, lots of wood debris in water
yes	yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RKV	RKV171027	2074	Kahana Village	2017-10-27	10:46	2	3	3	1	2	8	1	1	Trades	RKV171027	27.4	35.0	6.83	105.1	8.23	11.60	10.80	11.70	11.37	0.043		2	1	0	0	7	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui, was water in stream bed though no stream flow while taking sample but ocean mixed a little with stream water at mouth of stream
yes	yes	yes	no	yes	30	R2RN	LLHS	BB	AS	LH	RHL	RHL171117	2001	Honolua Bay	2017-11-17	7:50	1	1	4	2	3	29	8	4	Trades	RHL171117	24.3	30.6	6.39	90.9	8.15	20.90	21.10	21.50	21.17	0.014		0	0	2	1	1	0	Honolua sampling during heavy rain, stream flowing into ocean, double rainbox within the bay, saw bark, leaves, and large particles in otherwise clear water - may have caused the high NTU numbers
yes	yes	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RFN	RFN171117	2003	Fleming North	2017-11-17	8:40	1	1	4	2	3	29	2	1	Trades	RFN171117	25.7	34.4	6.71	99.7	8.15	1.35	1.73	1.67	1.58	0.129		4	0	1	4	3	0	small flow from stream into ocean
yes	yes	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RON	RON171117	2004	Oneloa Bay	2017-11-17	9:15	1	1	4	2	3	29	2	1	Trades	RON171117	26.0	35.0	6.66	100.2	8.19	0.65	0.65	0.69	0.66	0.035		3	2		1	0	0	
yes	yes	yes	yes	no	30	R2RN	LLHS	BB	AS	LH	RFS	RFS171117	2005	Kapalua Bay	2017-11-17	9:50	1	1	4	2	3	29	2	0	Trades	RFS171117	26.3	34.1	6.86	103.1	8.16	2.77	2.66	2.27	2.57	0.102		1	1		40	62	0	
yes	yes	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RKO	RKO171117	2008	Ka'opala Bay	2017-11-17	10:15	1	1	4	2	3	29	2	0	Trades	RKO171117	25.3	34.0	6.81	100.5	8.16	17.30	16.70	17.20	17.07	0.019		1	0	0	0	2	0	RKO no water coming out of pipe
yes	yes	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RKV	RKV171117	2074	Kahana Village	2017-11-17	10:38	1	1	4	2	3	29	2	0	Trades	RKV171117	26.4	35.0	7.09	107.2	8.28	7.27	6.83	6.90	7.00	0.034		1	1		0	4	0	RKV waves irregular, turbulent but not that large, rocks exposed at about 1 foot underwater made for difficult footing even with reef shoes
yes	yes	yes	no	yes	31	R2RN	LLHS	BB	AS	LH	RHL	RHL171208	2001	Honolua Bay	2017-12-08	7:50	2	3	3	1	2	21	0	0	Trades	RHL171208	23.2	34.5	6.78	96.2	8.14	23.90	28.50	25.20	25.87	0.092		1	0	1	0	0	0	very high tide when sampling, surf breaking outside reef
yes	yes	yes	no	no	31	R2RN	LLHS	BB	AS	LH	RFN	RFN171208	2003	Fleming North	2017-12-08	8:40	2	3	3	1	2	21	0	0	Trades	RFN171208	24.7	35.1	6.95	101.6	8.18	1.41	1.71	1.54	1.55	0.097		3	0	0	2	5	0	very high tide when sampling
yes	yes	yes	no	no	31	R2RN	LLHS	BB	AS	LH	RON	RON171208	2004	Oneloa Bay	2017-12-08	9:15	2	3	3	1	2	21	0	0	Trades	RON171208	25.1	35.1	6.91	101.8	8.18	0.59	0.69	0.64	0.64	0.078		3	1		3	6	0	very high tide when sampling
yes	yes	yes	no	no	31	R2RN	LLHS	BB	AS	LH	RFS	RFS171208	2005	Kapalua Bay	2017-12-08	9:45	2	3	3	1	2	21	0	0	Trades	RFS171208	25.4	35.1	7.03	104.0	8.19	1.17	1.60	1.45	1.41	0.155		1	1		36	60	0	very high tide when sampling
yes	yes	yes	yes	no	31	R2RN	LLHS	BB	AS	LH	RKO	RKO171208	2008	Ka'opala Bay	2017-12-08	10:10	2	3	3	1	2	21	0	0	Trades	RKO171208	24.7	34.6	6.99	102.0	8.19	14.60	15.80	15.60	15.33	0.042		2	1		0	0	0	very high tide when sampling
yes	yes	yes	no	no	31	R2RN	LLHS	BB	AS	LH	RKV	RKV171208	2074	Kahana Village	2017-12-08	10:35	2	3	3	1	2	21	0	0	Trades	RKV171208	25.5	34.8	6.96	102.9	8.22	21.50	20.60	21.40	21.17	0.023		2	0		0	1	0	very high tide when sampling, little bait fish school 5 feet from sample site
yes	yes	yes	no	yes	32	R2RN	LLHS	DR	BB	LH	RHL	RHL171222	2001	Honolua Bay	2017-12-22	7:59	1	1	4	2	3	6	8	4	Trades	RHL171222	22.6	28.5	7.04	96.1	8.17	21.20	21.30	20.00	20.83	0.035		1	1	3	0	2	0	moderate stream flow/mud, lots of organic matter from stream - organic smell
yes	yes	yes	no	yes	32	R2RN	LLHS	DR	BB	LH	RFN	RFN171222	2003	Fleming North	2017-12-22	8:42	1	1	4	2	3	6	8	4	Trades	RFN171222	23.4	33.9	6.98	99.5	8.17	7.26	7.37	7.55	7.39	0.020		3	4	1	0	0	0	both streams flowing lightly, BIG waves, strong NE wind
yes	yes	yes	no	no	32	R2RN	LLHS	DR	BB	LH	RON	RON171222	2004	Oneloa Bay	2017-12-22	9:17	1	1	4	2	3	6	8	4	Trades	RON171222	24.0	35.1	6.93	100.7	8.19	4.55	4.11	4.26	4.31	0.052		2	3		0	0	0	dirtiest Dana has ever seen in this bay, lots of detritus in the water
yes	yes	yes	no	no	32	R2RN	LLHS	DR	BB	LH	RFS	RFS171222	2005	Kapalua Bay	2017-12-22	9:50	1	1	4	2	3	6	8	4	Trades	RFS171222	24.5	34.7	6.95	101.8	8.18	3.12	3.49	3.53	3.38	0.067		2	3		13	50	0	noticed detritus floating on water near shore, first turbidity reading 3.12
yes	yes	yes	no	no	32	R2RN	LLHS	DR	BB	LH	RKO	RKO171222	2008	Ka'opala Bay	2017-12-22	10:18	1	1	4	2	3	6	8	4	Trades	RKO171222	23.4	33.9	6.93	99.1	8.14	36.40	35.90	36.20	36.17	0.007		2	1	0	0	2	0	very muddy, stream does not appear to be flowing now but definitely has been flowing last 2 days
yes	yes	yes	yes	no	32	R2RN	LLHS	DR	BB	LH	RKV	RKV171222	2074	Kahana Village	2017-12-22	10:43	1	1	4	2	3	6	8	4	Trades	RKV171222	24.3	33.7	7.18	103.9	8.19	16.50	17.00	16.60	16.70	0.016		3	1		0	0	0	lost bucket, Bruce got cut, rocks to blame. Moved spot to southmost entry. Discharged about 10 ml of 0.2 um filter into N-2 bottle by mistake. Rest went into N-1 bottle. Discharged 55 ml 0.7 um filter into N-2 bottle. Wrote an accident report on Bruce's injury.
yes	yes	yes	no	yes	33	R2RN	LLHS	BB	LH	AS	RHL	RHL180112	2001	Honolua Bay	2018-01-12	7:55	2	3	3	1	2	26	0	0	Trades	RHL180112	22.8	33.1	6.82	95.4	8.07	59.60	65.30	68.80	64.57	0.072		1	0	2	0	0	0	stream flowing, outside surf
yes	yes	yes	no	no	33	R2RN	LLHS	BB	LH	AS	RFN	RFN180112	2003	Fleming North	2018-01-12	8:45	2	3	3	1	2	26	0	0	Trades	RFN180112	24.0	34.3	7.04	101.3	8.16	3.27	4.44	3.68	3.80	0.156		3	0		0	0	0	
yes	yes	yes	no	no	33	R2RN	LLHS	BB	LH	AS	RON	RON180112	2004	Oneloa Bay	2018-01-12	9:15	2	3	3	1	2	26	0	0	Trades	RON180112	24.5	34.7	7.02	102.4	8.17	1.04	1.00	1.17	1.07	0.083		3	1		0	4	0	
yes	yes	yes	no	no	33	R2RN	LLHS	BB	LH	AS	RFS	RFS180112	2005	Kapalua Bay	2018-01-12	9:40	2	3	3	1	2	26	0	0	Trades	RFS180112	24.8	33.9	7.04	102.6	8.16	2.83	2.41	2.57	2.60	0.081		1	1		6	14	0	outside surf, foam inside bay
yes	yes	yes	no	no	33	R2RN	LLHS	BB	LH	AS	RKO	RKO180112	2008	Ka'opala Bay	2018-01-12	10:10	2	3	3	1	2	26	0	0	Trades	RKO180112	24.4	33.8	6.99	101.1	8.15	16.80	17.70	18.60	17.70	0.051		1	1		0	0	0	outside surf
yes	yes	yes	no	no	33	R2RN	LLHS	BB	LH	AS	RKV	RKV180112	2074	Kahana Village	2018-01-12	10:30	2	3	3	1	2	26	0	0	Trades	RKV180112	25.4	34.5	7.20	106.3	8.23	7.79	9.47	8.58	8.61	0.098		1	1		4	14	0	dogs on beach, outside surf
yes	yes	yes	no	yes	34	R2RN	LLHS	BB	LH	AS	RHL	RHL180202	2001	Honolua Bay	2018-02-02	7:55	1	1	4	2	3	17	8	0	Kona	RHL180202	23.5	34.5	6.74	96.7	8.13	13.00	12.80	13.10	12.97	0.012		0	0	0	0	0	0	rain the night before
