Copied to main database by Kim 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00										RCB031717	deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb 3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
		Example:		26	R2RS	LLHS	CM	TF	MS	RCB	RCB170821	2020	Canoe Beach	2017-08-21	9:22:00	1	1	4	2	3	1	7	2		RCB170821	27	33.1	6.92	104.4	8.18	5.78	5.86	6.03	Calculated	Calculated		1	0		1	20		
yes		no	no	28	Olowalu	LLHS	RN	MG	LO	OPM	OPM171005	2073	Martin Hale	2017-10-05	7:10	1	1	4	2	3	15	1		trades	OPM171005	26	34.7	5.8	87	8.1	3.05	2.57	2.60	2.74	0.098		0	4		0	0	0	
yes		no	no	28	Olowalu	LLHS	RN	MG	LO	OCO	OCO171005	2028	Camp Olowalu	2017-10-05	7:35	1	1	4	2	3	15	1		trades	OCO171005	26	34.6	6.19	92.6	8.07	6.71	6.81	7.00	6.84	0.022		1	4		0	5	0	
yes		no	no	28	Olowalu	LLHS	RN	MG	LO	OMM	OMM171005	2029	Mile Marker 14	2017-10-05	7:52	1	1	4	2	3	15	1		trades	OMM171005	25.7	34.5	5.99	89.1	8.02	7.95	7.79	7.83	7.86	0.011		1	2		0	0	0	sample location possibly off by 50'
yes		no	no	28	Olowalu	LLHS	RN	MG	LO	OUB	OUB171005	2032	Ukumehame	2017-10-05	8:13	1	1	4	2	3	15	1		trades	OUB171005	25.7	34.6	6.61	98.4	8.12	10.50	10.60	10.10	10.40	0.025		2	2		0	0	0	
yes		no	no	28	Olowalu	LLHS	RN	MG	LO	OPB	OPB171005	2033	Papalaua Beach	2017-10-05	8:25	1	1	4	2	3	15	1		trades	OPB171005	25.9	34.6	6.85	102.2	8.15	7.56	8.04	8.11	7.90	0.038		2	2		0	0	0	
yes		no	no	28	Olowalu	LLHS	RN	MG	LO	OPP	OPP171005	2034	Papalaua Pali	2017-10-05	8:38	1	1	4	2	3	15	1		trades	OPP171005	26.3	34.2	6.71	100.6	8.13	3.64	3.48	3.13	3.42	0.076		2	3		0	1	0	
yes		no	no	29	Olowalu	LLHS	GB	RN		OPM	OPM171026	2073	Martin Hale	2017-10-26	7:01	2	3	3	1	2	6	7		trades	OPM171026	26	34.7	5.78	86.6	7.96	6.06	6.52	6.32	6.30	0.037		1	1		0	0	0	heavy rain 3-4 days ago
yes		no	no	29	Olowalu	LLHS	GB	RN		OCO	OCO171026	2028	Camp Olowalu	2017-10-26	7:31	2	3	3	1	2	6	7		trades	OCO171026	26.7	34.5	6.25	94.7	8.01	4.72	4.81	4.73	4.75	0.010		1	0		0	12	0	heavy rain 3-4 days ago
yes		no	no	29	Olowalu	LLHS	GB	RN		OMM	OMM171026	2029	Mile Marker 14	2017-10-26	7:51	2	3	3	1	2	6	7		trades	OMM171026	26.8	34.5	5.45	82.7	7.96	5.43	5.34	4.99	5.25	0.044		2	0		0	0	0	heavy rain 3-4 days ago
yes		no	no	29	Olowalu	LLHS	GB	RN		OUB	OUB171026	2032	Ukumehame	2017-10-26	8:14	2	3	3	1	2	6	7		trades	OUB171026	26.8	34.8	6.37	96.9	8.06	10.50	9.99	10.80	10.43	0.039		1	1		0	0	0	heavy rain 3-4 days ago
yes		no	no	29	Olowalu	LLHS	GB	RN		OPB	OPB171026	2033	Papalaua Beach	2017-10-26	8:40	2	3	3	1	2	6	7		trades	OPB171026	26.9	34.7	6.47	98.5	8.05	20.00	21.60	21.50	21.03	0.043		2	1		0	0	0	heavy rain 3-4 days ago
yes		no	no	29	Olowalu	LLHS	GB	RN		OPP	OPP171026	2034	Papalaua Pali	2017-10-26	9:05	2	3	3	1	2	6	7		trades	OPP171026	27	34.8	6.67	101.8	8.07	4.89	4.96	5.10	4.98	0.021		2	1		0	0	3	heavy rain 3-4 days ago
