	LHL- Lahainaluna; NMS - National Marine Sanctuary	27								This "Range" column is so you know what the acceptable range is.  The DOH has it quite wide - at 10% of the standard.																								
Session No	Lab ID	Pre Ver Date	Pre Ver Time	Post Ver Date	Post Ver Time	Sal Inst	Sal Meter	Sal Probe	Sal Std (ppt)	Sal Std Range	Sal Pre Zero	Sal Pre Val	Sal Post Zero	Sal Post Val	DO Inst	DO Display Ser No.	DO Probe Ser No.	DO Std (%)	DO Val Range	DO Pre Val (%)	DO Post Val (%)	pH Inst	pH Display Ser No.	pH Probe Ser No.	pH Pre Neutral (7)	pH Pre Basic (10)	pH Post Neutral (7)	pH Post Basic (10)	Temp Inst	Temp Pre Std (°C)	Temp Post Std	Temp Pre Val	Temp Post Val	Temp Range
	Example	6/19/17	10:15 AM	6/23/2017	12:00	Hach 40d	1	2	35	38.57	0.04	34.9	0.04	33.4	Hach 40d	1	1	100	105	101.2	101.8	Hach 40d	1	4	7.00	10.01	7.01	9.97	NIST	26.5	26.5	26.6	26.7	27.5
28	LHL	10/2/17	10:00	10/13/17	12:20	Hach 40d	1	3	35		0.04	34.9	0.04	35	Hach 40d	1	2	100		98.9	99.4	Hach 40d	1	4	7.00	10.01	7.02	10.00	M-1, S-3	28.0	27.3	27.8	27.1	
29	LHL	10/23/17	9:45	10/27/17	12:25	Hach 40d	2	2	33.3		0.03	33.5	0.03	33.5	Hach 40d	2	1	100		100.3	103.2	Hach 40d	2	3	7.00	10.01	7.02	10.00	M-2, S-2	27.5	24.5	27.5	24.8	
1	NMS	11/06/17	11:30	11/08/17	11:30	Hach 40d	1	1	35		0.13	34.8	0.13	35.2	Hach 40d	1	1	100		99	98.9	Hach 40d	1	1	7.01	10.06	7.13	10.13	M-1, S-1	22.3	28.1	22.5	28.3	
30	LHL	11/13/17	9:00	11/17/17	11:30	Hach 40d	1	3	33.3		0.04	33.6	0.03	33.5	Hach 40d	1	2	100		99.6	100.6	Hach 40d	1	4	7.00	10.01	7.01	10.00	M-1, S-3	26.1	24.8	26.1	24.6	
2	NMS	11/20/17	10:00	11/22/17	11:45	Hach 40d	2	2	35		0.14	35.7	0.14	35.5	Hach 40d	2	2	100		98.9	98.9	Hach 40d	2	2	7.00	10.01	7.00	10.01	M-2, S-2	24.0	27.3	24.3	27.4	
3	NMS	12/04/17	9:40	12/06/17	11:00	Hach 40d	1	1	33.3		0.13	33.5	0.14	33.8	Hach 40d	1	1	100		98.9	98.2	Hach 40d	1	1	7.00	10.01	7.04	10.06	M-1, S-1	20.9	25.9	21.2	26.2	
31	LHL	12/04/17	10:00	12/08/17	12:15	Hach 40d	2	2	33.3		0.02	33.7	0.02	33.6	Hach 40d	2	1	100		100.7	100.4	Hach 40d	2	3	7.00	10.01	7.02	10.03	M-2, S-2	24.6	22.0	24.9	22.3	
4	NMS	12/18/17	9:00	12/20/17	11:15	Hach 40d	2	2	35		0.14	35	0.14	34.8	Hach 40d	2	2	100		98.9	98.8	Hach 40d	2	2	7.01	10.06	7.18	10.20	M-2, S-2	20.6	24.3	20.8	24.5	
32	LHL	12/18/17	10:00	12/22/17	12:08	Hach 40d	1	3	33.2		0.04	33.3	0.04	33.3	Hach 40d	1	2	100		98.9	99.4	Hach 40d	1	4	7.00	10.01	7.04	10.06	M-1, S-3	23.3	21.4	23.5	21.4	
5	NMS	01/08/18	11:00	01/10/18	11:00	Hach 40d	1	1	33.3		0.11	33.2	0.13	35.2	Hach 40d	1	1	100		98.1	99	Hach 40d	1	1	7.00	10.01	7.05	10.08	M-1, S-1	23.0	26.4	22.7	26.5	
33	LHL	1/8/18	10:00	1/12/18	12:00	Hach 40d	2	2	35		0.03	34.9	0.04	33.0	Hach 40d	2	1	100		101.2	101.2	Hach 40d	2	3	7.00	10.01	7.02	10.04	M-2, S-2	23.1	22.8	23.4	23.1	
6	NMS	1/23/18	7:00	1/24/18	11:30	Hach 40d	2	2	35		0.14	35.3	0.11	35.1	Hach 40d	2	2	100		98.8	99.1	Hach 40d	2	2	7.02	10.07	7.05	10.08	M-2, S-2	19.6	19.4	19.9	19.7	
