Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
		Example:		26	R2RS	LLHS	CM	TF	MS	RCB	RCB170821	2020	Canoe Beach	2017-08-21	9:22:00	1	1	4	2	3	1	7	2		RCB170821	27.0	33.1	6.92	104.4	8.18	5.78	5.86	6.03	Calculated	Calculated		1	0		1	20		RHL no waves at collection site but waves breaking starting halfway to Lipoa Point, light rain the night before
yes	yes	no	no	8	Wailea	NMS	HH	DM	JJ	WKD	WKD180223		Kilohana Dr	2018-02-23	8:05	2	2	2	2	2	9	7	2	Trades	WKD180223	24.3	35.7	6.87	100.5	8.18	0.68	0.73	0.73	0.71	0.040		1	0		2	20	0	
yes	yes	no	no	8	Wailea	NMS	HH	DM	JJ	WKB	WKB180223		Keawakapu Beach	2018-02-23	8:42	2	2	2	2	2	9	7	2	Trades	WKB180223	24.6	35.6	6.87	100.9	8.16	0.87	0.96	0.98	0.94	0.063		1	0		8	25	0	
yes	yes	no	no	8	Wailea	NMS	HH	DM	JJ	WUL	WUL180223		Ulua Beach	2018-02-23	9:15	2	2	2	2	2	9	7	2	Trades	WUL180223	24.9	35.3	6.92	102.1	8.16	1.45	1.65	1.58	1.56	0.065		1	1		30	35	0	
yes	yes	no	no	8	Wailea	NMS	HH	DM	JJ	WWA	WWA180223		Wailea Beach	2018-02-23	9:47	2	2	2	2	2	9	7	2	Trades	WWA180223	24.9	35.7	6.90	101.9	8.17	1.52	1.63	1.64	1.60	0.042		2	1		14	60	0	
yes	yes	no	no	8	Wailea	NMS	HH	DM	JJ	WPL	WPL180223		Palauea Beach	2018-02-23	10:19	2	2	2	2	2	9	7	2	Trades	WPL180223	24.7	35.7	6.91	101.5	8.17	1.85	2.22	2.29	2.12	0.112		3	1		3	11	0	
yes	yes	no	no	8	Wailea	NMS	HH	DM	JJ	WPO	WPO180223		Poolenalena Beach	2018-02-23	10:40	2	2	2	2	2	9	7	2	Trades	WPO180223	24.9	35.6	6.90	101.7	8.20	0.60	0.63	0.69	0.64	0.072		3	1		0	8	1	
yes	yes	no	no	9	Wailea	NMS	JJ	SD		WKD	WKD180309		Kilohana Dr	2018-03-09	7:57	1	1	1	1	1	22	8	0	Trades	WKD180309	22.1	35.3	7.00	98.0	8.18	0.60	0.63	0.59	0.61	0.034		1	2		0	3	0	
yes	yes	no	no	9	Wailea	NMS	JJ	SD		WKB	WKB180309		Keawakapu Beach	2018-03-09	8:20	1	1	1	1	1	22	8	0	Trades	WKB180309	22.3	34.8	6.94	97.2	8.17	0.98	1.57	1.01	1.19	0.280		1	2		0	12	0	
yes	yes	no	no	9	Wailea	NMS	JJ	SD		WUL	WUL180309		Ulua Beach	2018-03-09	8:37	1	1	1	1	1	22	8	0	Trades	WUL180309	22.7	34.6	6.93	97.6	8.15	1.00	1.41	1.15	1.19	0.175		1	0		4	12	0	
yes	yes	no	no	9	Wailea	NMS	JJ	SD		WWA	WWA180309		Wailea Beach	2018-03-09	9:13	1	1	1	1	1	22	8	0	Trades	WWA180309	22.8	35.3	6.93	98.3	8.18	1.07	0.98	0.81	0.95	0.138		2	4		2	17	0	
yes	yes	no	no	9	Wailea	NMS	JJ	SD		WPL	WPL180309		Palauea Beach	2018-03-09	9:36	1	1	1	1	1	22	8	0	Trades	WPL180309	22.7	35.4	6.88	97.6	8.17	1.12	1.10	1.08	1.10	0.018		2	3		0	10	0	
yes	yes	no	no	9	Wailea	NMS	JJ	SD		WPO	WPO180309		Poolenalena Beach	2018-03-09	10:00	1	1	1	1	1	22	8	0	Trades	WPO180309	23.6	35.2	6.91	99.4	8.20	0.31	0.33	0.37	0.34	0.091		3	4		1	1	0	
yes	yes	no	no	10	Wailea	NMS	JJ	SD		WKD	WKD180323		Kilohana Dr	2018-03-23	8:05	2	2	2	2	2	8	2	0	Trades	WKD180323	24.3	34.4	6.79	98.5	8.17	0.96	1.21	0.82	1.00	0.198		0	0		0	10	0	
yes	yes	no	no	10	Wailea	NMS	JJ	SD		WKB	WKB180323		Keawakapu Beach	2018-03-23	8:20	2	2	2	2	2	8	2	0	Trades	WKB180323	24.7	34.9	6.85	100.1	8.20	0.35	0.40	0.31	0.35	0.128		1	0		1	9	0	
yes	yes	no	no	10	Wailea	NMS	JJ	SD		WUL	WUL180323		Ulua Beach	2018-03-23	8:45	2	2	2	2	2	8	2	0	Trades	WUL180323	24.8	34.4	6.77	99.2	8.15	1.11	1.52	1.70	1.44	0.210		1	0		15	15	0	
yes	yes	no	no	10	Wailea	NMS	JJ	SD		WWA	WWA180323		Wailea Beach	2018-03-23	9:10	2	2	2	2	2	8	2	0	Trades	WWA180323	24.9	34.6	6.78	99.5	8.20	0.51	0.83	0.51	0.62	0.300		2	0		10	20+	0	
yes	yes	no	no	10	Wailea	NMS	JJ	SD		WPL	WPL180323		Palauea Beach	2018-03-23	9:50	2	2	2	2	2	8	2	0	Trades	WPL180323	25.6	34.7	6.77	100.6	8.21	0.77	0.86	0.74	0.79	0.079		2	0		5	10	0	
yes	yes	no	no	10	Wailea	NMS	JJ	SD		WPO	WPO180323		Poolenalena Beach	2018-03-23	9:30	2	2	2	2	2	8	2	0	Trades	WPO180323	25.3	34.7	6.88	101.8	8.22	0.55	0.64	0.63	0.61	0.081		1	0		7	20+	2	We sampled WPO first, and WPL last. Therefore, lines/data in the field datasheet are inverted.
yes	yes	no	no	11	Wailea	NMS	HH	GB	AW	WKD	WKD180406		Kilohana Dr	2018-04-06	7:55	1	1	1	1	1	20	1	2	Trades	WKD180406	25.6	35	6.75	100.3	8.18	0.80	0.65	0.78	0.74	0.110		1	2		1	4	0	
yes	yes	no	no	11	Wailea	NMS	HH	GB	AW	WKB	WKB180406		Keawakapu Beach	2018-04-06	8:20	1	1	1	1	1	20	1	2	Trades	WKB180406	25.7	35.1	6.72	100.1	8.18	0.65	0.57	0.60	0.61	0.067		1	1		2	20	0	
yes	yes	no	no	11	Wailea	NMS	HH	GB	AW	WUL	WUL180406		Ulua Beach	2018-04-06	8:45	1	1	1	1	1	20	1	2	Trades	WUL180406	25.7	34.9	6.77	100.8	8.17	0.64	0.74	0.66	0.68	0.078		1	0		20	20	0	
yes	yes	no	no	11	Wailea	NMS	HH	GB	AW	WWA	WWA180406		Wailea Beach	2018-04-06	9:08	1	1	1	1	1	20	1	2	Trades	WWA180406	26.1	35.2	6.70	100.6	8.19	0.47	0.50	0.54	0.50	0.070		2	3		20	20	0	
yes	yes	no	no	11	Wailea	NMS	HH	GB	AW	WPL	WPL180406		Palauea Beach	2018-04-06	9:32	1	1	1	1	1	20	1	2	Trades	WPL180406	26.1	35.1	6.72	100.7	8.18	1.02	1.18	1.84	1.35	0.323		2	1		8	20	0	
yes	yes	no	no	11	Wailea	NMS	HH	GB	AW	WPO	WPO180406		Poolenalena Beach	2018-04-06	9:52	1	1	1	1	1	20	1	2	Trades	WPO180406	26.1	35	6.76	101.4	8.20	0.44	0.41	0.73	0.53	0.336		2	2		10	20	2	
yes	yes	no	no	12	Wailea	NMS	HH	AW	JJ	WKD	WKD180420		Kilohana Dr	2018-04-20	7:57	2	2	2	2	2	5	8	0	Trades	WKD180420	25.5	34.7	6.67	98.9	8.17	1.81	0.65	0.71	1.06	0.618		1	0		0	12	0	
yes	yes	no	no	12	Wailea	NMS	HH	AW	JJ	WKB	WKB180420		Keawakapu Beach	2018-04-20	8:23	2	2	2	2	2	5	8	0	Trades	WKB180420	25.7	35	6.69	99.6	8.19	0.79	0.98	0.83	0.87	0.116		1	0		2	8	0	
