		RCB031717T	Hach 2100	#	03/17/17	12:00 PM											
Session #	Team	Turb_Sample_ID	TurbInst	TurbMeterNum	Turb Sec Chk Date	Turb Sec Chk Time	Turb Std (L)	Turb Std (M)	Turb Std (H)	Turb Zero Chk (NTU)	Turb Pre (L)	Turb Pre (M)	Turb Pre (H)	Turb Post Zero	Turb Post (L)	Turb Post (M)	Turb Post (H)
24	SR2R	RCB031717T	Hach 2100Q	2	8/4/17	10:48 AM	6.60	60.0	567	0.09	6.48	59.0	562	0.05	6.59	59.2	561
28	R2RS		Hach 2100Q	1	10/3/17	8:00 AM	5.49	57.0	625	0.05	5.57	57.2	627	0.05	5.45	57.3	626
28	Polanui		Hach 2100Q	1	10/4/17	8:00 AM	5.49	57.0	625	0.06	5.53	57.2	626	0.04	5.51	57.4	624
28	Olowalu		Hach 2100Q	1	10/5/17	7:00 AM	5.49	57.0	625	0.05	5.46	57.2	625	0.04	5.49	57.3	624
28	R2RN		Hach 2100Q	1	10/6/17	7:45 AM	5.49	57.0	625	0.05	5.47	57.2	626	0.03	5.50	57.3	625
29	R2RS		Hach 2100Q	3	10/24/17	8:15 AM	5.92	54.3	568	0.07	5.85	54.2	568	0.06	5.91	54.2	569
29	Polanui		Hach 2100Q	3	10/25/17	8:15 AM	5.92	54.3	568	0.06	5.90	54.2	569	0.06	5.92	54.2	569
29	Olowalu		Hach 2100Q	3	10/26/17	6:45 AM	5.92	54.3	568	0.08	5.89	53.9	569	0.06	5.89	54.2	569
29	R2RN		Hach 2100Q	3	10/27/17	7:45 AM	5.92	54.3	568	0.08	5.94	54.2	569	0.07	5.91	54.5	569
1	Kamaole		Hach 2100Q	1	11/07/17	8:10 AM	6.00	56.2	576	0.08	6.00	54.4	575	0.05	5.94	56.4	576
1	Makena		Hach 2100Q	1	11/08/17	8:15 AM	6.00	56.2	576	0.06	5.97	56.4	576	0.07	5.89	56.3	576
30	R2RS		Hach 2100Q	1	11/14/17	8:00 AM	5.49	57.0	625	0.07	5.52	57.7	627	0.07	5.51	57.7	626
30	Polanui		Hach 2100Q	1	11/15/17	8:00 AM	5.49	57.0	625	0.10	5.54	57.4	627	0.06	5.49	57.6	625
30	Olowalu		Hach 2100Q	1	11/16/17	7:00 AM	5.49	57.0	625	0.10	5.50	57.5	627	0.05	5.49	57.6	626
30	R2RN		Hach 2100Q	1	11/17/17	7:40 AM	5.49	57.0	625	0.10	5.50	57.5	628	0.07	5.50	57.7	626
2	Kamaole		Hach 2100Q	2	11/21/17	8:00 AM	5.75	54.1	559	0.06	5.81	54.3	561	0.05	5.75	54.3	561
2	Makena		Hach 2100Q	2	11/22/17	8:00 AM	5.75	54.1	559	0.05	5.76	54.0	560	0.06	5.78	54.1	560
3	Kamaole		Hach 2100Q	1	12/05/17	7:55 AM	6.00	56.2	576	0.07	5.96	56.3	577	0.07	5.98	56.3	577
3	Makena		Hach 2100Q	1	12/06/17	7:45 AM	6.00	56.2	576	0.08	5.93	55.9	578	0.06	5.99	56.2	577
31	R2RS		Hach 2100Q	3	12/5/17	8:00 AM	5.92	54.3	568	0.07	5.90	54.0	571	0.06	5.91	54.1	571
31	Polanui		Hach 2100Q	3	12/6/17	8:00 AM	5.92	54.3	568	0.06	5.91	53.9	571	0.06	5.91	54.0	571
31	Olowalu		Hach 2100Q	3	12/7/17	7:00 AM	5.92	54.3	568	0.06	5.91	54.9	571	0.07	5.91	53.9	571
31	R2RN		Hach 2100Q	3	12/8/17	7:30 AM	5.92	54.3	568	0.07	5.91	53.7	571	0.09	5.92	54.2	570
4	Kamaole		Hach 2100Q	2	12/19/17	8:00 AM	5.85	54.5	574	0.06	5.84	54.6	573	0.05	5.83	54.5	573
