Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	2017-03-17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
			Example:		26	R2RS	LLHS	CM	TF	MS	RCB	RCB170821	2020	Canoe Beach	2017-08-21	9:22:00	1	1	4	2	3	1	7	2		RCB170821	27.0	33.1	6.92	104.4	8.18	5.78	5.86	6.03	Calculated	Calculated		1	0		1	20	0	RHL no waves at collection site but waves breaking starting halfway to Lipoa Point, light rain the night before
yes	yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NHP	NHP180222		Haycraft Park	2018-02-22	8:30	2	2	2	2	2	8	8	0	0	NHP180222	24.4	34.7	6.70	97.5	8.14	6.05	6.02	6.09	6.05	0.006		0.5	0		0	9	0	
yes	yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NKP	NKP180222		Kealia Pond	2018-02-22	9:00	2	2	2	2	2	8	8	0	0	NKP180222	24.4	35.7	6.84	100.0	8.18	3.55	3.63	4.06	3.75	0.073		1	1		0	7	0	
yes	yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NSB	NSB180222		Sugar Beach	2018-02-22	9:25	2	2	2	2	2	8	8	0	0	NSB180222	24.6	35.5	6.78	99.3	8.17	6.34	6.34	6.92	6.53	0.051		0.5	1		0	8	0	
yes	yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NKC	NKC180222		Kihei Canoe Club	2018-02-22	9:48	2	2	2	2	2	8	8	0	0	NKC180222	24.8	34.9	6.72	98.5	8.14	3.00	3.69	3.55	3.41	0.107		0.5	0		0	7	0	
yes	yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NMP	NMP180222		Mai Poina Oe Iau	2018-02-22	10:00	2	2	2	2	2	8	8	0	0	NMP180222	24.7	34.3	6.65	97.1	8.14	4.62	4.34	5.12	4.69	0.084		0	0		0	6	0	
yes	yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NKN	NKN180222		Kalepolepo North	2018-02-22	10:21	2	2	2	2	2	8	8	0	0	NKN180222	24.7	33.1	6.55	95.02	8.14	14.60	15.9	13.40	14.63	0.085		0.5	1		0	2	0	
yes	yes	yes	no	no	9	North Kihei	NMS	RR	KT	BC	NHP	NHP180308		Haycraft Park	2018-03-08	8:06	1	1	1	1	1	21	7	1	Trades	NHP180308	22.9	34.5	6.79	96.1	8.14	5.56	5.47	5.61	5.55	0.013		0	2		0	0	0	
yes	yes	yes	no	no	9	North Kihei	NMS	RR	KT	BC	NKP	NKP180308		Kealia Pond	2018-03-08	8:30	1	1	1	1	1	21	7	1	Trades	NKP180308	23.0	35.7	6.92	98.5	8.19	0.93	1.37	1.01	1.10	0.212		1	1		0	0	0	
