DATE,TIME,TurbDig NTU,Depth ft,CablePower V,Temp deg F,Temp deg C,pH units,TDS mg/l,SpCond uS/cm,Salinity PSS,HDO %Sat,HDO mg/l,Lat,Long
3/30/18,8:23:00,0.20,0.06,12.17,75.44,24.13,8.03,31400.0,49060,32.07,96.6,6.71,20.999203,-156.666668
3/30/18,8:24:00,0.18,0.05,12.17,75.44,24.13,8.10,31610.0,49390,32.31,93.4,6.48,20.999208,-156.666676
3/30/18,8:25:00,0.19,0.05,12.19,75.60,24.22,8.13,31080.0,48570,31.70,91.5,6.36,20.999248,-156.666837
3/30/18,8:26:00,0.22,0.06,12.21,75.69,24.27,8.16,31360.0,49000,32.02,92.0,6.38,20.999071,-156.667041
3/30/18,8:27:00,0.20,0.06,12.19,75.66,24.26,8.17,31650.0,49450,32.35,94.1,6.52,20.998949,-156.667123
3/30/18,8:28:00,0.22,0.06,12.17,75.68,24.27,8.17,31440.0,49130,32.11,94.0,6.51,20.999229,-156.667063
3/30/18,8:29:00,0.19,0.05,12.14,75.66,24.25,8.16,31360.0,49000,32.02,92.9,6.45,20.999498,-156.666932
3/30/18,8:30:00,0.18,0.05,12.07,75.50,24.16,8.15,31470.0,49180,32.15,88.6,6.15,20.999761,-156.666878
3/30/18,8:31:00,0.17,0.05,12.16,75.56,24.20,8.10,31450.0,49140,32.12,84.1,5.84,21.000023,-156.666884
3/30/18,8:32:00,0.20,0.06,12.12,75.60,24.22,8.11,31450.0,49150,32.13,78.0,5.41,21.000269,-156.666949
3/30/18,8:33:00,0.20,0.06,12.17,75.68,24.27,8.15,31850.0,49770,32.58,87.1,6.02,21.000401,-156.667075
3/30/18,8:34:00,0.20,0.06,12.14,75.51,24.17,8.12,31460.0,49150,32.13,87.2,6.06,21.00017,-156.667122
3/30/18,8:35:00,0.19,0.06,12.16,75.52,24.17,8.11,31270.0,48860,31.92,81.4,5.66,20.999872,-156.667133
3/30/18,8:36:00,0.20,0.06,12.16,75.73,24.29,8.18,31320.0,48940,31.98,86.3,5.99,20.999642,-156.667135
3/30/18,8:37:00,0.20,0.06,12.19,75.74,24.30,8.18,31340.0,48980,32.00,91.7,6.36,20.999407,-156.667143
3/30/18,8:38:00,0.19,0.06,12.16,75.75,24.30,8.20,31380.0,49040,32.05,93.4,6.47,20.999141,-156.667176
3/30/18,8:39:00,0.17,0.05,12.16,75.75,24.30,8.21,31470.0,49170,32.14,93.8,6.50,20.998918,-156.667229
3/30/18,8:40:00,0.22,0.06,12.17,75.74,24.30,8.21,31530.0,49270,32.21,96.9,6.71,20.998954,-156.667323
3/30/18,8:41:00,0.23,0.07,12.19,75.85,24.36,8.19,31180.0,48720,31.81,96.6,6.70,20.99926,-156.66727
3/30/18,8:42:00,0.23,0.07,12.17,75.81,24.34,8.21,31230.0,48810,31.87,94.7,6.56,20.999577,-156.667192
3/30/18,8:43:00,0.22,0.06,12.17,75.59,24.21,8.18,31310.0,48920,31.96,87.8,6.10,20.999871,-156.667124
3/30/18,8:44:00,0.21,0.06,12.14,75.62,24.23,8.19,31490.0,49210,32.17,81.8,5.67,21.00016,-156.667074
3/30/18,8:45:00,0.22,0.06,12.16,75.79,24.32,8.22,31730.0,49570,32.44,88.7,6.13,21.000396,-156.667051
3/30/18,8:46:00,0.18,0.05,12.19,75.87,24.37,8.22,31750.0,49610,32.47,93.7,6.47,21.000468,-156.667179
3/30/18,8:47:00,0.16,0.05,12.16,75.65,24.25,8.20,31610.0,49390,32.31,91.4,6.33,21.000253,-156.667288
3/30/18,8:48:00,0.17,0.05,12.16,75.75,24.31,8.21,31470.0,49180,32.15,86.2,5.97,20.999982,-156.667352
3/30/18,8:49:00,0.18,0.05,12.16,75.91,24.39,8.22,31440.0,49130,32.11,88.7,6.13,20.999712,-156.667396
3/30/18,8:50:00,0.18,0.05,12.17,75.92,24.40,8.23,31530.0,49270,32.22,92.8,6.41,20.99946,-156.667445
3/30/18,8:51:00,0.18,0.05,12.16,75.85,24.36,8.25,31540.0,49280,32.22,93.7,6.48,20.999224,-156.66748
3/30/18,8:52:00,0.22,0.06,12.16,75.83,24.35,8.25,31360.0,49000,32.01,96.7,6.70,20.99898,-156.667519
3/30/18,8:53:00,0.19,0.05,12.17,75.84,24.35,8.23,30970.0,48400,31.58,97.6,6.78,20.998826,-156.667619
3/30/18,8:54:00,0.19,0.05,12.12,75.90,24.39,8.25,31140.0,48670,31.77,95.4,6.61,20.998863,-156.667552
3/30/18,8:55:00,0.21,0.06,12.14,75.85,24.36,8.27,31380.0,49040,32.04,98.4,6.81,20.998859,-156.667367
3/30/18,8:56:00,0.22,0.06,12.21,75.86,24.37,8.27,31520.0,49250,32.20,100.7,6.96,20.998925,-156.667178
3/30/18,8:57:00,0.21,0.06,12.16,75.83,24.35,8.27,31270.0,48850,31.91,98.9,6.85,20.998909,-156.667008
3/30/18,8:58:00,0.18,0.05,12.16,75.82,24.34,8.25,31200.0,48750,31.84,99.5,6.90,20.999028,-156.666846
3/30/18,8:59:00,0.16,0.05,12.17,75.72,24.28,8.24,31570.0,49330,32.26,94.7,6.56,20.999209,-156.666697
3/30/18,9:00:00,0.18,0.05,12.16,75.90,24.39,8.25,31560.0,49310,32.24,94.9,6.56,20.999375,-156.666575
3/30/18,9:01:00,0.20,0.06,12.14,75.93,24.41,8.24,31550.0,49290,32.23,95.1,6.57,20.999534,-156.666535
3/30/18,9:02:00,0.23,0.07,12.17,75.91,24.39,8.25,31650.0,49460,32.35,93.6,6.47,20.999739,-156.666522
3/30/18,9:03:00,0.21,0.06,12.16,75.66,24.25,8.21,31470.0,49170,32.14,97.2,6.74,20.999974,-156.666508
3/30/18,9:04:00,0.22,0.06,12.17,75.52,24.18,8.17,30780.0,48100,31.36,92.7,6.46,21.000111,-156.666554
3/30/18,9:05:00,0.19,0.06,12.17,75.79,24.32,8.18,30770.0,48080,31.35,87.0,6.05,21.000295,-156.666636
3/30/18,9:06:00,0.25,0.07,12.17,76.03,24.46,8.23,31490.0,49210,32.17,99.0,6.84,21.000399,-156.666819
3/30/18,9:07:00,0.25,0.07,12.17,76.09,24.49,8.25,31770.0,49640,32.48,100.1,6.89,21.00044,-156.667001
3/30/18,9:08:00,0.22,0.06,12.17,76.01,24.45,8.26,31800.0,49680,32.52,99.8,6.88,21.000506,-156.667134
3/30/18,9:09:00,0.24,0.07,12.17,75.99,24.43,8.24,31580.0,49350,32.27,99.6,6.88,21.000324,-156.666989
3/30/18,9:10:00,0.23,0.07,12.17,75.75,24.31,8.17,31130.0,48640,31.75,93.4,6.48,21.000182,-156.66676
3/30/18,9:11:00,0.21,0.06,12.16,75.67,24.26,8.18,30740.0,48030,31.31,87.1,6.07,21.000173,-156.66652
3/30/18,9:12:00,0.20,0.06,12.16,75.68,24.27,8.18,30610.0,47840,31.17,87.7,6.11,21.000166,-156.666507
