,,,Data Provided by:,,,,,,,,
,,,SOEST Laboratory for ,,,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,,University of Hawaii at Manoa ,,,,,,,,
,,,1000 Pope Rd,,,,,,,,
,,,"Honolulu, HI 96822",,,,,,,,
,,,808-956-5878,,,,,,,,
,,,Date Samples Received:,,8/28/18,,,,,,
,,,,,,,,,,,
,,,Project:,MNMRC,Project: Hui o Ka Wai Ola,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
NKN180821-N-1,1 TNC SOUTH,265.09,12.61,9.79,1600.52,231.87,7.30,,,,
KWP180821-N-1,2 TNC SOUTH,168.95,14.42,10.51,1250.79,82.20,7.93,,,,
KKS180821-N-1,3 TNC SOUTH,109.11,7.34,4.98,761.31,39.14,2.89,
KKP180821-N-1,4 TNC SOUTH,136.22,5.59,3.95,538.99,59.80,3.18,
KCP180821-N-1,5 TNC SOUTH,450.17,27.40,13.79,1485.03,408.18,3.59,
MML180822-N-1,6 TNC SOUTH,138.12,14.22,7.81,481.05,69.78,7.35,
MMB180822-N-1,7 TNC SOUTH,145.70,10.25,6.44,374.14,99.70,2.96,
MAN180822-N-1,8 TNC SOUTH,133.05,14.96,11.49,468.34,21.00,8.53,
