,,,Data Provided by:,,,,,,
,,,SOEST Laboratory for ,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,
,,,University of Hawaii at Manoa ,,,,,,
,,,1000 Pope Rd,,,,,,
,,,"Honolulu, HI 96822",,,,,,
,,,808-956-5878,,,,,,
,,,,,,,,,
,,,Date Samples Received:,,12/11/18,,,,
,,,,,,,,,
,,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
NKN181204-N-1,MNMRC 1,260.17,9.08,8.57,1204.41,144.16,5.82,,
KWP181204-N-1,MNMRC 2,180.16,11.89,12.12,973.81,68.82,10.36,,
KKS181204-N-1,MNMRC 3,137.49,6.58,4.91,515.94,43.93,7.01,,
KKP181204-N-1,MNMRC 4,146.29,10.65,9.58,486.34,46.73,11.10,,
KCP181204-N-1,MNMRC 5,478.28,20.30,20.08,1291.94,361.61,18.30,,
NHP181206-N-1,MNMRC 11,202.76,8.49,6.83,542.58,99.28,6.90,,
NKP181206-N-1,MNMRC 12,179.04,8.35,4.86,162.78,3.13,13.30,,
NSB181206-N-1,MNMRC 13,126.77,7.56,5.30,313.25,39.50,5.63,,
NKC181206-N-1,MNMRC 14,354.28,8.08,6.81,567.40,262.81,8.79,,
NMP181206-N-1,MNMRC 15,290.26,8.26,8.12,1428.69,199.00,5.81,,
WKD181207-N-1,MNMRC 16,85.17,7.22,5.47,172.70,3.96,3.39,,
WKB181207-N-1,MNMRC 17,86.76,4.97,3.78,135.06,5.05,5.06,,
WUL181207-N-1,MNMRC 18,118.22,6.53,4.92,220.82,21.99,5.56,,
WPL181207-N-1,MNMRC 19,99.70,5.04,3.26,166.13,16.42,3.49,,
WPO181207-N-1,MNMRC 20,85.28,6.79,4.69,183.29,9.57,2.57,,
