,,,Data Provided by:,,,,,,,,,,,,
,,,SOEST Laboratory for ,,,,,,,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,,,
,,,University of Hawaii at Manoa ,,,,,,,,,,,,
,,,1000 Pope Rd,,,,,,,,,,,,
,,,"Honolulu, HI 96822",,,,,,,,,,,,
,,,808-956-5878,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Date Samples Received:,,1/17/19,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,,,
,,,,,,,,,"NOTE: I believe these were the samples that were not shipped in time due to the government shutdown. As a result, these were analyzed after the 28-day hold period",,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,,,,
NKN181218-N-1,1,150.66,5.34,3.92,683.02,79.12,2.35,,,,,,,,
KWP181218-N-1,2,114.82,9.70,8.80,921.73,48.39,3.66,,,,,,,,
KKS181218-N-1,3,128.80,5.51,4.35,517.05,43.28,3.73,,,,,,,,
KKP181218-N-1,4,180.23,7.94,5.99,372.16,77.99,5.02,,,,,,,,
KCP181218-N-1,5,689.77,32.74,28.50,1686.62,542.64,18.29,,,,,,,,
MML181219-N-1,6,126.84,8.09,5.11,388.46,49.28,3.61,,,,,,,,
MMB181219-N-1,7,85.22,5.74,3.32,247.27,26.07,1.29,,,,,,,,
MON181219-N-1,8,67.14,5.66,2.99,286.68,15.20,1.44,,,,,,,,
MAN181219-N-1,9,79.77,7.19,4.54,296.89,7.31,3.04,,,,,,,,
MAS181219-N-1,10,79.17,7.63,4.37,269.47,9.81,4.87,,,,,,,,
NHP181220-N-1,11,224.75,9.00,5.88,652.79,135.31,2.70,,,,,,,,
NKP181220-N-1,12,77.83,7.41,2.99,22.30,4.63,3.64,,,,,,,,
NSB181220-N-1,13,118.21,10.69,7.22,291.18,33.40,3.95,,,,,,,,
NKC181220-N-1,14,238.95,10.22,6.98,384.09,146.11,2.27,,,,,,,,
NMP181220-N-1,15,315.30,8.65,7.70,1518.24,224.55,2.83,,,,,,,,
WKD181221-N-1,16,89.20,8.65,4.39,81.14,8.86,1.35,,,,,,,,
WKB181221-N-1,17,96.04,8.55,3.42,72.36,7.69,5.03,,,,,,,,
WUL181221-N-1,18,123.39,9.00,5.18,274.49,43.30,3.76,,,,,,,,
WPL181221-N-1,19,85.56,7.03,3.40,78.01,17.01,1.56,,,,,,,,
WPO181221-N-1,20,67.80,6.97,2.67,46.71,4.02,1.13,,,,,,,,
