,,,Data Provided by:,,,,,,,,,,
,,,SOEST Laboratory for ,,,,,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,,University of Hawaii at Manoa ,,,,,,,,,,
,,,1000 Pope Rd,,,,,,,,,,
,,,"Honolulu, HI 96822",,,,,,,,,,
,,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,,
,,,Date Samples Received:,,1/22/19,,,,,,,,
,,,,,,,,,NOTE: The labels on the bottle did not always match the dates written on the bottle. I have included both versions.,,,,
,,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,,
NKN190115-N-1,1,198.98,12.92,10.85,706.33,64.38,21.92,,,,,,
KWP190115-N-1,2,95.02,10.51,7.55,243.71,8.15,16.33,,,,,,
KKS190115-N-1,3,126.44,11.13,7.81,378.46,38.87,1.58,,,,,,
KKP190115-N-1,4,116.19,9.89,7.18,155.57,33.97,2.68,,,,,,
KCP190115-N-1,5,344.30,22.48,19.43,1064.79,245.38,6.59,,,,,,
MML190116-N-1,6,130.24,11.51,7.12,434.02,52.24,2.92,,,,,,
MMB190116-N-1,7,122.87,10.63,7.67,322.04,47.34,0.58,,,,,,
MON190116-N-1,8,182.03,12.04,9.44,524.28,34.41,8.82,,,,,,
MAN190116-N-1,9,111.44,8.08,5.76,214.06,7.44,3.53,,,,,,
MAS190116-N-1,10,86.78,9.44,7.16,286.79,11.33,2.59,,,,,,
WKD190118-N-1,16,94.41,8.75,4.69,71.25,6.38,3.56,,,,,,
WKB190118-N-1,17,133.34,11.55,5.35,100.74,9.20,6.57,,,,,,
WUL190118-N-1,18,132.80,8.41,3.62,138.38,50.30,3.67,,,,,,
WPL190118-N-1,19,93.56,7.62,3.37,142.60,31.99,2.75,,,,,,
WPO190118-N-1,20,91.91,8.31,3.32,164.88,28.84,2.92,,,,,,
