,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,5/10/19,,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
NKN190430-N-1,1,361.89,13.21,12.92,2440.05,254.48,2.07,,,,,
KWP190430-N-1,2,157.93,9.99,7.08,1657.07,62.84,0.84,,,,,
KKS190430-N-1,3,123.50,7.28,3.91,873.21,36.13,1.05,,,,,
KKP190430-N-1,4,148.11,9.78,6.23,453.40,49.21,1.48,,,,,
KCP190430-N-1,5,734.81,28.87,27.30,2290.06,461.02,4.70,,,,,
MML190501-N-1,6,172.20,11.82,7.09,476.13,69.00,4.52,,,,,
MMB190501-N-1,7,211.63,11.29,8.25,437.01,113.26,1.83,,,,,
MON190501-N-1,8,174.60,12.39,10.76,970.00,82.96,2.67,,,,,
MAN190501-N-1,9,98.92,9.59,6.16,316.48,9.56,2.15,,,,,
MAS190501-N-1,10,98.36,10.62,7.65,326.98,12.35,9.05,,,,,
NHP190502-N-1,11,163.12,10.83,6.29,384.77,61.82,3.83,,,,,
NKP190502-N-1,12,93.18,10.68,5.80,65.59,3.54,2.48,,,,,
NSB190502-N-1,13,133.03,13.23,8.22,412.73,37.04,2.78,,,,,
NKC190502-N-1,14,423.76,11.43,8.23,849.97,305.65,8.54,,,,,
NMP190502-N-1,15,385.36,12.09,11.81,2208.20,267.26,5.96,,,,,
WKD190503-N-1,16,117.81,11.72,6.71,389.55,38.22,1.91,,,,,
WKB190503-N-1,17,106.13,9.99,4.63,192.21,14.06,4.32,,,,,
WUL190503-N-1,18,315.39,11.14,7.69,532.01,168.64,5.89,,,,,
WPL190503-N-1,19,205.39,9.64,5.67,441.47,104.62,8.22,,,,,
WPO190503-N-1,20,146.56,11.56,7.02,334.12,57.84,2.02,,,,,
