,,Data Provided by:,,,,,,,
,,SOEST Laboratory for ,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,
,,University of Hawaii at Manoa ,,,,,,,
,,1000 Pope Rd,,,,,,,
,,"Honolulu, HI 96822",,,,,,,
,,808-956-5878,,,,,,,
,,,,,,,,,
,,Date Samples Received:,,8/23/19,,,,,
,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
NKN190813-N-1,1,312.98,14.52,13.78,1882.69,191.82,4.86,,
KWP190813-N-1,2,130.94,11.04,6.65,417.62,6.76,4.94,,
KKS190813-N-1,3,142.66,8.60,5.39,504.43,23.06,5.63,,
KKP190813-N-1,4,134.76,8.85,3.90,227.70,25.77,4.03,,
KCP190813-N-1,5,492.93,24.41,21.84,1075.78,74.75,29.66,,
NMP190813-N-1,6,255.99,26.02,14.11,1193.62,157.23,4.44,,
MML190814-N-1,7,162.80,14.73,8.63,483.93,54.69,4.91,,
MMB190814-N-1,8,196.17,11.96,7.88,520.52,97.84,2.35,,
MON190814-N-1,9,129.43,11.18,8.06,725.24,32.46,3.48,,
MAN190814-N-1,10,115.91,9.66,5.30,282.25,6.38,2.53,,
MAS190814-N-1,11,121.27,11.20,7.08,285.83,11.99,7.78,,
NMH190815-N-1,12,308.26,13.65,9.27,474.55,59.18,14.29,,
NMC190815-N-1,13,266.60,12.04,8.18,832.05,175.39,11.81,,
NHP190815-N-1,14,166.46,10.96,6.72,539.87,68.04,2.38,,
NKP190815-N-1,15,107.66,11.13,4.78,124.77,4.56,2.71,,
NSB190815-N-1,16,136.28,11.00,7.09,370.84,21.72,2.60,,
NKC190815-N-1,17,232.62,12.13,8.59,617.45,130.26,1.66,,
WKD190816-N-1,18,119.58,10.39,7.10,172.71,18.32,5.13,,
WKB190816-N-1,19,103.92,9.30,4.49,86.53,2.59,0.55,,
WUL190816-N-1,20,159.30,13.43,6.38,160.20,40.41,5.34,,
WPL190816-N-1,21,134.24,12.43,4.86,225.18,39.52,1.27,,
WPO190816-N-1,22,125.92,9.65,4.94,188.32,32.38,1.14,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
