,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,9/13/19,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN190903-N-1,1,132.64,7.73,5.68,560.71,38.42,2.63,,,
KWP190903-N-1,2,172.86,9.28,8.67,1016.59,50.52,9.41,,,
KKS190903-N-1,3,156.62,9.29,8.80,983.59,54.30,3.86,,,
KKP190903-N-1,4,127.22,7.30,6.03,550.21,33.10,3.29,,,
KCP190903-N-1,5,441.46,19.74,19.39,1145.26,357.76,11.45,,,
NMP190903-N-1,6,217.40,9.37,8.95,1148.49,132.18,2.33,,,
MML190904-N-1,7,85.65,9.92,5.29,133.83,7.37,2.70,,,
MMB190904-N-1,8,90.80,7.31,3.69,67.06,6.34,0.36,,,
MON190904-N-1,9,79.97,5.52,3.30,144.32,5.42,2.16,,,
MAN190904-N-1,10,91.38,9.73,5.71,170.07,5.48,2.26,,,
MAS190904-N-1,11,92.31,7.71,4.95,56.44,5.15,7.85,,,
NMH190905-N-1,12,292.48,9.97,8.44,471.63,69.85,14.04,,,
NMC190905-N-1,13,176.51,8.40,6.86,453.90,95.06,4.45,,,
NHP190905-N-1,14,108.66,6.35,3.93,189.39,15.39,0.74,,,
NKP190905-N-1,15,88.10,6.37,3.78,53.58,3.53,<0.28,,,
NSB190905-N-1,16,92.89,8.50,5.60,193.20,11.22,<0.28,,,
NKC190905-N-1,17,130.77,6.94,4.68,264.99,52.56,<0.28,,,
WKD190906-N-1,18,101.97,6.55,4.73,164.53,17.91,0.92,,,
WKB190906-N-1,19,99.16,5.94,3.68,71.93,3.75,2.55,,,
WUL190906-N-1,20,99.78,7.70,3.89,102.47,6.55,1.83,,,
WPL190906-N-1,21,120.95,7.01,4.46,132.75,17.05,4.07,,,
WPO190906-N-1,22,82.69,5.53,3.96,108.54,8.20,0.67,,,
