,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,2/25/21,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
KCP210217-N-1,1,252.37,17.86,16.33,700.61,156.51,2.89,,,
MMB210217-N-1,2,120.27,10.87,7.12,189.82,33.18,<0.28,,,
MAN210217-N-1,3,99.79,7.78,4.90,147.95,7.44,0.72,,,
MAS210217-N-1,4,109.80,12.30,11.08,601.87,29.69,3.79,,,
NMH210218-N-1,5,155.75,12.01,8.89,421.42,51.85,6.40,,,
NMC210218-N-1,6,259.99,9.45,6.64,606.49,156.24,4.11,,,
NHP210218-N-1,7,218.20,9.28,7.25,575.98,122.84,1.62,,,
NKP210218-N-1,8,103.71,8.16,4.90,84.32,3.19,1.28,,,
NKC210218-N-1,9,253.90,9.61,6.00,330.59,178.05,0.34,,,
NKN210216-N-1,10,114.41,9.79,7.85,333.83,28.61,1.21,,,
KWP210216-N-1,11,119.72,9.46,7.19,150.28,11.14,2.46,,,
KKS210216-N-1,12,156.66,10.96,8.21,412.46,64.28,1.28,,,
KKP210216-N-1,13,108.28,9.02,6.71,122.96,13.52,2.70,,,
