,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,6/29/21,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN210622-N-1,1,232.83,10.82,8.35,1309.01,145.31,4.88,,,
KWP210622-N-1,2,137.49,7.91,7.13,1026.67,15.25,5.19,,,
KKS210622-N-1,3,237.85,8.65,6.98,1059.15,105.67,6.47,,,
KKP210622-N-1,4,141.09,8.08,5.41,364.96,45.99,4.21,,,
KCP210623-N-1,5,701.09,22.95,22.79,2815.39,554.98,8.52,,,
MMB210623-N-1,6,237.56,10.11,6.69,417.95,135.91,7.03,,,
MAN210623-N-1,7,111.61,10.03,6.54,325.19,11.29,3.24,,,
MAS210623-N-1,8,130.41,12.88,10.30,441.92,22.64,10.50,,,
NMH210624-N-1,9,154.98,16.26,8.57,450.73,61.61,9.07,,,
NMC210624-N-1,10,457.22,12.14,9.67,1509.40,321.87,9.21,,,
NHP210624-N-1,11,201.09,9.68,6.43,545.13,101.81,6.16,,,
NKP210624-N-1,12,111.62,10.09,3.84,53.44,5.33,4.10,,,
NKC210624-N-1,13,266.14,9.82,6.86,583.92,172.94,1.62,,,
,,,,,,,,,,
