,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,1/11/23,SM91,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
KCP230104-N-1,1,805.55,30.31,27.48,2179.90,418.00,11.55,,,
MMB230104-N-1,2,115.53,12.42,6.88,239.21,9.98,3.22,,,
MAN230104-N-1,3,90.32,10.44,7.25,299.46,9.94,2.91,,,
MAS230104-N-1,4,118.98,14.83,12.98,1005.30,51.91,6.81,,,
NMH230105-N-1,5,134.45,12.35,6.36,347.23,33.70,8.99,,,
NMC230105-N-1,6,229.11,10.40,5.51,298.11,109.50,9.95,,,
NHP230105-N-1,7,189.85,10.44,5.07,422.79,81.29,3.54,,,
NKP230105-N-1,8,111.34,10.37,4.75,82.00,1.89,0.63,,,
NKC230105-N-1,9,279.09,15.15,8.49,509.06,166.47,14.40,,,
NKN230106-N-1,10,148.34,19.28,15.67,799.34,44.86,13.29,,,
KWP230106-N-1,11,170.27,17.65,15.42,1035.80,63.51,26.95,,,
KKS230106-N-1,12,125.53,10.16,7.57,535.24,40.68,2.06,,,
KKP230106-N-1,13,121.87,10.12,6.34,220.08,14.83,8.67,,,
,,,,,,,,,,
