,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,2/2/23,SM92,*Chain of custody says SM91),,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
NKN230124-N-1,1,130.39,18.87,12.96,569.99,31.31,7.02,,,,,
KWP230124-N-1,2,106.41,14.95,9.04,176.83,7.58,3.08,,,,,
KKS230124-N-1,3,115.38,14.75,8.71,294.54,25.95,1.57,,,,,
KKP230124-N-1,4,107.65,23.98,12.32,173.85,13.37,3.19,,,,,
KCP230125-N-1,5,202.20,22.79,16.11,491.88,94.31,12.45,,,,,
MMB230125-N-1,6,87.11,19.66,11.07,122.12,5.66,1.46,,,,,
MAN230125-N-1,7,120.37,11.43,3.74,99.04,3.44,3.13,,,,,
MAS230125-N-1,8,99.63,12.86,8.74,480.57,18.73,3.72,,,,,
NMH230126-N-1,9,128.25,16.62,7.90,349.22,37.37,6.43,,"*Emailed session summary doesn't match Chain of Custody or samples received. The sample ID reported matches the ID on the bottle (and the CoC) the emailed session summary read: ""NKC230126-N-1""",,,
NMC230126-N-1,10,185.85,12.48,5.93,400.53,99.60,9.53,,,,,
NHP230126-N-1,11,195.83,25.65,7.80,311.96,54.84,7.68,,,,,
NKP230126-N-1,12,95.52,11.52,3.98,72.49,2.86,3.24,,,,,
NKC230126-N-1,13,164.65,18.58,11.50,367.61,66.77,5.99,,,,,
,,,,,,,,,,,,
