,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,12/13/17,,
,,,,,,,
,,,Project:,MNMRC,Project: NFWF South Maui WQ Sampling,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
KWP171205-N-1,1 TNC S. MAUI,200.83,18.51,13.30,1062.32,124.29,8.22
KKS171205-N-1,2 TNC S. MAUI,157.45,12.52,8.91,625.32,74.50,7.35
KKP171205-N-1,3 TNC S. MAUI,154.31,10.83,9.42,546.73,90.52,9.42,
KCP171205-N-1,4 TNC S. MAUI,462.15,34.41,32.32,1802.91,382.71,46.67,
KKO171205-N-1,5 TNC S. MAUI,98.97,12.38,6.43,451.44,35.61,2.98,
KKT171205-N-1,6 TNC S. MAUI,81.27,11.45,5.08,237.67,17.77,3.17,
MML171206-N-1,7 TNC S. MAUI,110.74,11.61,5.56,157.70,14.35,4.18,
MMB171206-N-1,8 TNC S. MAUI,76.45,11.97,4.05,100.72,7.75,1.62,
MAN171206-N-1,9 TNC S. MAUI,163.36,17.73,6.07,255.56,5.08,7.24,
MAS171206-N-1,10 TNC S.MAUI,88.17,10.41,4.51,184.94,11.69,3.47,
