,,,Data Provided by:,,,,,,
,,,SOEST Laboratory for ,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,
,,,University of Hawaii at Manoa ,,,,,,
,,,1000 Pope Rd,,,,,,
,,,"Honolulu, HI 96822",,,,,,
,,,808-956-5878,,,,,,
,,,Date Samples Received:,,2/27/18,,,,
,,,,,,,,,
,,,Project:,MNMRC,Project: NFWF South Maui WQ Sampling,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
KWP180220-N-1,1 TNC SOUTH,102.19,16.02,12.48,769.91,31.07,3.74,,
KKS180220-N-1,2 TNC SOUTH,110.65,14.56,9.06,587.36,50.16,4.42,,
KKP180220-N-1,3 TNC SOUTH,92.51,15.12,7.61,350.62,34.09,3.29,,
KCP180220-N-1,4 TNC SOUTH,322.86,27.59,21.98,1147.55,296.94,6.73,,
KKO180220-N-1,5 TNC SOUTH,79.81,17.50,5.14,259.39,25.09,1.25,,
KKT180220-N-1,6 TNC SOUTH,110.05,16.96,6.30,297.45,55.76,2.54,,
MML180221-N-1,7 TNC SOUTH,91.87,17.88,7.14,267.44,21.07,2.29,,
MMB180221-N-1,8 TNC SOUTH,121.27,17.59,6.87,299.93,68.67,1.96,,
MON180221-N-1,9 TNC SOUTH,70.69,12.93,4.59,159.15,9.28,2.94,,
MBS180221-N-1,10 TNC SOUTH,73.80,12.24,4.28,68.74,3.31,2.16,,
MAN180221-N-1,11 TNC SOUTH,77.76,13.16,6.60,405.53,9.18,3.76,,
MAS180221-N-1,12 TNC SOUTH,83.18,12.99,7.78,319.46,15.31,6.27,,
NHP180222-N-1,13 TNC SOUTH,210.91,12.90,7.42,630.72,161.75,2.48,,
NKP180222-N-1,14 TNC SOUTH,70.18,12.01,5.86,106.96,3.10,3.62,,
NSB180222-N-1,15 TNC SOUTH,87.06,12.34,6.54,215.83,21.53,3.45,,
NKC180222-N-1,16 TNC SOUTH,240.51,17.56,7.48,477.13,200.69,12.50,,
NMP180222-N-1,17 TNC SOUTH,197.41,30.35,8.74,1015.97,162.50,3.40,,
NKN180222-N-1,18 TNC SOUTH,242.92,19.61,14.73,1369.24,163.13,7.29,,
WKD180223-N-1,19 TNC SOUTH,70.55,16.58,5.18,120.62,12.30,2.37
WKB180223-N-1,20 TNC SOUTH,105.06,17.88,5.90,161.48,27.42,4.47
WUL180223-N-1,21 TNC SOUTH,155.78,13.60,7.05,235.38,98.54,4.75
WWA180223-N-1,22 TNC SOUTH,131.49,14.44,8.45,251.43,26.54,5.30
WPL180223-N-1,23 TNC SOUTH,100.16,12.46,6.39,184.41,46.45,3.02
**WPO180223-N-1     no sample received ,,,,,,,
