,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,3/14/18,,
,,,,,,,
,,,Project:,MNMRC,Project: NFWF South Maui WQ Sampling,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
KWP180306-N-1,1 TNC SOUTH,171.07,18.85,14.73,1271.72,104.72,1.34
KKS180306-N-1,2 TNC SOUTH,178.07,17.21,12.59,1112.03,119.55,2.35
KKP180306-N-1,3 TNC SOUTH,138.86,16.80,10.11,444.57,78.98,0.93,
KCP180306-N-1,4 TNC SOUTH,399.21,32.22,25.78,1268.50,372.38,7.78,
KKO180306-N-1,5 TNC SOUTH,117.26,15.69,7.93,322.34,36.25,1.16,
KKT180306-N-1,6 TNC SOUTH,65.47,11.54,5.70,265.66,44.26,1.12,
MML180307-N-1,7 TNC SOUTH,93.33,14.97,7.83,261.18,29.15,1.12,
MMB180307-N-1,8 TNC SOUTH,137.96,13.14,6.66,315.93,77.50,<0.28,
MON180307-N-1,9 TNC SOUTH,87.83,10.76,4.95,166.22,12.04,1.86,
MBS180307-N-1,10 TNC SOUTH,75.53,9.44,4.19,49.64,4.05,<0.28,
MAN180307-N-1,11 TNC SOUTH,96.16,12.27,6.74,245.48,7.39,2.32,
MAS180307-N-1,12 TNC SOUTH,99.49,15.20,10.17,730.47,32.41,1.27,
NHP180308-N-1,13 TNC SOUTH,185.52,15.12,8.25,500.50,130.80,1.39,
NKP180308-N-1,14 TNC SOUTH,80.30,10.65,5.22,62.41,5.03,1.14,
NSB180308-N-1,15 TNC SOUTH,118.64,13.56,6.50,235.87,36.61,2.01,
NKC180308-N-1,16 TNC SOUTH,212.17,13.86,6.64,335.36,160.63,2.99,
NMP180308-N-1,17 TNC SOUTH,261.65,14.43,9.05,1161.33,216.49,1.08,
NKN180308-N-1,18 TNC SOUTH,303.37,21.50,16.78,1942.43,267.13,1.74,
WKD180309-N-1,19 TNC SOUTH,92.24,10.21,5.75,172.09,21.16,0.30
WKB180309-N-1,20 TNC SOUTH,132.21,13.50,6.05,318.69,67.06,1.30
WUL180309-N-1,21 TNC SOUTH,223.55,14.69,7.32,341.64,179.43,1.56
WWA180309-N-1,22 TNC SOUTH,89.53,13.95,6.34,264.44,20.81,<0.28
WPL180309-N-1,23 TNC SOUTH,107.20,10.41,5.32,169.10,42.11,0.44
WPO180309-N-1,24 TNC SOUTH,160.97,12.12,5.58,295.35,101.67,0.62
