,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,6/13/18,,
,,,,,,,
,,,Project:,MNMRC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS180605-N-1,1 TNC WEST,84.62,13.20,8.60,483.89,27.07,3.64
RPO180605-N-1,2 TNC WEST,142.41,15.06,12.21,852.47,100.28,2.08
RKS180605-N-1,3 TNC WEST,107.50,17.08,6.70,143.87,3.51,9.18,,
RAB180605-N-1,4 TNC WEST,89.58,12.38,8.03,442.19,23.48,2.85,,
RCB180605-N-1,5 TNC WEST,132.44,11.05,8.43,626.79,73.78,2.51,,
RWA180605-N-1,6 TNC WEST,84.42,11.83,9.88,517.97,17.85,0.81,,
PFF180606-N-1,7 TNC WEST,67.82,6.16,5.45,204.93,6.52,0.81,,
PLH180606-N-1,8 TNC WEST,74.44,7.28,6.06,171.46,11.98,1.20,,
PLT180606-N-1,9 TNC WEST,73.73,6.60,5.63,102.72,9.47,2.32,,
OLP180606-N-1,11 TNC WEST,171.93,12.36,10.09,60.98,4.96,8.23,,
OSF180606-N-1,12 TNC WEST,81.46,7.81,5.08,115.78,7.02,3.58,,
OPM180607-N-1,13 TNC WEST,64.91,7.11,4.88,146.32,3.44,1.27,,
OCO180607-N-1,14 TNC WEST,59.56,6.45,5.58,283.20,3.25,2.46,,
OMM180607-N-1,15 TNC WEST,63.88,6.81,5.63,248.72,4.74,2.28,,
OUB180607-N-1,16 TNC WEST,57.53,6.38,3.85,92.61,2.67,0.81,,
OPB180607-N-1,17 TNC WEST,61.05,5.43,3.28,84.42,2.71,1.24,,
OPP180607-N-1,18 TNC WEST,53.23,7.18,4.07,91.09,2.50,0.81,,
RHL180608-N-1,19 TNC WEST,86.50,16.76,10.30,562.08,5.14,4.92,,
RFN180608-N-1,20 TNC WEST,71.82,10.67,6.62,330.42,15.89,0.89
RON180608-N-1,21 TNC WEST,82.35,10.11,4.50,73.51,5.11,1.60
RFS180608-N-1,22 TNC WEST,225.53,24.22,20.53,1284.66,138.44,5.59
RKO180608-N-1,23 TNC WEST,124.63,13.93,11.56,686.05,72.95,1.95
RKV180608-N-1,24 TNC WEST,74.24,9.21,5.97,319.33,14.95,1.63
