,,,Data Provided by:,,,,,,
,,,SOEST Laboratory for ,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,
,,,University of Hawaii at Manoa ,,,,,,
,,,1000 Pope Rd,,,,,,
,,,"Honolulu, HI 96822",,,,,,
,,,808-956-5878,,,,,,
,,,,,,,,,
,,,Date Samples Received:,,11/7/18,,,,
,,,,,,,,,
,,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
RNS181030-N-1,1 TNC WEST ,118.82,10.43,7.84,260.66,12.83,5.28,,
RPO181030-N-1,2 TNC WEST,110.81,10.77,8.88,366.54,28.37,7.46,,
RKS181030-N-1,3 TNC WEST,85.12,7.27,5.57,123.67,7.25,2.68,,
RCB181030-N-1,4 TNC WEST,90.17,8.06,5.87,206.95,10.39,6.69,,
RWA181030-N-1,5 TNC WEST,82.35,15.55,8.56,224.39,4.54,1.80,,
PFF181031-N-1,6 TNC WEST,84.92,13.43,12.12,816.64,4.68,6.12,,
PLH181031-N-1,7 TNC WEST,79.91,10.21,8.63,253.78,4.07,8.27,,
PLT181031-N-1,8 TNC WEST,98.13,15.06,12.01,574.89,18.10,9.80,,
OSF181031-N-1,9 TNC WEST,78.49,9.15,5.47,116.04,4.00,1.85,,
OPM181101-N-1,10 TNC WEST,85.24,8.85,5.55,184.32,5.28,6.47,,
OCO181101-N-1,11 TNC WEST,84.35,6.31,6.34,407.53,8.89,2.93,,
OUB181101-N-1,12 TNC WEST,70.90,7.26,5.11,124.74,2.30,2.67,,
OPB181101-N-1,13 TNC WEST,80.30,5.82,3.63,124.95,4.19,1.80,,
OPP181101-N-1,14 TNC WEST,75.29,8.46,5.28,207.87,3.17,6.16,,
RHL181102-N-1,15 TNC WEST,97.19,16.50,10.90,492.40,6.60,16.94,,
RON181102-N-1,16 TNC WEST,73.86,10.28,4.20,137.81,6.11,1.12,,
RFS181102-N-1,17 TNC WEST,142.83,19.18,12.09,594.96,68.08,4.56,,
RKO181102-N-1,18 TNC WEST,121.39,14.87,10.63,463.12,59.51,1.55,,
RKV181102-N-1,19 TNC WEST,95.28,14.86,9.62,375.31,27.14,6.27,,
