,,,Data Provided by:,,,,,,
,,,SOEST Laboratory for ,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,
,,,University of Hawaii at Manoa ,,,,,,
,,,1000 Pope Rd,,,,,,
,,,"Honolulu, HI 96822",,,,,,
,,,808-956-5878,,,,,,
,,,,,,,,,
,,,Date Samples Received:,,2/6/19,,,,
,,,,,,,,,
,,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
RNS190129-N-1,1,74.10,8.85,5.54,150.60,6.19,4.21,,
RPO190129-N-1,2,187.14,12.29,10.85,814.55,96.20,3.65,,
RKS190129-N-1,3,69.32,9.14,6.41,229.82,4.43,2.23,,
RCB190129-N-1,4,102.17,8.56,5.47,318.86,30.60,4.41,,
RWA190129-N-1,5,93.09,13.20,11.81,921.64,23.42,2.26,,
PFF190130-N-1,6,80.07,10.77,10.43,868.85,6.66,5.43,,
PLH190130-N-1,7,71.85,9.13,7.40,334.35,3.46,1.91,,
PLT190130-N-1,8,75.45,8.82,7.19,345.14,9.13,2.90,,
OSF190130-N-1,9,75.75,7.98,4.61,140.55,3.17,3.89,,
OPM190131-N-1,10,84.53,7.37,5.04,273.45,4.54,8.34,,
OCO190131-N-1,11,71.52,5.24,3.84,223.83,4.22,4.88,,
OUB190131-N-1,12,66.83,4.84,4.20,82.54,5.04,2.50,,
OPB190131-N-1,13,66.59,5.27,3.63,102.17,2.66,4.40,,
OPP190131-N-1,14,72.63,6.55,4.31,105.85,2.78,4.26,,
RHL190201-N-1,15,114.85,11.36,10.13,802.06,16.81,4.33,,
RON190201-N-1,16,79.30,8.29,4.91,82.46,6.53,2.39,,
RFS190201-N-1,17,122.73,12.49,11.11,602.23,38.06,4.42,,
RKO190201-N-1,18,115.86,14.13,13.31,516.13,46.89,4.34,,
RKV190201-N-1,19,87.98,9.88,9.06,388.36,13.89,2.36,,
