,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,8/6/20,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
RNS200728-N-1,1,127.26,12.92,9.68,611.17,34.98,2.32,,,
RPO200728-N-1,2,318.45,14.49,11.95,915.38,202.44,5.13,,,
RKS200728-N-1,3,137.72,8.59,6.08,241.29,11.10,11.09,,,
RKT200728-N-1,4,94.21,7.90,5.22,143.69,7.76,2.36,,,
RCB200728-N-1,5,154.25,9.71,6.72,491.37,54.59,3.28,,,
RWA200728-N-1,6,96.57,9.37,5.38,288.73,12.22,0.70,,,
PFF200729-N-1,7,112.99,8.55,6.03,524.33,5.98,2.12,,,
PLH200729-N-1,8,119.13,11.60,9.40,672.01,16.66,2.97,,,
PLT200729-N-1,9,110.63,9.69,6.82,522.83,21.67,3.58,,,
RHL200731-N-1,10,130.33,10.33,6.96,359.13,7.03,5.92,,,
RON200731-N-1,11,90.41,7.95,4.68,143.45,7.36,0.55,,,
RFS200731-N-1,12,137.04,10.23,7.06,457.52,47.01,2.81,,,
RKO200731-N-1,13,153.84,10.83,8.59,571.59,64.82,1.35,,,
RKV200731-N-1,14,114.63,8.53,6.26,498.11,22.74,1.14,,,
