,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,1/21/21,,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
RNS210112-N-1,1,95.50,9.64,5.31,172.46,11.39,1.65,,,,,
RPO210112-N-1,2,174.20,15.34,11.78,703.25,86.27,3.17,,,,,
RKS210112-N-1,3,95.34,8.38,4.14,63.68,6.97,0.95,,,,,
RKT210112-N-1,4,111.63,9.51,5.73,116.45,8.89,1.33,,,,,
RCB210112-N-1,5,246.00,12.08,8.86,1257.62,156.05,3.91,,,,,
RWA210112-N-1,6,141.74,20.95,18.47,2830.19,61.00,0.54,,,,,
PFF210113-N-1,7,102.34,9.30,5.25,152.00,8.27,0.31,,,,,
PLH210113-N-1,8,94.52,10.53,7.51,397.60,10.65,<0.28,,,,,
PLT210113-N-1,9,95.64,11.55,8.90,567.56,12.83,2.26,,,,,
OCO210113-N-1,10,94.47,6.62,4.43,430.85,10.48,0.95,,,,,
OPP210113-N-1,11,90.27,6.03,3.48,82.93,3.79,<0.28,,,,,
RHL210114-N-1,12,101.12,12.10,8.67,265.76,6.35,0.33,,,,,
RON210114-N-1,13,91.59,7.77,3.35,65.21,4.73,<0.28,,,,,
RFS210114-N-1,14,113.76,9.75,6.47,288.99,18.99,1.09,,,,,
RKO210114-N-1,15,123.08,15.22,13.03,387.98,42.27,1.18,,,,,
RKV210114-N-1,16,93.97,9.44,4.50,151.73,9.41,0.49,,,,,
