,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,7/8/21,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
RNS210629-N-1,1,168.34,44.26,19.11,766.38,41.02,7.84,,,
RPO210629-N-1,2,252.53,14.69,11.80,780.43,122.93,3.27,,,
RKS210629-N-1,3,78.91,21.43,9.15,166.33,12.11,2.10,,,
RKT210629-N-1,4,75.65,12.89,9.56,320.95,6.96,2.15,,,
RCB210629-N-1,5,141.55,19.81,12.57,806.61,81.98,3.01,,,
RWA210629-N-1,6,88.17,47.51,18.66,800.32,25.09,1.11,,,
PFF210630-N-1,7,73.66,13.46,12.94,919.66,7.54,6.43,,,
PLH210630-N-1,8,64.50,13.44,9.14,227.39,5.74,4.60,,,
PLT210630-N-1,9,96.28,137.23,31.44,436.58,19.63,8.59,,,
OCO210630-N-1,10,64.17,7.97,5.97,304.17,6.96,1.57,,,
OPP210630-N-1,11,66.75,13.69,6.42,110.52,5.50,2.04,,,
RHL210701-N-1,12,89.07,12.29,6.39,290.77,2.23,6.45,,,
RON210701-N-1,13,63.86,10.47,4.80,94.49,5.08,1.31,,,
RFS210701-N-1,14,111.59,19.95,12.38,597.59,50.67,4.26,,,
RKO210701-N-1,15,120.83,14.40,13.06,716.62,67.58,3.67,,,
RKV210701-N-1,16,82.41,9.72,7.27,391.60,15.05,2.23,,,
