,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,3/29/23,WM119,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,Salinity,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,0/00,,,,
RNS230321-N-1,1,145.82,16.92,7.17,238.08,9.14,11.59,34.76,,,,
RPO230321-N-1,2,164.01,14.07,9.45,979.91,113.84,7.70,33.95,,,,
RKS230321-N-1,3,84.10,11.20,4.25,198.46,10.52,11.14,34.62,,,,
RKT230321-N-1,4,95.02,12.38,4.36,117.93,3.21,6.55,34.92,,,,
RCB230321-N-1,5,200.30,15.52,11.42,1586.90,158.05,10.59,33.30,,,,
RWA230321-N-1,6,129.91,15.46,12.28,1465.21,29.26,6.83,33.69,,,,
PFF230322-N-1,7,69.27,9.60,4.73,281.58,3.16,4.72,34.98,,,,
PLH230322-N-1,8,77.04,10.73,5.69,360.67,7.17,5.45,34.90,,,,
PLT230322-N-1,9,102.87,12.98,6.95,300.11,6.58,8.97,34.65,,,,
OCO230322-N-1,10,70.35,10.24,5.35,510.53,6.63,6.96,34.47,,,,
OPP230322-N-1,11,65.14,7.92,2.82,104.21,2.37,7.30,35.71,,,,
RHL230323-N-1,12,89.61,11.44,5.80,431.06,1.98,8.81,34.66,,,,
RON230323-N-1,13,101.48,9.20,2.67,217.57,3.21,7.39,35.92,,,,
RFS230323-N-1,14,110.40,14.85,9.28,549.97,34.64,6.27,34.64,,,,
RKO230323-N-1,15,93.84,14.12,11.01,755.99,47.54,4.20,34.61,,,,
RKV230323-N-1,16,99.83,10.48,5.11,587.68,19.26,6.08,34.74,,,,
