,,Data Provided by:,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,
,,808-956-5878,,,,,,,,,
,,,,,,,,,,,
,,Date Samples Received:,,6/21/23,WM123,,,,,,
,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,
,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
RNS230613-N-1,1,294.76,35.16,33.72,723.90,31.84,14.49,,,,
RPO230613-N-1,2,310.80,12.72,11.24,2384.52,214.24,5.57,,,,
RKS230613-N-1,3,681.59,73.07,65.98,161.22,5.09,38.80,,,,
RKT230613-N-1,4,88.86,9.04,4.94,114.44,4.12,4.56,,,,
RCB230613-N-1,5,113.21,11.31,6.26,505.47,27.83,6.34,,,,
RWA230613-N-1,6,96.04,11.03,7.80,544.81,10.82,3.09,,,,
PFF230614-N-1,7,84.38,7.70,3.56,138.28,1.50,3.92,,,,
PLH230614-N-1,8,92.68,8.02,5.75,284.16,9.88,5.12,,,,
PLT230614-N-1,9,113.84,8.12,3.96,209.60,8.46,7.17,,,,
OCO230614-N-1,10,80.17,5.89,4.64,580.20,2.63,4.37,,,,
OMM230614-N-1,11,76.47,5.40,3.79,378.69,2.29,4.18,,,,
OUB230614-N-1,12,100.48,7.01,3.45,236.84,3.18,9.66,,,,
OPP230614-N-1,13,71.50,6.40,3.78,182.53,1.66,2.31,,,,
RHL230615-N-1,14,113.42,10.88,6.19,621.44,3.49,9.77,,,,
RON230615-N-1,15,85.50,7.97,3.43,107.41,2.15,2.01,,,,
RFS230615-N-1,16,261.77,22.89,21.34,3215.79,154.79,5.02,,,,
RKO230615-N-1,17,147.50,10.65,8.69,787.57,52.64,3.14,,,,
RKV230615-N-1,18,99.14,8.05,4.31,223.11,8.62,3.24,,,,
