,,Data Provided by:,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,
,,808-956-5878,,,,,,,,,
,,,,,,,,,,,
,,Date Samples Received:,,9/26/23,FR4,,,,,,
,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,
,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
LMT230921-N-1,FR-1,81.46,8.18,3.60,243.86,5.29,1.60,,,,
LMR230921-N-1,FR-2,85.58,8.44,4.12,260.35,5.08,3.51,,,,
LPS230921-N-1,FR-3,74.27,7.24,2.81,104.78,1.75,1.07,,,,
LLH230921-N-1,FR-4,81.90,7.72,2.74,126.51,1.29,0.65,,,,
PFF230921-N-1,FR-5,81.16,7.98,3.56,119.76,3.22,1.23,,,,
PLH230921-N-1,FR-6,94.29,11.41,8.09,556.36,7.30,3.53,,,,
PLT230921-N-1,FR-7,96.37,9.83,6.99,526.08,11.47,3.54,,,,
RCB230922-N-1,FR-8,107.68,9.06,4.79,391.14,23.79,3.55,,,,
RWA230922-N-1,FR-9,86.97,9.76,3.41,223.63,5.10,0.75,,,,
OCO230922-N-1,FR-10,85.66,5.86,3.36,373.05,2.19,1.17,,,,
OMM230922-N-1,FR-11,84.64,5.59,2.09,202.07,5.15,0.91,,,,
