,,Data Provided by:,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,
,,808-956-5878,,,,,,,,,
,,,,,,,,,,,
,,Date Samples Received:,,11/3/23,FR6,,,,,,
,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,
,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
LMT231027-N-1,FR-1,97.80,7.67,4.73,212.75,10.06,8.03,,,,
LMR231027-N-1,FR-2,86.24,7.32,4.97,303.77,7.01,4.20,,,,
LPS231027-N-1,FR-3,77.74,5.71,3.17,258.37,5.26,1.12,,,,
LLH231027-N-1,FR-4,85.31,7.83,5.42,350.31,6.94,1.97,,,,
PFF231027-N-1,FR-5,79.30,7.45,5.94,231.70,7.56,2.36,,,,
PLH231027-N-1,FR-6,81.08,7.00,5.21,177.56,7.58,3.27,,,,
PLT231027-N-1,FR-7,90.76,8.19,6.34,303.28,13.24,7.56,,,,
