,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,8/17/16,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO160809-N-1,1 TNC,156.99,18.41,9.96,592.29,110.40,4.87
RPO160809-N-2,2 TNC,173.05,20.40,9.00,520.01,93.96,7.99
RKS160809-N-1,3 TNC,76.01,14.15,7.25,373.12,10.63,3.85
RAB160809-N-1,4 TNC,70.02,14.87,6.66,322.69,22.60,2.38
RCB160809-N-1,5 TNC,102.63,16.01,8.63,509.76,55.50,5.40
RWA160809-N-1,6 TNC,63.27,14.74,6.01,268.63,7.89,4.72
PFF160810-N-1,7 TNC,50.94,13.33,6.11,258.54,4.44,<1.5
PLH160810-N-1,8 TNC,61.90,11.79,9.56,447.20,8.71,11.90
PLT160810-N-1,9 TNC,72.34,14.43,5.83,349.50,13.55,5.49
OLP160810-N-1,10 TNC,55.04,11.77,4.62,116.02,3.03,<1.5
OSF160810-N-1,11 TNC,54.70,11.68,4.27,76.48,4.77,3.61
OPM160811-N-1,12 TNC,64.31,12.65,4.43,187.55,4.51,1.77
OPM160811-N-2,13 TNC,63.65,13.32,4.48,190.65,4.61,2.76
OCO160811-N-1,14 TNC,48.57,13.29,3.89,256.82,2.44,1.55
OMM160811-N-1,15 TNC,74.31,12.79,5.42,302.71,3.50,3.26
OUB160811-N-1,16 TNC,54.10,13.20,3.98,66.18,3.16,1.92
OPB160811-N-1,17 TNC,51.97,9.41,2.49,61.77,2.73,<1.5
OPP160811-N-1,18 TNC,50.55,8.52,4.06,180.81,3.06,<1.5
