,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,8/30/16,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO160823-N-1,1 TNC,180.79,18.64,14.45,710.64,126.76,5.05
RKS160823-N-1,2 TNC,90.19,15.02,8.59,496.44,15.22,3.19
RAB160823-N-1,3 TNC,87.24,13.12,7.32,350.09,25.95,1.89
RCB160823-N-1,4 TNC,94.47,14.38,7.20,352.84,34.43,2.08
RWA160823-N-1,5 TNC,71.25,14.83,6.20,224.59,10.41,<1.5
PFF160824-N-1,6 TNC,69.42,21.92,13.31,547.85,4.31,5.09
PLH160824-N-1,7 TNC,91.13,19.38,10.92,699.52,28.62,5.08
PLT160824-N-1,8 TNC,82.15,16.98,8.93,344.26,11.70,2.18
PPU160824-N-1,9 TNC,75.09,13.60,3.70,267.73,6.64,3.45
OLP160824-N-1,10 TNC,74.93,15.49,4.26,103.05,2.59,1.65
OSF160824-N-1,11 TNC,79.93,13.90,4.60,113.47,4.55,3.72
OPM160825-N-1,12 TNC,72.15,14.75,4.99,169.91,6.19,2.62
OCO160825-N-1,13 TNC,66.51,13.81,4.95,238.92,5.16,<1.5
OMM160825-N-1,14 TNC,62.23,12.75,5.12,280.11,5.63,1.66
OUB160825-N-1,15 TNC,67.52,14.74,3.78,90.14,4.40,<1.5
OPB160825-N-1,16 TNC,83.51,16.05,4.17,243.97,5.83,4.00
OPP160825-N-1,17 TNC,59.46,12.41,4.08,164.99,4.22,<1.5
