,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,10/26/16,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO161018-N-1,1 TNC,105.57,12.87,11.67,399.05,38.62,10.94
RKS161018-N-1,2 TNC,73.60,10.50,8.13,368.37,8.21,4.35
RAB161018-N-1,3 TNC,87.06,9.44,7.10,343.83,24.67,3.49
RCB161018-N-1,4 TNC,84.95,23.40,6.50,270.97,15.75,12.04
RWA161018-N-1,5 TNC,78.88,20.54,9.62,489.05,12.57,11.06
PFF161019-N-1,6 TNC,66.81,27.85,12.49,768.82,3.60,3.18
PLH161019-N-1,7 TNC,81.40,27.18,12.20,694.78,9.23,11.23
PLT161019-N-1,8 TNC,77.93,24.92,11.63,632.91,9.33,9.78
PPU161019-N-1,9 TNC,95.61,15.79,5.08,153.70,<0.1,3.31
OLP161019-N-1,10 TNC,67.89,9.54,5.57,95.06,1.65,25.59
OSF161019-N-1,11 TNC,72.84,18.92,7.01,65.37,3.17,12.06
OPM161020-N-1,12 TNC,92.69,18.44,6.00,127.80,3.20,5.69
OCO161020-N-1,13 TNC,61.12,13.01,5.03,191.78,1.50,3.31
OMM161020-N-1,14 TNC,83.49,12.00,6.11,291.78,4.95,7.48
OUB161020-N-1,15 TNC,63.97,8.44,5.02,76.62,0.69,6.85
OPB161020-N-1,16 TNC,68.11,11.95,6.34,67.79,4.80,3.18
OPP161020-N-1,17 TNC,64.65,9.36,5.40,185.87,2.37,3.18
