,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,1/10/17,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO170103-N-1,1 TNC,121.24,19.77,11.33,448.82,56.24,3.17
RKS170103-N-1,2 TNC,85.83,13.88,7.78,1253.58,11.97,3.57
RAB170103-N-1,3 TNC,82.42,12.88,7.56,314.68,15.25,1.63,
RAB170103-N-2,4 TNC,81.91,12.91,7.71,307.14,15.30,1.72,
RCB170103-N-1,5 TNC,121.24,14.48,7.73,430.02,47.01,3.18,
RWA170103-N-1,6 TNC,85.84,11.24,5.84,223.38,10.13,<1.5,
PFF170104-N-1,7 TNC,89.72,17.00,12.86,920.80,8.49,2.39,
PLH170104-N-1,8 TNC,135.13,18.19,13.14,400.39,10.19,2.98,
PLT170104-N-1,9 TNC,93.72,14.89,10.45,554.29,23.00,3.64,
PPU170104-N-1,10 TNC,87.56,10.94,4.16,136.98,2.47,1.55,
OLP170104-N-1,11 TNC,76.98,8.58,3.25,117.30,2.59,<1.5,
OSF170104-N-1,12 TNC,80.46,10.00,4.76,120.30,5.16,3.72,
OPM170105-N-1,13 TNC,100.48,9.99,5.66,208.26,20.10,<1.5,
OCO170105-N-1,14 TNC,77.67,9.54,5.63,360.48,12.58,<1.5,
OMM170105-N-1,15 TNC,75.42,9.68,5.21,273.05,9.83,2.27,
OUB170105-N-1,16 TNC,75.23,12.42,5.28,88.84,7.87,<1.5,
OPB170105-N-1,17 TNC,76.14,12.57,4.28,113.68,6.13,1.79,
OPP170105-N-1,18 TNC,72.55,14.42,5.17,103.37,9.07,1.61,
,,,,
