,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,1/31/17,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO170124-N-1,1 TNC,367.08,40.74,36.70,1085.08,327.13,5.14
RKS170124-N-1,2 TNC,87.70,20.24,19.30,662.68,9.48,6.54
RAB170124-N-1,3 TNC,79.75,23.24,18.90,237.48,13.92,4.49,
RCB170124-N-1,4 TNC,113.22,19.74,16.74,327.23,46.28,7.68,
RWA170124-N-1,5 TNC,117.23,34.70,30.64,953.96,56.58,4.25,
PFF170125-N-1,6 TNC,80.46,17.65,15.38,206.96,6.16,6.27,
PLH170125-N-1,7 TNC,84.69,15.80,14.91,195.95,5.22,6.01,
PLT170125-N-1,8 TNC,76.35,15.03,12.77,181.82,4.76,7.59,
PPU170125-N-1,9 TNC,77.98,12.72,8.61,118.55,1.01,4.72,
OLP170125-N-1,10 TNC,363.96,32.04,17.99,123.12,2.63,31.67,
OSF170125-N-1,11 TNC,77.50,15.25,8.71,94.53,4.94,6.54,
OPM170126-N-1,12 TNC,87.41,14.86,8.54,146.89,6.87,4.85,
OCO170126-N-1,13 TNC,76.55,10.03,6.31,264.47,6.34,6.80,
OMM170126-N-1,14 TNC,73.14,15.07,7.64,201.91,7.83,7.38,
OUB170126-N-1,15 TNC,79.41,15.49,6.83,110.39,8.47,5.32,
OPB170126-N-1,16 TNC,75.92,19.20,6.36,74.87,7.03,4.68,
OPP170126-N-1,17 TNC,72.52,15.62,5.50,84.73,2.24,5.64,
,,,,
