,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,2/22/17,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS170214-N-1,1 TNC,80.51,11.1,6.75,205.37,12.88,6.65
RPO170214-N-1,2 TNC,103.87,14.35,10,316.93,36.3,6.51
RKS170214-N-1,3 TNC,78.01,11.84,7.75,178.1,5.37,6.19
RAB170214-N-1,4 TNC,95.15,14.98,10.48,381.69,23.45,6.22
RCB170214-N-1,5 TNC,136.07,16.87,10.08,457.43,71,6.74
RWA170214-N-1,6 TNC,95.6,15.08,10.84,490.89,29.92,5.61
PFF170215-N-1,7 TNC,80.69,13.7,11.52,486.27,5.23,7.38
PLH170215-N-1,8 TNC,94.63,13.86,10.03,386.33,26.13,7.81
PLT170215-N-1,9 TNC,107.67,13.21,8.5,321.19,26.27,7.93
PPU170215-N-1,10 TNC,101.2,10.97,5.45,130.64,2.72,6.83
OLP170215-N-1,11 TNC,93.72,11.03,6.24,174.42,6,6.51
OSF170215-N-1,12 TNC,83.21,11.44,6.52,150.71,5.57,7.22
OSF170215-N-2,13 TNC,81.41,10.88,6.93,150.17,5.63,7.2
OPM170217-N-1,14 TNC,78.99,10.76,5.87,115.55,6.22,5.64
OCO170217-N-1,15 TNC,99.69,11.06,5.98,161.36,7.09,8.75
OMM170217-N-1,16 TNC,88.27,10.18,5.93,168.59,9.16,8.67
OUB170217-N-1,17 TNC,95.54,9.67,5.16,65.93,4.3,8.73
OPB170217-N-1,18 TNC,74.08,9.2,6.11,91.12,8.47,7.29
OPP170217-N-1,19 TNC,76.73,9.13,6.25,127.75,10.41,8.03
