,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,4/23/17,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS170418-N-1,1 TNC,161.44,13.29,9.28,437.66,20.27,6.27
RPO170418-N-1,2 TNC,230.16,15.66,13.43,1122.88,146.51,3.88
RKS170418-N-1,3 TNC,146.46,11.19,7.94,1203.24,16.14,7.74,,
RAB170418-N-1,4 TNC,128.53,13.35,9.08,619.74,35.00,3.88,,
RCB170418-N-1,5 TNC,168.36,13.71,10.41,850.37,79.71,4.93,,
RWA170418-N-1,6 TNC,131.32,18.46,15.75,1191.85,40.97,2.46,,
PFF170419-N-1,7 TNC,90.59,14.16,10.60,690.76,3.47,3.86,,
PLH170419-N-1,8 TNC,91.68,11.62,8.36,261.11,3.39,2.74,,
PLT170419-N-1,9 TNC,109.01,14.12,11.45,562.02,23.82,6.27,,
PPU170419-N-1,10 TNC,90.76,8.46,4.84,97.38,1.25,3.55,,
PPU170419-N-2,11 TNC,92.21,8.53,4.95,96.62,1.22,3.58,,
OLP170419-N-1,12 TNC,84.75,8.23,4.45,74.79,0.59,2.37,,
OSF170419-N-1,13 TNC,118.54,9.25,6.57,158.80,3.77,7.88,,
OPM170420-N-1,14 TNC,95.44,9.63,6.18,162.82,3.58,4.19,,
OCO170420-N-1,15 TNC,92.19,8.65,6.75,492.01,4.96,4.66,,
OMM170420-N-1,16 TNC,88.28,9.53,7.38,527.84,7.43,5.56,,
OUB170420-N-1,17 TNC,83.28,10.30,5.44,72.89,3.09,2.75,,
OPB170420-N-1,18 TNC,85.81,6.78,4.25,109.36,3.48,3.28,,
OPP170420-N-1,19 TNC,81.48,6.06,4.22,90.27,3.16,3.37
,,,,,,,
