,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,6/27/17,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS170620-N-1,1 TNC,121.24,21.68,11.42,749.69,43.88,3.03
RPO170620-N-1,2 TNC,422.69,32.02,27.18,2784.71,373.53,2.68
RKS170620-N-1,3 TNC,78.43,14.60,7.15,151.58,4.29,3.85,,
RAB170620-N-1,4 TNC,82.85,15.32,8.42,366.12,19.49,1.62,,
RCB170620-N-1,5 TNC,150.70,16.49,11.52,847.93,84.24,3.01,,
RWA170620-N-1,6 TNC,81.95,20.60,14.97,689.49,19.33,0.43,,
PFF170621-N-1,7 TNC,68.12,13.03,6.59,159.65,3.04,2.52,,
PLH170621-N-1,8 TNC,75.00,10.63,7.30,196.89,7.60,3.98,,
PLT170621-N-1,9 TNC,69.92,9.86,6.90,120.30,6.34,5.22,,
PPU170621-N-1,10 TNC,77.16,9.92,5.40,109.23,2.58,1.14,,
OLP170621-N-1,11 TNC,76.83,10.82,5.28,50.02,2.35,1.15,,
OSF170621-N-1,12 TNC,70.71,10.58,5.97,76.78,3.88,2.30,,
OPM170622-N-1,13 TNC,84.85,10.52,5.98,199.61,5.57,2.01,,
OCO170622-N-1,14 TNC,75.23,8.78,8.08,659.60,8.11,3.37,,
OMM170622-N-1,15 TNC,72.34,10.18,8.02,514.52,8.14,3.99,,
OUB170622-N-1,16 TNC,77.41,7.94,5.39,89.06,4.35,1.11,,
OPB170622-N-1,17 TNC,75.37,9.07,4.85,112.91,8.83,1.33,,
OPP170622-N-1,18 TNC,67.44,7.26,5.14,48.61,4.01,1.45,,
RHL170623-N-1,19 TNC,86.71,12.03,7.81,502.80,4.82,5.38
RMO170623-N-1,20 TNC,123.88,10.98,8.94,1032.64,59.00,1.45
RFN170623-N-1,21 TNC,79.37,11.05,6.50,367.12,11.34,3.50
RON170623-N-1,22 TNC,73.24,13.26,4.71,84.03,4.31,1.90
RFS170623-N-1,23 TNC,282.06,27.92,25.09,2095.31,208.36,5.44
RKO170623-N-1,24 TNC,159.63,16.32,12.27,948.80,92.61,3.73
