,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,8/8/17,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS170822-N-1,1 TNC,149.64,16.31,12.25,784.04,48.67,5.90
RPO170822-N-1,2 TNC,224.41,18.41,12.96,998.95,139.27,5.76
RKS170822-N-1,3 TNC,156.05,13.09,8.39,669.41,19.86,10.88,,
RAB170822-N-1,4 TNC,127.71,15.49,9.34,562.27,38.24,3.75,,
RCB170822-N-1,5 TNC,274.47,23.04,13.59,1297.67,161.27,9.27,,
RWA170822-N-1,6 TNC,91.59,17.83,10.73,677.18,25.46,2.48,,
PFF170823-N-1,7 TNC,70.28,13.41,7.55,201.13,3.51,1.53,,
PLH170823-N-1,8 TNC,73.93,13.68,10.47,290.58,7.75,3.95,,
PLT170823-N-1,9 TNC,88.20,12.04,6.76,348.80,14.35,2.99,,
PPU170823-N-1,10 TNC,71.43,15.47,7.14,176.57,1.94,1.61,,
OLP170823-N-1,11 TNC,70.96,9.17,5.40,51.48,1.86,1.22,,
OSF170823-N-1,12 TNC,69.15,8.68,5.23,61.94,1.82,2.21,,
OPM170824-N-1,13 TNC,78.47,9.82,6.49,143.87,4.65,1.82,,
OCO170824-N-1,14 TNC,94.78,8.03,5.58,258.22,3.68,2.57,,
OMM170824-N-1,15 TNC,70.69,7.68,5.74,255.03,4.29,2.34,,
OUB170824-N-1,16 TNC,82.77,8.19,4.49,33.99,2.26,1.98,,
OPB170824-N-1,17 TNC,77.22,7.37,5.32,169.88,12.97,1.77,,
OPP170824-N-1,18 TNC,66.48,8.63,5.57,169.55,2.45,1.65,,
RHL170825-N-1,19 TNC,74.98,10.74,6.43,217.96,0.66,3.43
RFN170825-N-1,20 TNC,79.39,13.17,5.92,226.64,9.21,2.14
RON170825-N-1,21 TNC,74.42,11.49,5.26,70.62,7.66,1.52
RFS170825-N-1,22 TNC,160.84,15.21,12.62,840.54,86.83,4.96
RKO170825-N-1,23 TNC,93.28,11.96,8.16,296.65,34.18,1.81
RKV170825-N-1,24 TNC,91.31,11.47,7.98,459.59,22.79,4.22
RFS170825-N-2,25 TNC,79.77,9.28,6.03,209.50,7.57,5.89
