,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,9/9/17,,
,,,,,,,
,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS170912-N-1,1TNC,73.31,16.52,7.37,407.56,17.93,8.81
RPO170912-N-1,2 TNC,84.72,17.19,10.41,476.03,45.57,5.30
RKS170912-N-1,3 TNC,64.28,16.03,8.61,235.46,6.30,5.84,,
RAB170912-N-1,4 TNC,66.07,17.70,7.56,342.22,18.39,4.18,,
RCB170912-N-1,5 TNC,72.51,17.80,7.30,362.09,21.76,6.57,,
RWA170912-N-1,6 TNC,56.85,18.21,7.08,317.64,5.87,3.25,,
PFF170913-N-1,7 TNC,49.31,12.79,6.36,143.46,2.67,2.60,,
PLH170913-N-1,8 TNC,54.94,19.21,10.67,371.38,3.71,2.66,,
PLT170913-N-1,9 TNC,52.62,15.98,11.60,571.52,10.30,4.99,,
OLP170913-N-1,11 TNC,53.95,12.68,4.67,117.02,2.39,4.01,,
OSF170913-N-1,12 TNC,62.10,16.40,5.56,121.09,9.26,5.32,,
OPM170914-N-1,13 TNC,51.52,16.05,4.95,227.34,5.12,5.22,,
OCO170914-N-1,14 TNC,46.81,13.24,5.22,523.58,4.48,3.57,,
OMM170914-N-1,15 TNC,46.44,15.63,5.60,350.75,3.82,3.82,,
OUB170914-N-1,16 TNC,43.73,12.89,4.45,131.29,1.91,3.29,,
OPB170914-N-1,17 TNC,49.22,14.92,3.44,144.43,2.26,3.30,,
OPP170914-N-1,18 TNC,39.98,15.44,3.93,179.20,1.70,2.63,,
RHL170915-N-1,19 TNC,62.92,16.49,7.38,401.49,3.04,5.77,,
RFN170915-N-1,20 TNC,50.74,16.09,6.24,210.76,6.63,2.39
RON170915-N-1,21 TNC,60.84,17.61,5.65,138.85,4.29,5.73
RFS170915-N-1,22 TNC,87.99,18.60,11.79,510.07,43.29,6.68
RKO170915-N-1,23 TNC,137.72,17.53,10.39,448.89,41.16,9.72
RKV170915-N-1,24 TNC,59.38,17.23,7.12,460.06,6.29,3.96
RKO170915-N-2,25 TNC,138.39,14.64,9.38,450.72,41.02,9.59
