,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,10/31/17,,
,,,,,,,
,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS171024-N-1,1 TNC,78.71,13.59,12.43,205.27,21.68,8.31
RPO171024-N-1,2 TNC,96.55,15.13,13.43,225.39,31.19,10.59
RKS171024-N-1,3 TNC,75.27,13.80,11.10,271.88,20.39,12.39,,
RAB171024-N-1,4 TNC,78.25,13.63,8.82,378.58,33.97,2.51,,
RCB171024-N-1,5 TNC,113.85,16.36,11.69,510.19,33.41,27.77,,
RWA171024-N-1,6 TNC,82.00,12.90,10.54,419.96,17.75,12.76,,
PFF171025-N-1,7 TNC,70.75,8.84,8.44,238.57,5.71,8.87,,
PLH171025-N-1,8 TNC,58.71,12.74,10.17,323.00,6.05,4.70,,
PLT171025-N-1,9 TNC,62.91,12.07,9.77,374.04,8.58,5.67,,
PPU171025-N-1,10 TNC,66.60,11.08,5.50,166.71,6.18,8.82,,
OLP171025-N-1,11 TNC,76.52,10.37,6.89,186.47,11.50,6.68,,
OSF171025-N-1,12 TNC,68.20,10.77,5.73,167.63,8.20,6.80,,
OPM171026-N-1,13 TNC,62.20,11.44,6.41,179.14,8.25,5.33,,
OCO171026-N-1,14 TNC,57.52,10.53,6.58,389.13,7.07,5.60,,
OMM171026-N-1,15 TNC,95.68,33.36,9.81,462.27,12.06,9.19,,
OUB171026-N-1,16 TNC,57.12,10.71,5.48,92.69,2.73,4.34,,
OPB171026-N-1,17 TNC,81.02,9.57,6.01,156.80,16.19,6.35,,
OPP171026-N-1,18 TNC,54.79,8.68,5.47,170.70,6.95,4.81,,
RHL171027-N-1,19 TNC,77.70,11.15,9.43,566.29,11.71,5.94
RFN171027-N-1,20 TNC,59.56,10.02,5.39,139.43,11.28,5.21
RON171027-N-1,21 TNC,56.93,10.66,4.14,65.74,5.00,5.39
RFS171027-N-1,22 TNC,66.92,9.65,7.06,151.85,12.13,7.41
RKO171027-N-1,23 TNC,117.88,20.00,15.90,561.32,99.59,6.73
RKV171027-N-1,24 TNC,65.88,14.04,5.50,90.95,9.04,16.17
RHL171027-N-2,25 TNC 10/31/17,78.86,11.25,9.18,533.72,11.53,5.42
