,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,5/22/18,,
,,,,,,,
,,,Project:,MNMRC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS180515-N-1,1 TNC WEST,157.41,12.82,12.19,601.59,37.89,4.48
RPO180515-N-1,2 TNC WEST,340.09,21.71,20.15,1906.65,257.37,2.71
RKS180515-N-1,3 TNC WEST,173.84,16.27,13.24,2275.59,49.33,4.14,,
RAB180515-N-1,4 TNC WEST,108.11,14.96,9.79,646.84,28.72,1.53,,
RCB180515-N-1,5 TNC WEST,248.23,19.34,13.69,1208.84,159.80,4.50,,
RWA180515-N-1,6 TNC WEST,107.35,17.83,14.29,1010.01,34.04,0.59,,
PFF180516-N-1,7 TNC WEST,82.50,8.17,7.14,222.96,3.03,0.88,,
PLH180516-N-1,8 TNC WEST,93.50,8.87,6.60,117.31,7.67,2.16,,
PLT180516-N-1,9 TNC WEST,85.14,8.71,5.74,135.30,8.13,2.72,,
OLP180516-N-1,11 TNC WEST,81.43,6.20,4.37,126.61,1.49,0.53,,
OSF180516-N-1,12 TNC WEST,93.17,8.27,7.30,178.92,6.82,3.85,,
OPM180517-N-1,13 TNC WEST,88.71,13.81,6.21,148.30,4.29,1.94,,
OCO180517-N-1,14 TNC WEST,79.58,11.45,6.58,310.23,8.91,1.16,,
OMM180517-N-1,15 TNC WEST,81.76,12.99,6.23,349.56,8.52,1.75,,
OUB180517-N-1,16 TNC WEST,80.10,13.48,5.73,90.04,5.38,0.39,,
OPB180517-N-1,17 TNC WEST,102.43,12.99,5.05,85.77,2.54,3.83,,
OPP180517-N-1,18 TNC WEST,70.84,12.63,5.25,75.34,1.33,<0.28,,
RHL180518-N-1,19 TNC WEST,105.05,14.33,10.03,420.64,5.82,5.26,,
RFN180518-N-1,20 TNC WEST,95.44,13.00,6.56,352.00,11.20,0.86
RON180518-N-1,21 TNC WEST,81.62,14.16,4.77,111.35,2.82,<0.28
RFS180518-N-1,22 TNC WEST,320.91,23.76,23.15,1891.18,227.72,2.73
RKO180518-N-1,23 TNC WEST,139.68,15.27,10.77,616.01,65.11,1.41
RKV180518-N-1,24 TNC WEST,102.78,14.51,7.40,556.05,26.08,2.55
