OrganizationIdentifier	OrganizationFormalName	ActivityIdentifier	ActivityStartDate	ActivityStartTime/Time	ActivityStartTime/TimeZoneCode	MonitoringLocationIdentifier	ResultIdentifier	DataLoggerLine	ResultDetectionConditionText	MethodSpecificationName	CharacteristicName	ResultSampleFractionText	ResultMeasureValue	ResultMeasure/MeasureUnitCode	MeasureQualifierCode	ResultStatusIdentifier	StatisticalBaseCode	ResultValueTypeName	ResultWeightBasisText	ResultTimeBasisText	ResultTemperatureBasisText	ResultParticleSizeBasisText	PrecisionValue	DataQuality/BiasValue	ConfidenceIntervalValue	UpperConfidenceLimitValue	LowerConfidenceLimitValue	ResultCommentText	USGSPCode	ResultDepthHeightMeasure/MeasureValue	ResultDepthHeightMeasure/MeasureUnitCode	ResultDepthAltitudeReferencePointText	ResultSamplingPointName	BiologicalIntentName	BiologicalIndividualIdentifier	SubjectTaxonomicName	UnidentifiedSpeciesIdentifier	SampleTissueAnatomyName	GroupSummaryCountWeight/MeasureValue	GroupSummaryCountWeight/MeasureUnitCode	CellFormName	CellShapeName	HabitName	VoltismName	TaxonomicPollutionTolerance	TaxonomicPollutionToleranceScaleText	TrophicLevelName	FunctionalFeedingGroupName	TaxonomicDetailsCitation/ResourceTitleName	TaxonomicDetailsCitation/ResourceCreatorName	TaxonomicDetailsCitation/ResourceSubjectText	TaxonomicDetailsCitation/ResourcePublisherName	TaxonomicDetailsCitation/ResourceDate	TaxonomicDetailsCitation/ResourceIdentifier	FrequencyClassInformationUrl	ResultAnalyticalMethod/MethodIdentifier	ResultAnalyticalMethod/MethodIdentifierContext	ResultAnalyticalMethod/MethodName	ResultAnalyticalMethod/MethodUrl	ResultAnalyticalMethod/MethodQualifierTypeName	MethodDescriptionText	LaboratoryName	AnalysisStartDate	AnalysisStartTime/Time	AnalysisStartTime/TimeZoneCode	AnalysisEndDate	AnalysisEndTime/Time	AnalysisEndTime/TimeZoneCode	ResultLaboratoryCommentCode	ResultLaboratoryCommentText	ResultDetectionQuantitationLimitUrl	LaboratoryAccreditationIndicator	LaboratoryAccreditationAuthorityName	TaxonomistAccreditationIndicator	TaxonomistAccreditationAuthorityName	LabSamplePreparationUrl	ProviderName
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP160616:FM:PS:PH:	2016-06-16	10:00:00	HAST	HUIWAIOLA_WQX-OPP	STORET-864973361				pH		8.07	None		Final		Actual																																						8156	HACH	pH in Water			https://www.nemi.gov/methods/method_summary/4724/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM161006:SR:WB:	2016-10-06	07:30:00	HAST	HUIWAIOLA_WQX-OPM	STORET-864974824			as N	Total Nitrogen, mixed forms	Filtered, field	66.13	ug/l		Final		Actual																																						4500-N	APHA	4500 N ~ 4500-N Nitrogen																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF161130:FM:WB:	2016-11-30	08:24:00	HAST	HUIWAIOLA_WQX-PFF	STORET-864975564				Turbidity		9.30	NTU		Final		Actual																																						180.1	USEPA	Turbidity by Nephelometry			https://www.nemi.gov/methods/method_summary/5217/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH170215:FM:PS:DO:	2017-02-15	08:45:00	HAST	HUIWAIOLA_WQX-PLH	STORET-864976394				Dissolved oxygen saturation		90.5	%		Final		Actual																																						8157	HACH	Dissolved Oxygen in Water																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RCB161129:FM:PS:DO:	2016-11-29	08:42:00	HAST	HUIWAIOLA_WQX-RCB	STORET-864975539				Dissolved oxygen saturation		95.4	%		Final		Actual																																						8157	HACH	Dissolved Oxygen in Water																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB170103:FM:PS:TS:	2017-01-03	09:30:00	HAST	HUIWAIOLA_WQX-RAB	STORET-864975932				Temperature, water		24.4	deg C		Final		Actual																																						2550	APHA	Temperature of Water by Thermometer																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF160921:FM:PS:TS:	2016-09-21	07:22:00	HAST	HUIWAIOLA_WQX-PFF	STORET-864974555				Salinity		33.1	ppt		Final		Actual																																						8160	HACH	Conductivity in Water by Direct Measurement																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OUB160630:SR:WB:	2016-06-30	08:31:00	HAST	HUIWAIOLA_WQX-OUB	STORET-864973521				Silicate	Filtered, field	113.15	ug/l		Final		Actual																																						366	USEPA	Silicate by Colorimetry			https://www.nemi.gov/methods/method_summary/4661/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB170103:FM:PS:DO:	2017-01-03	09:30:00	HAST	HUIWAIOLA_WQX-RAB	STORET-864975935				Dissolved oxygen saturation		95.5	%		Final		Actual																																						8157	HACH	Dissolved Oxygen in Water																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH161116:SR:WB:	2016-11-16	08:45:00	HAST	HUIWAIOLA_WQX-PLH	STORET-864975378				Silicate	Filtered, field	469.53	ug/l		Final		Actual																																						366	USEPA	Silicate by Colorimetry			https://www.nemi.gov/methods/method_summary/4661/																STORET
