OrganizationIdentifier	OrganizationFormalName	ActivityIdentifier	MonitoringLocationIdentifier	ResultIdentifier	CharacteristicName	DetectionQuantitationLimitTypeName	DetectionQuantitationLimitMeasure/MeasureValue	DetectionQuantitationLimitMeasure/MeasureUnitCode	ProviderName
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP160811:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-864974122	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP160825:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-864974325	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP161201:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-864975703	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA160712:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-864973607	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB160906:SR:WB:	HUIWAIOLA_WQX-RAB	STORET-864974361	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP170104:SR:WB:	HUIWAIOLA_WQX-OLP	STORET-864976027	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PPU161019:SR:WB:	HUIWAIOLA_WQX-PPU	STORET-864974995	Nitrate + Nitrite	Method Detection Level	<0.1	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA170103:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-864975967	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PPU161116:SR:WB:	HUIWAIOLA_WQX-PPU	STORET-864975404	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF161116:SR:WB:	HUIWAIOLA_WQX-PFF	STORET-864975368	Ammonium	Method Detection Level	<1.5	ug/l	STORET
