Organization ID	Monitoring Location ID	Monitoring Location Name	Activity ID	Activity Start Date	Activity Type	Media	Media Subdivision	Last Changed
HUIWAIOLA_WQX	KCP	Cove Park	KCP171107:FM:PS:DO:	11-07-2017	Field Msr/Obs	Water		12-14-2020 3:36:21 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171107:FM:PS:PH:	11-07-2017	Field Msr/Obs	Water		12-14-2020 3:36:21 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171107:FM:PS:TS:	11-07-2017	Field Msr/Obs	Water		12-14-2020 3:36:21 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171107:FM:WB:	11-07-2017	Field Msr/Obs	Water		12-14-2020 3:36:21 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171107:SR:WB:	11-07-2017	Sample-Routine	Water		12-14-2020 3:36:21 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171121:FM:PS:DO:	11-21-2017	Field Msr/Obs	Water		12-14-2020 3:36:23 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171121:FM:PS:PH:	11-21-2017	Field Msr/Obs	Water		12-14-2020 3:36:24 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171121:FM:PS:TS:	11-21-2017	Field Msr/Obs	Water		12-14-2020 3:36:23 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171121:FM:WB:	11-21-2017	Field Msr/Obs	Water		12-14-2020 3:36:23 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171121:SR:WB:	11-21-2017	Sample-Routine	Water		12-14-2020 3:36:24 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171205:FM:PS:DO:	12-05-2017	Field Msr/Obs	Water		12-14-2020 3:36:25 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171205:FM:PS:PH:	12-05-2017	Field Msr/Obs	Water		12-14-2020 3:36:25 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171205:FM:PS:TS:	12-05-2017	Field Msr/Obs	Water		12-14-2020 3:36:25 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171205:FM:WB:	12-05-2017	Field Msr/Obs	Water		12-14-2020 3:36:25 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171205:SR:WB:	12-05-2017	Sample-Routine	Water		12-14-2020 3:36:25 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171219:FM:PS:DO:	12-19-2017	Field Msr/Obs	Water		12-14-2020 3:36:27 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171219:FM:PS:PH:	12-19-2017	Field Msr/Obs	Water		12-14-2020 3:36:27 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171219:FM:PS:TS:	12-19-2017	Field Msr/Obs	Water		12-14-2020 3:36:27 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171219:FM:WB:	12-19-2017	Field Msr/Obs	Water		12-14-2020 3:36:27 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171219:SR:WB:	12-19-2017	Sample-Routine	Water		12-14-2020 3:36:27 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180109:FM:PS:DO:	01-09-2018	Field Msr/Obs	Water		12-14-2020 8:18:34 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180109:FM:PS:PH:	01-09-2018	Field Msr/Obs	Water		12-14-2020 8:18:34 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180109:FM:PS:TS:	01-09-2018	Field Msr/Obs	Water		12-14-2020 8:18:34 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180109:FM:WB:	01-09-2018	Field Msr/Obs	Water		12-14-2020 8:18:34 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180109:SR:WB:	01-09-2018	Sample-Routine	Water		12-14-2020 8:18:34 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180123:FM:PS:DO:	01-23-2018	Field Msr/Obs	Water		12-14-2020 8:18:38 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180123:FM:PS:PH:	01-23-2018	Field Msr/Obs	Water		12-14-2020 8:18:38 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180123:FM:PS:TS:	01-23-2018	Field Msr/Obs	Water		12-14-2020 8:18:38 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180123:FM:WB:	01-23-2018	Field Msr/Obs	Water		12-14-2020 8:18:38 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180123:SR:WB:	01-23-2018	Sample-Routine	Water		12-14-2020 8:18:38 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180206:FM:PS:DO:	02-06-2018	Field Msr/Obs	Water		12-14-2020 8:18:42 PM
