OrganizationIdentifier	OrganizationFormalName	ActivityIdentifier	MonitoringLocationIdentifier	ResultIdentifier	CharacteristicName	DetectionQuantitationLimitTypeName	DetectionQuantitationLimitMeasure/MeasureValue	DetectionQuantitationLimitMeasure/MeasureUnitCode	ProviderName
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM180719:SR:WB:	HUIWAIOLA_WQX-OPM	STORET-870642101	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MMB190522:SR:WB:	HUIWAIOLA_WQX-MMB	STORET-870648830	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA160712:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-870527080	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NKP190905:SR:WB:	HUIWAIOLA_WQX-NKP	STORET-870651093	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM160908:SR:WB:	HUIWAIOLA_WQX-OPM	STORET-870527236	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NKC190905:SR:WB:	HUIWAIOLA_WQX-NKC	STORET-870651117	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OUB190516:SR:WB:	HUIWAIOLA_WQX-OUB	STORET-870648662	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA200107:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-870654788	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NKC190523:SR:WB:	HUIWAIOLA_WQX-NKC	STORET-870648902	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP190314:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-870647282	Ammonium	Method Detection Level	0.28	ug/l	STORET
