OrganizationIdentifier	OrganizationFormalName	ActivityIdentifier	MonitoringLocationIdentifier	ResultIdentifier	CharacteristicName	DetectionQuantitationLimitTypeName	DetectionQuantitationLimitMeasure/MeasureValue	DetectionQuantitationLimitMeasure/MeasureUnitCode	ProviderName
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH201202:SR:WB:	HUIWAIOLA_WQX-PLH	STORET-906899582	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-KKO171219:SR:WB:	HUIWAIOLA_WQX-KKO	STORET-906868404	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RNS200128:SR:WB:	HUIWAIOLA_WQX-RNS	STORET-906894488	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NKP211007:SR:WB:	HUIWAIOLA_WQX-NKP	STORET-929334944	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MBS180307:SR:WB:	HUIWAIOLA_WQX-MBS	STORET-906870437	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RKT210203:SR:WB:	HUIWAIOLA_WQX-RKT	STORET-906900734	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OCO170105:SR:WB:	HUIWAIOLA_WQX-OCO	STORET-906863804	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP210113:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-906900410	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA201110:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-906899168	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF161116:SR:WB:	HUIWAIOLA_WQX-PFF	STORET-906863111	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RON210923:SR:WB:	HUIWAIOLA_WQX-RON	STORET-916541930	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH210113:SR:WB:	HUIWAIOLA_WQX-PLH	STORET-906900374	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP190314:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-906879328	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RON190607:SR:WB:	HUIWAIOLA_WQX-RON	STORET-906881176	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WPO191122:SR:WB:	HUIWAIOLA_WQX-WPO	STORET-906885075	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH200930:SR:WB:	HUIWAIOLA_WQX-PLH	STORET-906898412	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RON180518:SR:WB:	HUIWAIOLA_WQX-RON	STORET-906873041	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WPO190322:SR:WB:	HUIWAIOLA_WQX-WPO	STORET-906879628	Ammonium	Method Detection Level	0.28	ug/l	STORET
