Organization ID	Monitoring Location ID	Monitoring Location Name	Activity ID	Activity Start Date	Activity Type	Media	Media Subdivision	Last Changed
HUIWAIOLA_WQX	KCP	Cove Park	KCP171107:FM:PS:DO:	11-07-2017	Field Msr/Obs	Water		08-09-2021 7:35:23 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171107:FM:PS:PH:	11-07-2017	Field Msr/Obs	Water		08-09-2021 7:35:23 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171107:FM:PS:TS:	11-07-2017	Field Msr/Obs	Water		08-09-2021 7:35:23 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171107:FM:WB:	11-07-2017	Field Msr/Obs	Water		08-09-2021 7:35:23 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171107:SR:WB:	11-07-2017	Sample-Routine	Water		08-09-2021 7:35:23 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171121:FM:PS:DO:	11-21-2017	Field Msr/Obs	Water		08-09-2021 7:35:29 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171121:FM:PS:PH:	11-21-2017	Field Msr/Obs	Water		08-09-2021 7:35:29 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171121:FM:PS:TS:	11-21-2017	Field Msr/Obs	Water		08-09-2021 7:35:29 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171121:FM:WB:	11-21-2017	Field Msr/Obs	Water		08-09-2021 7:35:29 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171121:SR:WB:	11-21-2017	Sample-Routine	Water		08-09-2021 7:35:29 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171205:FM:PS:DO:	12-05-2017	Field Msr/Obs	Water		08-09-2021 7:35:32 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171205:FM:PS:PH:	12-05-2017	Field Msr/Obs	Water		08-09-2021 7:35:32 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171205:FM:PS:TS:	12-05-2017	Field Msr/Obs	Water		08-09-2021 7:35:32 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171205:FM:WB:	12-05-2017	Field Msr/Obs	Water		08-09-2021 7:35:32 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171205:SR:WB:	12-05-2017	Sample-Routine	Water		08-09-2021 7:35:32 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171219:FM:PS:DO:	12-19-2017	Field Msr/Obs	Water		08-09-2021 7:35:38 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171219:FM:PS:PH:	12-19-2017	Field Msr/Obs	Water		08-09-2021 7:35:38 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171219:FM:PS:TS:	12-19-2017	Field Msr/Obs	Water		08-09-2021 7:35:38 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171219:FM:WB:	12-19-2017	Field Msr/Obs	Water		08-09-2021 7:35:38 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP171219:SR:WB:	12-19-2017	Sample-Routine	Water		08-09-2021 7:35:38 AM
