Organization Formal Name	Monitoring Location UID	Monitoring Location ID	Monitoring Location Name	Monitoring Location Type	Monitoring Location Latitude	Monitoring Location Longitude	Source Map Scale	Horizontal Collection Method Name	Horizontal Coordinate Reference System Datum Name	Country	State	County	State Code	County FIPS Code	HUC-8 	HUC-12	Last Location Changed	Transaction ID	User ID	Description	Tribal Land Indicator	Tribal Land Name	Drainage Area Measure	Drainage Area Measure Unit Code	Contributing Drainage Area Measure	Contributing Drainage Area Measure Unit Code	Horizontal Accuracy Measure	Horizontal Accuracy Measure Unit Code	Vertical Accuracy Measure	Vertical Accuracy Measure Unit Code	VerticalMeasure	Vertical Measure Unit Code	Vertical Collection Method Name	Vertical Coordinate Reference System Datum Name	Well Type Text	Aquifer Type Name	National Aquifer Code	Local Aquifer Code	Local Aquifer Code Context	Formation Type Text	Well Hole Depth Measure	Well Hole Depth Measure Unit Code	Construction Date	Well Depth Measure	Well Depth Measure Unit Code	Monitoring Location Alternates	Monitoring Location Alternate Identifier 1	Monitoring Location Alternate Context 1	Monitoring Location Alternate Identifier 2	Monitoring Location Alternate Context 2	Monitoring Location Alternate Identifier 3	Monitoring Location Alternate Context 3	Monitoring Location Binary Object Files	Monitoring Location Binary Object Filename	Monitoring Location Binary Object Type
HUIWAIOLA_WQX-The Nature Conservancy - Honolulu (Volunteer)*	965627	HBP	Hana Beach Park	BEACH Program Site-Ocean	20.75575	-155.984667		GPS-Unspecified	WGS84	United States	Hawaii	Maui	HI	009	20020000		08-09-2021	_946a635d-82fa-47f5-b832-d5054f4d9729	billrathfon@gmail.com																																				
HUIWAIOLA_WQX-The Nature Conservancy - Honolulu (Volunteer)*	965614	HHH	Helene Hall	BEACH Program Site-Ocean	20.755472	-155.983222		GPS-Unspecified	WGS84	United States	Hawaii	Maui	HI	009	20020000		08-09-2021	_946a635d-82fa-47f5-b832-d5054f4d9729	billrathfon@gmail.com																																				
HUIWAIOLA_WQX-The Nature Conservancy - Honolulu (Volunteer)*	965613	HHP	Hana Pier	BEACH Program Site-Ocean	20.756083	-155.982167		GPS-Unspecified	WGS84	United States	Hawaii	Maui	HI	009	20020000		08-09-2021	_946a635d-82fa-47f5-b832-d5054f4d9729	billrathfon@gmail.com																																				
HUIWAIOLA_WQX-The Nature Conservancy - Honolulu (Volunteer)*	965615	HMB	Mid Bay 2	BEACH Program Site-Ocean	20.759806	-155.986611		GPS-Unspecified	WGS84	United States	Hawaii	Maui	HI	009	20020000		08-09-2021	_946a635d-82fa-47f5-b832-d5054f4d9729	billrathfon@gmail.com																																				
HUIWAIOLA_WQX-The Nature Conservancy - Honolulu (Volunteer)*	965616	HWB	Waikoloa Beach	BEACH Program Site-Ocean	20.761306	-155.985889		GPS-Unspecified	WGS84	United States	Hawaii	Maui	HI	009	20020000		08-09-2021	_946a635d-82fa-47f5-b832-d5054f4d9729	billrathfon@gmail.com																																				
HUIWAIOLA_WQX-The Nature Conservancy - Honolulu (Volunteer)*	965633	KCP	Cove Park	BEACH Program Site-Ocean	20.727434	-156.450077		GPS-Unspecified	WGS84	United States	Hawaii	Maui	HI	009	20020000		08-09-2021	_946a635d-82fa-47f5-b832-d5054f4d9729	billrathfon@gmail.com																																				
HUIWAIOLA_WQX-The Nature Conservancy - Honolulu (Volunteer)*	965628	KKO	Kamaole Beach I	BEACH Program Site-Ocean	20.721985	-156.448183		GPS-Unspecified	WGS84	United States	Hawaii	Maui	HI	009	20020000		08-09-2021	_946a635d-82fa-47f5-b832-d5054f4d9729	billrathfon@gmail.com																																				
HUIWAIOLA_WQX-The Nature Conservancy - Honolulu (Volunteer)*	965618	KKP	Kalama Park	BEACH Program Site-Ocean	20.730973	-156.45372		GPS-Unspecified	WGS84	United States	Hawaii	Maui	HI	009	20020000		08-09-2021	_946a635d-82fa-47f5-b832-d5054f4d9729	billrathfon@gmail.com																																				
HUIWAIOLA_WQX-The Nature Conservancy - Honolulu (Volunteer)*	965626	KKS	Kihei South (Lipoa)	BEACH Program Site-Ocean	20.747334	-156.457881		GPS-Unspecified	WGS84	United States	Hawaii	Maui	HI	009	20020000		08-09-2021	_946a635d-82fa-47f5-b832-d5054f4d9729	billrathfon@gmail.com																																				
HUIWAIOLA_WQX-The Nature Conservancy - Honolulu (Volunteer)*	965629	KKT	Kamaole Beach III	BEACH Program Site-Ocean	20.712908	-156.446596		GPS-Unspecified	WGS84	United States	Hawaii	Maui	HI	009	20020000		08-09-2021	_946a635d-82fa-47f5-b832-d5054f4d9729	billrathfon@gmail.com																																				
