OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ProjectIdentifier,MonitoringLocationIdentifier,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,ResultValueTypeName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101DO,Field Msr/Obs,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,20.967083,-156.68139,,,,,,Dissolved oxygen (DO),,6.34,mg/l,Final,Actual,8157,HACH,Dissolved Oxygen in Water,
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101T,Field Msr/Obs,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,20.967083,-156.68139,,,,,,"Temperature, water",,24.8,deg C,Final,Actual,2550,APHA,Temperature of Water by Thermometer,
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101NH4,Sample-Routine,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,20.967083,-156.68139,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,as NH4,Ammonia-nitrogen,Dissolved,7.16,ug/l,Final,Actual,350.1,USEPA,Ammonia Nitrogen by Colorimetry,https://www.nemi.gov/methods/method_summary/5405/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101DOp,Field Msr/Obs,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,20.967083,-156.68139,,,,,,Dissolved oxygen (DO),,92.1,%,Final,Actual,8157,HACH,Dissolved Oxygen in Water,
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101Si,Sample-Routine,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,20.967083,-156.68139,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,as Si,Silicate,Dissolved,800.68,ug/l,Final,Actual,366,USEPA,Silicate by Colorimetry,https://www.nemi.gov/methods/method_summary/4661/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101TB,Field Msr/Obs,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,20.967083,-156.68139,,,,,,Turbidity,,7.83,NTU,Final,Actual,180.1,USEPA,Turbidity by Nephelometry,https://www.nemi.gov/methods/method_summary/5217/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101pH,Field Msr/Obs,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,20.967083,-156.68139,,,,,,pH,,8.07,None,Final,Actual,8156,HACH,pH in Water,https://www.nemi.gov/methods/method_summary/4724/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101PO4,Sample-Routine,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,20.967083,-156.68139,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,as PO4,Phosphate-phosphorus,Dissolved,15.28,ug/l,Final,Actual,365.1,USEPA,Phosphorus by Colorimetry,https://www.nemi.gov/methods/method_summary/4823/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101NNN,Sample-Routine,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,20.967083,-156.68139,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,as NO3,Nitrate,Dissolved,83.68,ug/l,Final,Actual,353.3,USEPA,Nitrate-Nitrite Nitrogen by Cd Reduction,https://www.nemi.gov/methods/method_summary/5251/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101TN,Sample-Routine,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,20.967083,-156.68139,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,as N,Nitrogen,Dissolved,154.28,ug/l,Final,Actual,353.3,USEPA,Nitrate-Nitrite Nitrogen by Cd Reduction,https://www.nemi.gov/methods/method_summary/5251/
