OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ProjectIdentifier,MonitoringLocationIdentifier,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,ResultValueTypeName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101DO,Field Msr/Obs,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,,,,,Dissolved oxygen (DO),,6.34,mg/l,Final,Actual,8157,HACH,Dissolved Oxygen in Water,
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101T,Field Msr/Obs,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,,,,,"Temperature, water",,24.8,deg C,Final,Actual,2550,APHA,Temperature of Water by Thermometer,
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101NH4,Sample-Routine,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,Ammonia-nitrogen,Dissolved,7.16,ug/l,Final,Actual,350.1,USEPA,Ammonia Nitrogen by Colorimetry,https://www.nemi.gov/methods/method_summary/5405/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101DOp,Field Msr/Obs,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,,,,,Dissolved oxygen (DO),,92.1,%,Final,Actual,8157,HACH,Dissolved Oxygen in Water,
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101Si,Sample-Routine,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,Silicate,Dissolved,800.68,ug/l,Final,Actual,366,USEPA,Silicate by Colorimetry,https://www.nemi.gov/methods/method_summary/4661/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101TB,Field Msr/Obs,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,,,,,Turbidity,,7.83,NTU,Final,Actual,180.1,USEPA,Turbidity by Nephelometry,https://www.nemi.gov/methods/method_summary/5217/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101pH,Field Msr/Obs,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,,,,,pH,,8.07,None,Final,Actual,8156,HACH,pH in Water,https://www.nemi.gov/methods/method_summary/4724/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101PO4,Sample-Routine,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,Phosphate-phosphorus,Dissolved,15.28,ug/l,Final,Actual,365.1,USEPA,Phosphorus by Colorimetry,https://www.nemi.gov/methods/method_summary/4823/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101NNN,Sample-Routine,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,Nitrate,Dissolved,83.68,ug/l,Final,Actual,353.3,USEPA,Nitrate-Nitrite Nitrogen by Cd Reduction,https://www.nemi.gov/methods/method_summary/5251/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101TN,Sample-Routine,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,Nitrogen,Dissolved,154.28,ug/l,Final,Actual,353.3,USEPA,Nitrate-Nitrite Nitrogen by Cd Reduction,https://www.nemi.gov/methods/method_summary/5251/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101TP,Sample-Routine,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,Phosphorus,Dissolved,18.7,ug/l,Final,Actual,365.1,USEPA,Phosphorus by Colorimetry,https://www.nemi.gov/methods/method_summary/4823/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RPO161101S,Field Msr/Obs,Water,11/1/16,7:44:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-RPO,,,,,Conductivity,,34.3,ppt,Final,Actual,8160,HACH,Conductivity in Water by Direct Measurement,
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OCO160630T,Field Msr/Obs,Water,6/30/16,7:33:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-OCO,,,,,"Temperature, water",,27.7,deg C,Final,Actual,2550,APHA,Temperature of Water by Thermometer,
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OCO160630TN,Sample-Routine,Water,6/30/16,7:33:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-OCO,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,Nitrogen,Dissolved,84.09,ug/l,Final,Actual,353.3,USEPA,Nitrate-Nitrite Nitrogen by Cd Reduction,https://www.nemi.gov/methods/method_summary/5251/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OCO160630NNN,Sample-Routine,Water,6/30/16,7:33:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-OCO,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,Nitrate,Dissolved,1.74,ug/l,Final,Actual,353.3,USEPA,Nitrate-Nitrite Nitrogen by Cd Reduction,https://www.nemi.gov/methods/method_summary/5251/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OCO160630DO,Field Msr/Obs,Water,6/30/16,7:33:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-OCO,,,,,Dissolved oxygen (DO),,6.43,mg/l,Final,Actual,8157,HACH,Dissolved Oxygen in Water,
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OCO160630TP,Sample-Routine,Water,6/30/16,7:33:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-OCO,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,Phosphorus,Dissolved,14.15,ug/l,Final,Actual,365.1,USEPA,Phosphorus by Colorimetry,https://www.nemi.gov/methods/method_summary/4823/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OCO160630Si,Sample-Routine,Water,6/30/16,7:33:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-OCO,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,Silicate,Dissolved,354.48,ug/l,Final,Actual,366,USEPA,Silicate by Colorimetry,https://www.nemi.gov/methods/method_summary/4661/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OCO160630DOp,Field Msr/Obs,Water,6/30/16,7:33:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-OCO,,,,,Dissolved oxygen (DO),,98.9,%,Final,Actual,8157,HACH,Dissolved Oxygen in Water,
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OCO160630pH,Field Msr/Obs,Water,6/30/16,7:33:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-OCO,,,,,pH,,8.01,None,Final,Actual,8156,HACH,pH in Water,https://www.nemi.gov/methods/method_summary/4724/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OCO160630TB,Field Msr/Obs,Water,6/30/16,7:33:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-OCO,,,,,Turbidity,,7.4,NTU,Final,Actual,180.1,USEPA,Turbidity by Nephelometry,https://www.nemi.gov/methods/method_summary/5217/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OCO160630NH4,Sample-Routine,Water,6/30/16,7:33:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-OCO,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,Ammonia-nitrogen,Dissolved,4,ug/l,Final,Actual,350.1,USEPA,Ammonia Nitrogen by Colorimetry,https://www.nemi.gov/methods/method_summary/5405/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OCO160630PO4,Sample-Routine,Water,6/30/16,7:33:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-OCO,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,Phosphate-phosphorus,Dissolved,5.29,ug/l,Final,Actual,365.1,USEPA,Phosphorus by Colorimetry,https://www.nemi.gov/methods/method_summary/4823/
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OCO160630S,Field Msr/Obs,Water,6/30/16,7:33:00,HAST,HUI_PCHEM,HUIWAIOLA_WQX-OCO,,,,,Conductivity,,30.3,ppt,Final,Actual,8160,HACH,Conductivity in Water by Direct Measurement,
