OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-HBW,Hana Bay Wharf,Ocean,,20020000,,,,,20.7557722222,-155.9820944444,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-HHC,Helene Hall Cesspool Discharge,Ocean,,20020000,,,,,20.7552916667,-155.9833694444,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-HIW,Holoinawawae Stream,Ocean,,20020000,,,,,20.7615166667,-155.9859083333,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-HKC,Hana Kai Condo,Ocean,,20020000,,,,,20.7596638889,-155.9866277778,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-HLD,Hana Landfill Discharge,Ocean,,20020000,,,,,20.7680777778,-155.9842777778,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-HPV,Pavilion,Ocean,,20020000,,,,,20.7553388889,-155.9837333333,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-HRR,Ranch/Residential Runoff,Ocean,,20020000,,,,,20.7561027778,-155.9845722222,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-KKE,Kealia,Ocean,,20020000,,,,,20.791179,-156.477859,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-KKR,Kealia river mouth,Ocean,,20020000,,,,,20.795668,-156.488647,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-KSB,Sugar Beach,Ocean,,20020000,,,,,20.785885,-156.468678,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
