OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RWA160614pH,Field Msr/Obs,Water,,2016-06-14,10:24:00,HAST,,,,,,,,,,,HUI_PCHEM,,HUIWAIOLA_WQX-RWA,,,,,,,,,,pH,,8.15,None,,Final,,Actual,,,,,,,,,,,,,8156,HACH,pH in Water,https://www.nemi.gov/methods/method_summary/4724/,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RWA160614T,Field Msr/Obs,Water,,2016-06-14,10:24:00,HAST,,,,,,,,,,,HUI_PCHEM,,HUIWAIOLA_WQX-RWA,,,,,,,,,,"Temperature, water",,27.3,deg C,,Final,,Actual,,,,,,,,,,,,,2550,APHA,Temperature of Water by Thermometer,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RWA160614NH4,Sample-Routine,Water,,2016-06-15,10:24:00,HAST,,,,,,,,,,,HUI_PCHEM,,HUIWAIOLA_WQX-RWA,,,,,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,Not Detected,Ammonia-nitrogen,Dissolved,,ug/l,,Final,,Actual,,,,,,,,,,,,,350.1,USEPA,Ammonia Nitrogen by Colorimetry,https://www.nemi.gov/methods/method_summary/5405/,,,,Method Detection Level,1.5,ug/l,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RWA160614TP,Sample-Routine,Water,,2016-06-15,10:24:00,HAST,,,,,,,,,,,HUI_PCHEM,,HUIWAIOLA_WQX-RWA,,,,,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,,Phosphorus,Dissolved,24.07,ug/l,,Final,,Actual,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,https://www.nemi.gov/methods/method_summary/4823/,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RWA160614TB,Field Msr/Obs,Water,,2016-06-14,10:24:00,HAST,,,,,,,,,,,HUI_PCHEM,,HUIWAIOLA_WQX-RWA,,,,,,,,,,Turbidity,,3.47,NTU,,Final,,Actual,,,,,,,,,,,,,180.1,USEPA,Turbidity by Nephelometry,https://www.nemi.gov/methods/method_summary/5217/,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RWA160614TN,Sample-Routine,Water,,2016-06-15,10:24:00,HAST,,,,,,,,,,,HUI_PCHEM,,HUIWAIOLA_WQX-RWA,,,,,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,,Nitrogen,Dissolved,84.6,ug/l,,Final,,Actual,,,,,,,,,,,,,353.3,USEPA,Nitrate-Nitrite Nitrogen by Cd Reduction,https://www.nemi.gov/methods/method_summary/5251/,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RWA160614S,Field Msr/Obs,Water,,2016-06-14,10:24:00,HAST,,,,,,,,,,,HUI_PCHEM,,HUIWAIOLA_WQX-RWA,,,,,,,,,,Conductivity,,34.6,ppt,,Final,,Actual,,,,,,,,,,,,,8160,HACH,Conductivity in Water by Direct Measurement,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RWA160614NNN,Sample-Routine,Water,,2016-06-15,10:24:00,HAST,,,,,,,,,,,HUI_PCHEM,,HUIWAIOLA_WQX-RWA,,,,,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,,Nitrate,Dissolved,21.35,ug/l,,Final,,Actual,,,,,,,,,,,,,353.3,USEPA,Nitrate-Nitrite Nitrogen by Cd Reduction,https://www.nemi.gov/methods/method_summary/5251/,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RWA160614PO4,Sample-Routine,Water,,2016-06-15,10:24:00,HAST,,,,,,,,,,,HUI_PCHEM,,HUIWAIOLA_WQX-RWA,,,,,1002,HUIWAIOLA_WQX,Knee Deep Grab Sample,Water Bottle,,Phosphate-phosphorus,Dissolved,12.38,ug/l,,Final,,Actual,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,https://www.nemi.gov/methods/method_summary/4823/,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-RWA160614DO,Field Msr/Obs,Water,,2016-06-14,10:24:00,HAST,,,,,,,,,,,HUI_PCHEM,,HUIWAIOLA_WQX-RWA,,,,,,,,,,Dissolved oxygen (DO),,6.66,mg/l,,Final,,Actual,,,,,,,,,,,,,8157,HACH,Dissolved Oxygen in Water,,,,,,,,,STORET
