Organization ID,Monitoring Location ID,Monitoring Location Name,Activity ID,Activity Start Date,Activity Type,Media,Media Subdivision,Last Changed
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160630DO,06-30-2016,Field Msr/Obs,Water,,08-06-2017 7:32:04 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160630DOp,06-30-2016,Field Msr/Obs,Water,,08-06-2017 7:32:04 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160630NH4,06-30-2016,Sample-Routine,Water,,08-06-2017 7:32:06 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160630NNN,06-30-2016,Sample-Routine,Water,,08-06-2017 7:32:06 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160630pH,06-30-2016,Field Msr/Obs,Water,,08-06-2017 7:32:05 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160630PO4,06-30-2016,Sample-Routine,Water,,08-06-2017 7:32:06 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160630S,06-30-2016,Field Msr/Obs,Water,,08-06-2017 7:32:05 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160630Si,06-30-2016,Sample-Routine,Water,,08-06-2017 7:32:06 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160630T,06-30-2016,Field Msr/Obs,Water,,08-06-2017 7:32:04 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160630TB,06-30-2016,Field Msr/Obs,Water,,08-06-2017 7:32:05 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160630TN,06-30-2016,Sample-Routine,Water,,08-06-2017 7:32:05 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160630TP,06-30-2016,Sample-Routine,Water,,08-06-2017 7:32:05 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160714DO,07-14-2016,Field Msr/Obs,Water,,08-06-2017 7:32:07 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160714DOp,07-14-2016,Field Msr/Obs,Water,,08-06-2017 7:32:07 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160714NH4,07-14-2016,Sample-Routine,Water,,08-06-2017 7:32:11 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160714NNN,07-14-2016,Sample-Routine,Water,,08-06-2017 7:32:11 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160714pH,07-14-2016,Field Msr/Obs,Water,,08-06-2017 7:32:07 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160714PO4,07-14-2016,Sample-Routine,Water,,08-06-2017 7:32:08 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160714S,07-14-2016,Field Msr/Obs,Water,,08-06-2017 7:32:07 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160714Si,07-14-2016,Sample-Routine,Water,,08-06-2017 7:32:09 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160714T,07-14-2016,Field Msr/Obs,Water,,08-06-2017 7:32:06 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160714TB,07-14-2016,Field Msr/Obs,Water,,08-06-2017 7:32:07 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160714TN,07-14-2016,Sample-Routine,Water,,08-06-2017 7:32:08 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160714TP,07-14-2016,Sample-Routine,Water,,08-06-2017 7:32:08 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160728DO,07-28-2016,Field Msr/Obs,Water,,08-06-2017 7:32:12 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160728DOp,07-28-2016,Field Msr/Obs,Water,,08-06-2017 7:32:12 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160728NH4,07-28-2016,Sample-Routine,Water,,08-06-2017 7:32:15 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160728NNN,07-28-2016,Sample-Routine,Water,,08-06-2017 7:32:15 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160728pH,07-28-2016,Field Msr/Obs,Water,,08-06-2017 7:32:12 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO160728PO4,07-28-2016,Sample-Routine,Water,,08-06-2017 7:32:14 PM
