Organization ID,Monitoring Location ID,Monitoring Location Name,Activity ID,Activity Start Date,Activity Type,Media,Media Subdivision,Last Changed
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OPB160908NH4,09-08-2016,Sample-Routine,Water,,08-06-2017 7:32:23 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OPB160908NNN,09-08-2016,Sample-Routine,Water,,08-06-2017 7:32:23 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OPB160908PO4,09-08-2016,Sample-Routine,Water,,08-06-2017 7:32:23 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OPB160908Si,09-08-2016,Sample-Routine,Water,,08-06-2017 7:32:23 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OPB160908TN,09-08-2016,Sample-Routine,Water,,08-06-2017 7:32:22 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OPB160908TP,09-08-2016,Sample-Routine,Water,,08-06-2017 7:32:23 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160616DO,06-16-2016,Field Msr/Obs,Water,,08-06-2017 7:32:00 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160616DOp,06-16-2016,Field Msr/Obs,Water,,08-06-2017 7:32:00 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160616NH4,06-16-2016,Sample-Routine,Water,,08-06-2017 7:32:04 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160616NNN,06-16-2016,Sample-Routine,Water,,08-06-2017 7:32:04 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160616pH,06-16-2016,Field Msr/Obs,Water,,08-06-2017 7:32:01 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160616PO4,06-16-2016,Sample-Routine,Water,,08-06-2017 7:32:03 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160616S,06-16-2016,Field Msr/Obs,Water,,08-06-2017 7:32:01 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160616Si,06-16-2016,Sample-Routine,Water,,08-06-2017 7:32:03 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160616T,06-16-2016,Field Msr/Obs,Water,,08-06-2017 7:32:00 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160616TB,06-16-2016,Field Msr/Obs,Water,,08-06-2017 7:32:02 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160616TN,06-16-2016,Sample-Routine,Water,,08-06-2017 7:32:02 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160616TP,06-16-2016,Sample-Routine,Water,,08-06-2017 7:32:03 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160630DO,06-30-2016,Field Msr/Obs,Water,,08-06-2017 7:32:04 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160630DOp,06-30-2016,Field Msr/Obs,Water,,08-06-2017 7:32:04 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160630NH4,06-30-2016,Sample-Routine,Water,,08-06-2017 7:32:06 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160630NNN,06-30-2016,Sample-Routine,Water,,08-06-2017 7:32:06 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160630pH,06-30-2016,Field Msr/Obs,Water,,08-06-2017 7:32:05 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160630PO4,06-30-2016,Sample-Routine,Water,,08-06-2017 7:32:06 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160630S,06-30-2016,Field Msr/Obs,Water,,08-06-2017 7:32:05 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160630Si,06-30-2016,Sample-Routine,Water,,08-06-2017 7:32:06 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160630T,06-30-2016,Field Msr/Obs,Water,,08-06-2017 7:32:04 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160630TB,06-30-2016,Field Msr/Obs,Water,,08-06-2017 7:32:05 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160630TN,06-30-2016,Sample-Routine,Water,,08-06-2017 7:32:05 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160630TP,06-30-2016,Sample-Routine,Water,,08-06-2017 7:32:05 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160714DO,07-14-2016,Field Msr/Obs,Water,,08-06-2017 7:32:07 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB160714DOp,07-14-2016,Field Msr/Obs,Water,,08-06-2017 7:32:07 PM
