Organization ID,Monitoring Location ID,Monitoring Location Name,Monitoring Location Type,Latitude,Longitude,Last Changed
HUIWAIOLA_WQX,HBW,Hana Bay Wharf,Ocean,20.75577222,-155.9820944,05-23-2017 12:11:12 AM
HUIWAIOLA_WQX,HHC,Helene Hall Cesspool Discharge,Ocean,20.75529167,-155.9833694,05-23-2017 12:11:13 AM
HUIWAIOLA_WQX,HIW,Holoinawawae Stream,Ocean,20.76151667,-155.9859083,05-23-2017 12:11:13 AM
HUIWAIOLA_WQX,HKC,Hana Kai Condo,Ocean,20.75966389,-155.9866278,05-23-2017 12:11:13 AM
HUIWAIOLA_WQX,HLD,Hana Landfill Discharge,Ocean,20.76807778,-155.9842778,05-23-2017 12:11:13 AM
HUIWAIOLA_WQX,HPV,Pavilion,Ocean,20.75533889,-155.9837333,05-23-2017 12:11:13 AM
HUIWAIOLA_WQX,HRR,Ranch/Residential Runoff,Ocean,20.75610278,-155.9845722,05-23-2017 12:11:13 AM
HUIWAIOLA_WQX,KKE,Kealia,Ocean,20.791179,-156.477859,05-23-2017 12:11:13 AM
HUIWAIOLA_WQX,KKR,Kealia river mouth,Ocean,20.795668,-156.488647,05-23-2017 12:11:13 AM
HUIWAIOLA_WQX,KSB,Sugar Beach,Ocean,20.785885,-156.468678,05-23-2017 12:11:13 AM
HUIWAIOLA_WQX,KWF,Waterfront,Ocean,20.79203,-156.509604,05-23-2017 12:11:13 AM
HUIWAIOLA_WQX,KWH,Waiohuli,Ocean,20.782492,-156.464369,05-23-2017 12:11:13 AM
HUIWAIOLA_WQX,NBR,Boat ramp,Ocean,20.896339,-156.477878,05-23-2017 12:11:15 AM
HUIWAIOLA_WQX,NDH,DOH site 2,Ocean,20.891308,-156.471494,05-23-2017 12:11:15 AM
HUIWAIOLA_WQX,NHA,Kahului Harbor Pier 2 stream,Ocean,20.894046,-156.467804,05-23-2017 12:11:15 AM
HUIWAIOLA_WQX,NHB,Kahului Harbor Pier1 and Pier 2,Ocean,20.895767,-156.465103,05-23-2017 12:11:15 AM
HUIWAIOLA_WQX,NHL,Harbor lights DOH site,Ocean,20.891374,-156.473608,05-23-2017 12:11:15 AM
HUIWAIOLA_WQX,NKA,Kaa point,Ocean,20.898254,-156.44728,05-23-2017 12:11:16 AM
HUIWAIOLA_WQX,NKC,Kahului Harbor Canoe Hale,Ocean,20.892119,-156.469484,05-23-2017 12:11:14 AM
HUIWAIOLA_WQX,NKN,Kailua nui,Ocean,20.913837,-156.393691,05-23-2017 12:11:16 AM
HUIWAIOLA_WQX,NKW,Kahului WWRF,Ocean,20.897078,-156.456264,05-23-2017 12:11:15 AM
HUIWAIOLA_WQX,NME,MECO,Ocean,20.797023,-156.494285,05-23-2017 12:11:14 AM
HUIWAIOLA_WQX,NMG,McGregor Point,Ocean,20.777306,-156.522318,05-23-2017 12:11:16 AM
HUIWAIOLA_WQX,NPA,Papaula,Ocean,20.908397,-156.427644,05-23-2017 12:11:16 AM
HUIWAIOLA_WQX,NSB,Beach,Ocean,20.785001,-156.516267,05-23-2017 12:11:16 AM
HUIWAIOLA_WQX,NSC,Sugar Cove,Ocean,20.909365,-156.409301,05-23-2017 12:11:16 AM
HUIWAIOLA_WQX,NWA,Wawau,Ocean,20.91271,-156.40314,05-23-2017 12:11:16 AM
HUIWAIOLA_WQX,NWG,Waiehu Golf course,Ocean,20.927878,-156.495496,05-23-2017 12:11:15 AM
HUIWAIOLA_WQX,NWI,Wailuku stream,Ocean,20.910498,-156.484707,05-23-2017 12:11:15 AM
HUIWAIOLA_WQX,NWK,Waihee Kalepa,Ocean,20.933892,-156.503223,05-23-2017 12:11:15 AM
HUIWAIOLA_WQX,NWS,Waiehu stream,Ocean,20.918357,-156.491816,05-23-2017 12:11:15 AM
HUIWAIOLA_WQX,OBR,Ukumehame Bridge,Ocean,20.79983,-156.59244,05-23-2017 12:11:18 AM
HUIWAIOLA_WQX,OCO,Camp Olowalu,Ocean,20.80986,-156.61369,05-23-2017 12:11:17 AM
HUIWAIOLA_WQX,OLP,Launiupoko,Ocean,20.84236,-156.653035,05-23-2017 12:11:18 AM
HUIWAIOLA_WQX,OMM,Mile Marker 14,Ocean,20.80915,-156.60661,05-23-2017 12:11:18 AM
HUIWAIOLA_WQX,OPB,Papalaua,Ocean,20.79348,-156.57492,05-23-2017 12:11:18 AM
HUIWAIOLA_WQX,OPM,Peter Martin Hale,Ocean,20.808444,-156.619697,05-23-2017 12:11:18 AM
HUIWAIOLA_WQX,OPP,Papalaua Pali,Ocean,20.79269,-156.56872,05-23-2017 12:11:18 AM
HUIWAIOLA_WQX,OSB,Olowalu surf break,Ocean,20.82378,-156.6315,05-23-2017 12:11:17 AM
HUIWAIOLA_WQX,OSF,Olowalu shore front,Ocean,20.80916,-156.62289,05-23-2017 12:11:17 AM
HUIWAIOLA_WQX,OTC,Teen Challenge,Ocean,20.81005,-156.6089,05-23-2017 12:11:18 AM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,Ocean,20.79448,-156.58142,05-23-2017 12:11:18 AM
HUIWAIOLA_WQX,PFF,505 Front Street,Ocean,20.86732,-156.67605,05-23-2017 12:11:19 AM
HUIWAIOLA_WQX,PLH,Lindsey Hale,Ocean,20.86485,-156.67374,05-23-2017 12:11:19 AM
HUIWAIOLA_WQX,PLT,Lahaina Town,Ocean,20.86356,-156.67297,05-23-2017 12:11:19 AM
HUIWAIOLA_WQX,PMA,Makila Point,Ocean,20.85884,-156.66933,05-23-2017 12:11:19 AM
HUIWAIOLA_WQX,PPU,Puamana,Ocean,20.859233,-156.669442,05-23-2017 12:11:19 AM
HUIWAIOLA_WQX,RAB,Airport Beach,Ocean,20.936669,-156.69278,05-23-2017 12:11:20 AM
HUIWAIOLA_WQX,RAP,Airport2,Ocean,20.941269,-156.692439,05-23-2017 12:11:20 AM
HUIWAIOLA_WQX,RBR,Black Rock,Ocean,20.929589,-156.69395,05-23-2017 12:11:20 AM
HUIWAIOLA_WQX,RCB,Canoe Beach,Ocean,20.910017,-156.68917,05-23-2017 12:11:20 AM
HUIWAIOLA_WQX,RFN,FlemingNorth DT beach park,Ocean,21.005,-156.65084,05-23-2017 12:11:16 AM
HUIWAIOLA_WQX,RFS,FlemingSouth Kapalua Bay,Ocean,20.998636,-156.66667,05-23-2017 12:11:17 AM
HUIWAIOLA_WQX,RHL,Honolua,Ocean,21.013058,-156.63834,05-23-2017 12:11:16 AM
HUIWAIOLA_WQX,RHO,Honokowai,Ocean,20.955278,-156.686472,05-23-2017 12:11:20 AM
HUIWAIOLA_WQX,RKA,South seep (Kahekili 4),Ocean,20.938304,-156.692792,05-23-2017 12:11:20 AM
HUIWAIOLA_WQX,RKN,North seep (Kehekili 3),Ocean,20.940004,-156.692586,05-23-2017 12:11:20 AM
HUIWAIOLA_WQX,RKO,Ka'opala,Ocean,20.981967,-156.67308,05-23-2017 12:11:17 AM
HUIWAIOLA_WQX,RKS,Kaanapali Shores,Ocean,20.949331,-156.691124,05-23-2017 12:11:19 AM
HUIWAIOLA_WQX,RKV,Kahana Village,Ocean,20.976561,-156.678,11-01-2017 10:16:57 PM
HUIWAIOLA_WQX,RLO,Lokelani,Ocean,20.960256,-156.68436,05-23-2017 12:11:20 AM
HUIWAIOLA_WQX,RMO,Mokuleia,Ocean,21.011111,-156.64256,05-23-2017 12:11:16 AM
HUIWAIOLA_WQX,RNN,Napili (north end),Ocean,20.99658,-156.66614,05-23-2017 12:11:17 AM
HUIWAIOLA_WQX,RNS,Napili (south end),Ocean,20.994222,-156.667417,05-23-2017 12:11:17 AM
HUIWAIOLA_WQX,RON,Oneloa,Ocean,21.004056,-156.65894,05-23-2017 12:11:17 AM
HUIWAIOLA_WQX,RPA,Papakea,Ocean,20.950738,-156.690333,05-23-2017 12:11:20 AM
HUIWAIOLA_WQX,RPO,Pohaku,Ocean,20.967083,-156.68139,05-23-2017 12:11:20 AM
HUIWAIOLA_WQX,RPU,Pohaku 2,Ocean,20.968376,-156.681003,05-23-2017 12:11:19 AM
HUIWAIOLA_WQX,RSK,Sheraton Ka'anapali,Ocean,20.92495,-156.69527,05-23-2017 12:11:20 AM
HUIWAIOLA_WQX,RWA,Wahikuli,Ocean,20.90423,-156.68593,05-23-2017 12:11:20 AM
HUIWAIOLA_WQX,SAK,Ahihi Kina'u,Ocean,20.61845,-156.43748,05-23-2017 12:11:19 AM
HUIWAIOLA_WQX,SBA,Baby Beach,Ocean,20.912772,-156.402925,05-23-2017 12:11:14 AM
HUIWAIOLA_WQX,SBB,Baldwin Beach,Ocean,20.913989,-156.393739,05-23-2017 12:11:13 AM
