Organization ID,Monitoring Location ID,Monitoring Location Name,Activity ID,Activity Start Date,Activity Type,Media,Media Subdivision,Result UID,Characteristic,Fraction,Statistic,Value,Unit,Value Type,Detection Condition,Biological Intent,Taxon Name,Status,Last Changed
HUIWAIOLA_WQX,RAB,Airport Beach,RAB170328,03-28-2017,Field Msr/Obs,Water,,618108804,"Temperature, water",,,25.4,deg C,Actual,,,,Final,05-23-2017 2:21:42 AM
HUIWAIOLA_WQX,RCB,Canoe Beach,RCB170328,03-28-2017,Field Msr/Obs,Water,,618108805,"Temperature, water",,,25.6,deg C,Actual,,,,Final,05-23-2017 2:21:42 AM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB170330,03-30-2017,Field Msr/Obs,Water,,618108816,"Temperature, water",,,25.7,deg C,Actual,,,,Final,05-23-2017 2:21:43 AM
HUIWAIOLA_WQX,RAB,Airport Beach,RAB170328Turb,03-28-2017,Field Msr/Obs,Water,,618108876,Turbidity,,,1.88,NTU,Actual,,,,Final,05-23-2017 2:21:47 AM
HUIWAIOLA_WQX,RCB,Canoe Beach,RCB170328Turb,03-28-2017,Field Msr/Obs,Water,,618108877,Turbidity,,,2.17333333333333,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB170330Turb,03-30-2017,Field Msr/Obs,Water,,618108888,Turbidity,,,7.85,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,RAB,Airport Beach,RAB170328-N-1TN,03-28-2017,Sample-Routine,Water,,618108894,Nitrogen,Dissolved,,86.994539080832,ug/l,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,RCB,Canoe Beach,RCB170328-N-1TN,03-28-2017,Sample-Routine,Water,,618108895,Nitrogen,Dissolved,,143.936788081192,ug/l,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB170330-N-1TN,03-30-2017,Sample-Routine,Water,,618108906,Nitrogen,Dissolved,,69.2172754426557,ug/l,Actual,,,,Final,05-23-2017 2:21:49 AM
HUIWAIOLA_WQX,RAB,Airport Beach,RAB170328-N-1TP,03-28-2017,Sample-Routine,Water,,618108912,Phosphorus,Dissolved,,14.490850109636,ug/l,Actual,,,,Final,05-23-2017 2:21:49 AM
HUIWAIOLA_WQX,RCB,Canoe Beach,RCB170328-N-1TP,03-28-2017,Sample-Routine,Water,,618108913,Phosphorus,Dissolved,,16.306395294852,ug/l,Actual,,,,Final,05-23-2017 2:21:50 AM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB170330-N-1TP,03-30-2017,Sample-Routine,Water,,618108924,Phosphorus,Dissolved,,9.60588291081962,ug/l,Actual,,,,Final,05-23-2017 2:21:51 AM
