Organization ID,Monitoring Location ID,Monitoring Location Name,Activity ID,Activity Start Date,Activity Type,Media,Media Subdivision,Result UID,Characteristic,Fraction,Statistic,Value,Unit,Value Type,Detection Condition,Biological Intent,Taxon Name,Status,Last Changed
HUIWAIOLA_WQX,RNS,Napili (south end),RNA170328,03-28-2017,Field Msr/Obs,Water,,618108801,"Temperature, water",,,24.4,deg C,Actual,,,,Final,05-23-2017 2:21:42 AM
HUIWAIOLA_WQX,RPO,Pohaku,RPO170328,03-28-2017,Field Msr/Obs,Water,,618108802,"Temperature, water",,,24.4,deg C,Actual,,,,Final,05-23-2017 2:21:42 AM
HUIWAIOLA_WQX,RKS,Kaanapali Shores,RKS170328,03-28-2017,Field Msr/Obs,Water,,618108803,"Temperature, water",,,24.6,deg C,Actual,,,,Final,05-23-2017 2:21:42 AM
HUIWAIOLA_WQX,RAB,Airport Beach,RAB170328,03-28-2017,Field Msr/Obs,Water,,618108804,"Temperature, water",,,25.4,deg C,Actual,,,,Final,05-23-2017 2:21:42 AM
HUIWAIOLA_WQX,RCB,Canoe Beach,RCB170328,03-28-2017,Field Msr/Obs,Water,,618108805,"Temperature, water",,,25.6,deg C,Actual,,,,Final,05-23-2017 2:21:42 AM
HUIWAIOLA_WQX,RWA,Wahikuli,RWA170328,03-28-2017,Field Msr/Obs,Water,,618108806,"Temperature, water",,,25.4,deg C,Actual,,,,Final,05-23-2017 2:21:42 AM
HUIWAIOLA_WQX,PFF,505 Front Street,PFF170329,03-29-2017,Field Msr/Obs,Water,,618108807,"Temperature, water",,,25.4,deg C,Actual,,,,Final,05-23-2017 2:21:42 AM
HUIWAIOLA_WQX,PLH,Lindsey Hale,PLH170329,03-29-2017,Field Msr/Obs,Water,,618108808,"Temperature, water",,,26,deg C,Actual,,,,Final,05-23-2017 2:21:42 AM
HUIWAIOLA_WQX,PLT,Lahaina Town,PLT170329,03-29-2017,Field Msr/Obs,Water,,618108809,"Temperature, water",,,26.3,deg C,Actual,,,,Final,05-23-2017 2:21:42 AM
HUIWAIOLA_WQX,PPU,Puamana,PPU170329,03-29-2017,Field Msr/Obs,Water,,618108810,"Temperature, water",,,26.2,deg C,Actual,,,,Final,05-23-2017 2:21:43 AM
HUIWAIOLA_WQX,OLP,Launiupoko,OLP170329,03-29-2017,Field Msr/Obs,Water,,618108811,"Temperature, water",,,27.3,deg C,Actual,,,,Final,05-23-2017 2:21:43 AM
HUIWAIOLA_WQX,OSF,Olowalu shore front,OSF170329,03-29-2017,Field Msr/Obs,Water,,618108812,"Temperature, water",,,26.8,deg C,Actual,,,,Final,05-23-2017 2:21:43 AM
HUIWAIOLA_WQX,OPM,Peter Martin Hale,OPM170330,03-30-2017,Field Msr/Obs,Water,,618108813,"Temperature, water",,,25,deg C,Actual,,,,Final,05-23-2017 2:21:43 AM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO170330,03-30-2017,Field Msr/Obs,Water,,618108814,"Temperature, water",,,26,deg C,Actual,,,,Final,05-23-2017 2:21:43 AM
HUIWAIOLA_WQX,OMM,Mile Marker 14,OMM170330,03-30-2017,Field Msr/Obs,Water,,618108815,"Temperature, water",,,25.9,deg C,Actual,,,,Final,05-23-2017 2:21:43 AM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB170330,03-30-2017,Field Msr/Obs,Water,,618108816,"Temperature, water",,,25.7,deg C,Actual,,,,Final,05-23-2017 2:21:43 AM
HUIWAIOLA_WQX,OPB,Papalaua,OPB170330,03-30-2017,Field Msr/Obs,Water,,618108817,"Temperature, water",,,26.2,deg C,Actual,,,,Final,05-23-2017 2:21:44 AM
HUIWAIOLA_WQX,OPP,Papalaua Pali,OPP170330,03-30-2017,Field Msr/Obs,Water,,618108818,"Temperature, water",,,26.5,deg C,Actual,,,,Final,05-23-2017 2:21:44 AM
HUIWAIOLA_WQX,RNS,Napili (south end),RNS170328Turb,03-28-2017,Field Msr/Obs,Water,,618108873,Turbidity,,,0.84,NTU,Actual,,,,Final,05-23-2017 2:21:47 AM
HUIWAIOLA_WQX,RPO,Pohaku,RPO170328Turb,03-28-2017,Field Msr/Obs,Water,,618108874,Turbidity,,,3.32666666666667,NTU,Actual,,,,Final,05-23-2017 2:21:47 AM
HUIWAIOLA_WQX,RKS,Kaanapali Shores,RKS170328Turb,03-28-2017,Field Msr/Obs,Water,,618108875,Turbidity,,,5.23666666666667,NTU,Actual,,,,Final,05-23-2017 2:21:47 AM
HUIWAIOLA_WQX,RAB,Airport Beach,RAB170328Turb,03-28-2017,Field Msr/Obs,Water,,618108876,Turbidity,,,1.88,NTU,Actual,,,,Final,05-23-2017 2:21:47 AM
HUIWAIOLA_WQX,RCB,Canoe Beach,RCB170328Turb,03-28-2017,Field Msr/Obs,Water,,618108877,Turbidity,,,2.17333333333333,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,RWA,Wahikuli,RWA170328Turb,03-28-2017,Field Msr/Obs,Water,,618108878,Turbidity,,,0.633333333333333,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,PFF,505 Front Street,PFF170329Turb,03-29-2017,Field Msr/Obs,Water,,618108879,Turbidity,,,11.3333333333333,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,PLH,Lindsey Hale,PLH170329Turb,03-29-2017,Field Msr/Obs,Water,,618108880,Turbidity,,,6.16,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,PLT,Lahaina Town,PLT170329Turb,03-29-2017,Field Msr/Obs,Water,,618108881,Turbidity,,,7.53,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,PPU,Puamana,PPU170329Turb,03-29-2017,Field Msr/Obs,Water,,618108882,Turbidity,,,2.50333333333333,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,OLP,Launiupoko,OLP170329Turb,03-29-2017,Field Msr/Obs,Water,,618108883,Turbidity,,,3.99,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,OSF,Olowalu shore front,OSF170329Turb,03-29-2017,Field Msr/Obs,Water,,618108884,Turbidity,,,2.17666666666667,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,OPM,Peter Martin Hale,OPM170330Turb,03-30-2017,Field Msr/Obs,Water,,618108885,Turbidity,,,5.60333333333333,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,OCO,Camp Olowalu,OCO170330Turb,03-30-2017,Field Msr/Obs,Water,,618108886,Turbidity,,,7.74,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,OMM,Mile Marker 14,OMM170330Turb,03-30-2017,Field Msr/Obs,Water,,618108887,Turbidity,,,6.34333333333333,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,OUB170330Turb,03-30-2017,Field Msr/Obs,Water,,618108888,Turbidity,,,7.85,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,OPB,Papalaua,OPB170330Turb,03-30-2017,Field Msr/Obs,Water,,618108889,Turbidity,,,5.91,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,OPP,Papalaua Pali,OPP170330Turb,03-30-2017,Field Msr/Obs,Water,,618108890,Turbidity,,,3.96,NTU,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,RNS,Napili (south end),RNS170328-N-1TN,03-28-2017,Sample-Routine,Water,,618108891,Nitrogen,Dissolved,,109.540884307262,ug/l,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,RPO,Pohaku,RPO170328-N-1TN,03-28-2017,Sample-Routine,Water,,618108892,Nitrogen,Dissolved,,159.829825619469,ug/l,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,RKS,Kaanapali Shores,RKS170328-N-1TN,03-28-2017,Sample-Routine,Water,,618108893,Nitrogen,Dissolved,,87.2754175056616,ug/l,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,RAB,Airport Beach,RAB170328-N-1TN,03-28-2017,Sample-Routine,Water,,618108894,Nitrogen,Dissolved,,86.994539080832,ug/l,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,RCB,Canoe Beach,RCB170328-N-1TN,03-28-2017,Sample-Routine,Water,,618108895,Nitrogen,Dissolved,,143.936788081192,ug/l,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,RWA,Wahikuli,RWA170328-N-1TN,03-28-2017,Sample-Routine,Water,,618108896,Nitrogen,Dissolved,,102.963647859167,ug/l,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,PFF,505 Front Street,PFF170329-N-1TN,03-29-2017,Sample-Routine,Water,,618108897,Nitrogen,Dissolved,,73.6996269722288,ug/l,Actual,,,,Final,05-23-2017 2:21:48 AM
HUIWAIOLA_WQX,PLH,Lindsey Hale,PLH170329-N-1TN,03-29-2017,Sample-Routine,Water,,618108898,Nitrogen,Dissolved,,82.418561409649,ug/l,Actual,,,,Final,05-23-2017 2:21:49 AM
HUIWAIOLA_WQX,PLT,Lahaina Town,PLT170329-N-1TN,03-29-2017,Sample-Routine,Water,,618108899,Nitrogen,Dissolved,,123.145933009947,ug/l,Actual,,,,Final,05-23-2017 2:21:49 AM
HUIWAIOLA_WQX,PPU,Puamana,PPU170329-N-1TN,03-29-2017,Sample-Routine,Water,,618108900,Nitrogen,Dissolved,,80.2007921802649,ug/l,Actual,,,,Final,05-23-2017 2:21:49 AM
