Organization ID,Monitoring Location ID,Monitoring Location Name,Monitoring Location Type,Latitude,Longitude,Last Changed
HUIWAIOLA_WQX,HBP,Hana Beach Park,Ocean,20.75575,-155.984667,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,HHH,Helene Hall,Ocean,20.755472,-155.983222,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,HHP,Hana Pier,Ocean,20.756083,-155.982167,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,HMB,Mid Bay 2,Ocean,20.759806,-155.986611,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,HWB,Waikoloa Beach,Ocean,20.761306,-155.985889,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,KCP,Cove Park,Ocean,20.727434,-156.450077,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,KKO,Kamaole Beach I,Ocean,20.721985,-156.448183,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,KKP,Kalama Park,Ocean,20.730973,-156.45372,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,KKS,Kihei South (Lipoa),Ocean,20.747334,-156.457881,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,KKT,Kamaole Beach III,Ocean,20.712908,-156.446596,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,KWP,Waipuilani Park,Ocean,20.755056,-156.459602,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,MAN,Ahihi North,Ocean,20.618366,-156.437572,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,MAS,Ahihi South,Ocean,20.6138,-156.436853,09-26-2020 1:04:14 PM
HUIWAIOLA_WQX,MBS,Makena Beach Shoreline,Ocean,20.63061,-156.446183,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,MMB,Maluaka Beach,Ocean,20.645598,-156.443859,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,MML,Makena Landing,Ocean,20.653913,-156.441174,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,MON,Oneuli,Ocean,20.639866,-156.447406,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,NHP,Haycraft Park,Ocean,20.796414,-156.503198,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,NKC,Kihei Canoe Club,Ocean,20.781403,-156.463176,09-26-2020 12:56:30 PM
HUIWAIOLA_WQX,NKN,Kalepolepo North,Ocean,20.765132,-156.459344,09-26-2020 1:29:51 PM
HUIWAIOLA_WQX,NKP,Kealia Pond,Ocean,20.794936,-156.485587,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,NMC,Maalaea Condos,Ocean,20.794917,-156.506735,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,NMH,Maalaea Harbor,Ocean,20.790305,-156.510825,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,NMP,Mai Poina 'Oe Ia'u,Ocean,20.774894,-156.460776,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,NSB,Sugar Beach,Ocean,20.784204,-156.466463,09-26-2020 1:29:51 PM
HUIWAIOLA_WQX,OCO,Camp Olowalu,Ocean,20.80986,-156.61369,05-23-2017 12:11:17 AM
HUIWAIOLA_WQX,OLP,Launiupoko,Ocean,20.84236,-156.653035,05-23-2017 12:11:18 AM
HUIWAIOLA_WQX,OMM,Mile Marker 14,Ocean,20.80915,-156.60661,05-23-2017 12:11:18 AM
HUIWAIOLA_WQX,OPB,Papalaua,Ocean,20.793809,-156.575211,09-26-2020 1:29:51 PM
HUIWAIOLA_WQX,OPM,Peter Martin Hale,Ocean,20.808444,-156.619697,05-23-2017 12:11:18 AM
HUIWAIOLA_WQX,OPP,Papalaua Pali,Ocean,20.792747,-156.567326,09-26-2020 1:29:51 PM
HUIWAIOLA_WQX,OSF,Olowalu Shore Front,Ocean,20.80916,-156.62289,09-26-2020 1:29:51 PM
HUIWAIOLA_WQX,OUB,Ukumehame Beach,Ocean,20.79448,-156.58142,05-23-2017 12:11:18 AM
HUIWAIOLA_WQX,PFF,505 Front Street,Ocean,20.86732,-156.67605,05-23-2017 12:11:19 AM
HUIWAIOLA_WQX,PLH,Lindsey Hale,Ocean,20.86485,-156.67374,05-23-2017 12:11:19 AM
HUIWAIOLA_WQX,PLT,Lahaina Town,Ocean,20.86356,-156.67297,05-23-2017 12:11:19 AM
HUIWAIOLA_WQX,PPU,Makila Point,Ocean,20.859233,-156.669442,09-26-2020 1:29:51 PM
HUIWAIOLA_WQX,RAB,Airport Beach,Ocean,20.936669,-156.69278,05-23-2017 12:11:20 AM
HUIWAIOLA_WQX,RCB,Canoe Beach,Ocean,20.910347,-156.689382,09-26-2020 1:29:51 PM
HUIWAIOLA_WQX,RFN,DT Beach (Fleming N),Ocean,21.005,-156.65084,09-26-2020 1:29:51 PM
HUIWAIOLA_WQX,RFS,Kapalua Bay (Fleming S),Ocean,20.998924,-156.666746,09-26-2020 1:29:51 PM
HUIWAIOLA_WQX,RHL,Honolua,Ocean,21.013058,-156.63834,05-23-2017 12:11:16 AM
HUIWAIOLA_WQX,RKO,Ka'opala,Ocean,20.982074,-156.673398,09-26-2020 1:29:51 PM
HUIWAIOLA_WQX,RKS,Kaanapali Shores,Ocean,20.949331,-156.691124,05-23-2017 12:11:19 AM
HUIWAIOLA_WQX,RKT,Kahekili Two,Ocean,20.941269,-156.692439,09-26-2020 1:33:02 PM
HUIWAIOLA_WQX,RKV,Kahana Village,Ocean,20.976561,-156.678,11-01-2017 10:16:57 PM
HUIWAIOLA_WQX,RMO,Mokuleia,Ocean,21.011352,-156.64227,09-26-2020 1:29:51 PM
HUIWAIOLA_WQX,RNS,Napili,Ocean,20.994222,-156.667417,09-26-2020 1:29:51 PM
