OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-HI,USGS Hawaii Water Science Center,USGS-16400000,"Halawa Stream near Halawa, Molokai, HI",Stream,,20050000,4.68,sq mi,,,21.1555,-156.7619722,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,210.00,feet,25,feet,Interpolated from topographic map.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16401000,"PAPALAUA STREAM NEAR PUKOO, MOLOKAI, HI",Stream,,20050000,2.02,sq mi,,,21.1662537,-156.79858,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,100,feet,10,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16402000,"PULENA STREAM NEAR WAILAU, MOLOKAI, HI",Stream,,20050000,4.39,sq mi,,,21.1229237,-156.827745,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,591,feet,1,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16403000,"WAIAKEAKUA STREAM NEAR WAILAU, MOLOKAI, HI",Stream,,20050000,1.41,sq mi,,,21.1204235,-156.8260784,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,698,feet,1,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16403400,"KAPUHI STR AT ALT 1000 FT NR PELEKUNU,MOLOKAI,HI",Stream,,20050000,0.51,sq mi,,,21.1273703,-156.8810764,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,1000,feet,100,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16403500,"KAWAILENA STREAM NR PELEKUNU,MOLOKAI,HI",Stream,,20050000,0.65,sq mi,,,21.1279259,-156.8819097,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,1000,feet,100,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16403600,"KAPUHI STREAM NR PELEKUNU, MOLOKAI, HI",Stream,,20050000,1.24,sq mi,,,21.1295925,-156.8794098,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,870,feet,10,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16403700,"KAWAINUI STR AT ALT 1000 FT NR PELEKUNU,MOLOKAI",Stream,,20050000,0.79,sq mi,,,21.1262592,-156.8724655,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,1000,feet,100,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16403800,"KAWAIPAKA STREAM NR PELEKUNU,MOLOKAI,HI",Stream,,20050000,0.26,sq mi,,,21.1268148,-156.8721877,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,1000,feet,100,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16403900,"KAWAINUI STREAM NR PELEKUNU, MOLOKAI, HI",Stream,,20050000,1.18,sq mi,,,21.1298703,-156.87441,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,770,feet,10,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16404000,"PELEKUNU STREAM NR PELEKUNU, MOLOKAI, HI",Stream,,20050000,2.64,sq mi,,,21.1332036,-156.8757989,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,552,feet,1,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16404200,"PILIPILILAU STREAM NR PELEKUNU, MOLOKAI, HI",Stream,,20050000,0.46,sq mi,,,21.1323703,-156.8830209,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,1000,feet,100,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16405000,"LANIPUNI STREAM NEAR PELEKUNU, MOLOKAI, HI",Stream,,20050000,1.1,sq mi,,,21.1407035,-156.871077,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,418,feet,1,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16405300,"Molokai Tunnel at West Portal, Molokai, HI",Stream: Ditch,,20050000,,,,,21.120984,-156.9944069,24000,1,seconds,Interpolated from MAP.,NAD83,970.00,feet,1,feet,Reported method of determination.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16409000,"WAIHANAU STREAM NR KALAUPAPA,MOLOKAI,HI",Stream,,20050000,1.18,sq mi,,,21.1565384,-156.958297,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,2250,feet,10,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16410000,"KEOLEWA STREAM NEAR KALAE, MOLOKAI, HI",Stream,,20050000,0.15,sq mi,,,21.1718155,-156.9763519,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,1950,feet,10,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16411000,"WAIALALA SPRINGS NR KALAE, MOLOKAI, HI",Spring,,20050000,,,,,21.1687598,-156.9980175,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,1670,feet,10,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16411200,"Pohakumauliuli Gulch near Kepuhi, Molokai, HI",Stream,,20050000,2.7,sq mi,,,21.1938611,-157.2417222,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,90,feet,.10,feet,Interpolated from topographic map.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16411300,"Kakaako Gulch at HWY 46 nr Mauna Loa, Molokai, HI",Stream,,20050000,0.52,sq mi,,,21.1436944,-157.1904167,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1020,feet,1,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16411320,"Kakaako Gl ab Kamakahi Gl nr Mauna Loa,Molokai,HI",Stream,,20050000,1.53,sq mi,,,21.1665404,-157.1960724,24000,1,seconds,Interpolated from MAP.,NAD83,530.00,feet,10,feet,Interpolated from topographic map.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16411400,"Kakaako Gulch near Mauna Loa, Molokai, HI",Stream,,20050000,5.04,sq mi,,,21.1743179,-157.2057943,24000,1,seconds,Interpolated from MAP.,NAD83,380.00,feet,5,feet,Interpolated from topographic map.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16411500,"Poolau Gulch near Kepuhi, Molokai, HI",Stream,,20050000,0.33,sq mi,,,21.1526944,-157.2748333,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,60,feet,10,feet,Interpolated from topographic map.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16411600,"Kaunala Gulch near Mauna Loa, Molokai, HI",Stream,,20050000,0.25,sq mi,,,21.1137659,-157.2591294,24000,1,seconds,Interpolated from MAP.,NAD83,370.00,feet,5,feet,Interpolated from topographic map.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16411640,"Halena Gulch near Mauna Loa, Molokai, HI",Stream,,20050000,1.96,sq mi,,,21.0952778,-157.2271389,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,60.00,feet,5,feet,Interpolated from topographic map.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16411800,"Kaluapeelua Gulch at Hoolehua, Molokai, HI",Stream,,20050000,1.54,sq mi,,,21.1618333,-157.0698889,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,580.00,feet,25,feet,Interpolated from topographic map.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16411900,"KALUAPELUA GLCH TRIB NR MOLOKAI AIRPORT,MOLOKAI",Stream,,20050000,1.74,sq mi,,,21.1459846,-157.1171853,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,360,feet,10,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16412000,"MOKOMOKO GULCH NR KALAE, MOLOKAI, HI",Stream,,20050000,0.23,sq mi,,,21.1482053,-156.9610743,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,2200,feet,10,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16413000,"KAPUNA STREAM NEAR KALAE, MOLOKAI, HI",Stream,,20050000,0.09,sq mi,,,21.1482054,-156.9821847,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,1900,feet,100,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16413500,"Manawainui Gulch near Kualapuu, Molokai, HI",Stream,,20050000,10.33,sq mi,,,21.1262778,-157.052861,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,250,feet,25,feet,Interpolated from topographic map.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16414000,"Kaunakakai Gulch at Kaunakakai, Molokai, HI",Stream,,20050000,6.62,sq mi,,,21.1026514,-157.0066299,24000,1,seconds,Interpolated from MAP.,NAD83,240.00,feet,25,feet,Interpolated from topographic map.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16414100,"KAMILOLOA GULCH AT KAUNAKAKAI, MOLOKAI, HI",Stream,,20050000,1.19,sq mi,,,21.0843187,-157.0096872,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,10,feet,1,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16414200,"Kaunakakai Gulch at altitude 75 feet, Molokai, HI",Stream,,20050000,7.31,sq mi,,,21.0965278,-157.017861,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,75,feet,25,feet,Interpolated from topographic map.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16415000,"EF KAWELA GULCH NR KAMALO, MOLOKAI, HI",Stream,,20050000,0.44,sq mi,,,21.1098708,-156.9035754,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,3624.86,feet,.01,feet,Unknown.,LMSL,US,15,009,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16415400,"Wawaia Gulch at Kamalo, Molokai, HI",Stream,,20050000,2.18,sq mi,,,21.0537222,-156.869611,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,40,feet,25,feet,Interpolated from topographic map.,LMSL,US,15,009,,,,,,,,,NWIS
